I'm sad.	悲しいです。
The hero's sword casts a golden light.	勇者の剣が、金色の光をはなつ
I managed to arrive around 11:00.	私はなんとか１１時ぐらいに到着しました
She gently puts her arms around me.	彼女がそっと、おれの背中に手を回す
He quietly closed the door of the room.	彼が静かに部屋の扉を閉めた
He strongly sensed the necessity of X.	彼がXの必要性を痛感しました
Yes. This one I can sing from memory.	はい。これならそらで歌えます。
The dog ate a watch and a Japanese fan.	犬が腕時計と扇子を食った。
My parents will jump all over me.	両親にこっぴどくしかられてしまいます。
Owing to the storm, they arrived late.	嵐のため彼らは遅れて着いた。
Your eyes are bigger than your stomach.	欲張っても食べきれないよ。
I'd like to reconfirm my flight.	フライトのリコンファームをお願いします。
We found a beam of light in the night sky.	夜空に光線が見えた。
The gate was too narrow for the truck.	門はトラックにはせま過ぎた。
The problem was where to eat lunch.	問題はどこで昼食をたべるかだった。
The cat on the tree came down to me.	木の上の猫が私の所へ降りてきた。
What do you have on for tomorrow night?	明晩何か約束がありますか。
We'll be across the border by tomorrow.	明日中には国境を越えます。
I hope the weather will clear up tomorrow.	明日晴れるといいな。
I will leave if it is fine tomorrow.	明日晴れたら、出発するつもりだ。
You will be able to see her tomorrow.	明日君は彼女に会えるでしょう。
Who knows what will happen tomorrow?	明日何が起こるか誰にわかるのか。
I will stay home if it rains tomorrow.	明日雨降りなら、家にいます。
I fear that it will rain tomorrow.	明日雨になるのではないかと心配です。
Can you tell if it will rain tomorrow?	明日雨かどうか分かりますか。
You needn't finish it by tomorrow.	明日までに仕上げる必要はありません。
Did you get everything ready for tomorrow?	明日の準備はできた？
I will call you tomorrow afternoon.	明日の午後あなたに電話しましょう。
You can get in touch with me tomorrow.	明日なら私と連絡が取れます。
I will ask him about it tomorrow.	明日そのことについて彼に尋ねてみます。
I promise that I'll be here tomorrow.	明日ここへくることを約束する。
I'll call for you at 8 tomorrow morning.	明日８時に誘いに来るよ。
Can you wake me up at 7:00 tomorrow?	明日７時に起こしてくれませんか。
I will visit you tomorrow without fail.	明日、きっと君を訪ねます。
I'll see you at nine tomorrow morning.	明朝９時にお会いしましょう。
Democracy is one form of government.	民主主義は政治形態の一つである。
You should have breakfast every day.	あなたは毎日朝食をとるべきです。
Where do you get on the bus every day?	毎日どこでバスに乗りますか。
We had our photo taken on the beach.	僕達は浜辺で写真を撮って貰った。
I meet him on occasion at the club.	僕は時おりクラブで彼に出会います。
My father is a good speaker of English.	父は上手に英語を話します。
My father bought this hat for me.	父は私のためにこの帽子を買ってくれた。
My father doesn't lift a finger at home.	父は家では何もしません。
My father made me a nice lunch.	父が私のためにおいしい昼食を作ってくれた。
That gentleman usually wears a hat.	普段あの紳士は帽子をかぶっている。
You should not fool with poor people.	貧しい人を愚弄してはいけない。
The sick boy is in a critical condition.	病気の少年は危篤状態だ。
Illness prevented me from going out.	病気のため私は外出できなかった。
Lake Biwa is the largest lake in Japan.	琵琶湖は日本最大の湖です。
It looks like the flight was delayed.	飛行機の時間が遅れてるらしい。
I forget sad things when I fall asleep.	悲しいことは寝ると忘れる。
They added a woman to the committee.	彼等は委員会に女性を一人加えた。
She takes pride in her good looks.	彼女は容姿のいいことを自慢している。
She has been sick in bed for a week.	彼女は病気で１週間寝込んでいる。
She doesn't like to sing a sad song.	彼女は悲しい歌を歌うのは嫌いだ。
She feels at ease in their home.	彼女は彼らの家にいるとくつろぎを感じる。
She asked him to raise the funds.	彼女は彼に資金を集めるように依頼した。
She begged him not to go there.	彼女は彼にそこに行かないで欲しいと頼んだ。
She said to me, "Who arrived first?"	彼女は誰が最初についたか聞いた。
She is large, not to say fat.	彼女は太っているとはいえないまでも大柄な人だ。
She helped me to clear snow away.	彼女は雪かきをするのを手伝ってくれた。
She is not only honest, but also wise.	彼女は正直だけではなく賢い。
She is able to grasp the situation.	彼女は情勢を把握することができる。
She is very proud of her daughter.	彼女は自分の娘を大いに自慢している。
She takes pride in her high school.	彼女は自分の高校を誇りにしている。
She was much delighted at my gift.	彼女は私の贈り物を大変喜んでくれた。
She has twice as many CDs as I do.	彼女は私の２倍のＣＤを持っています。
She taught me how to write a poem.	彼女は私に詩の書き方を教えてくれた。
She sang a Japanese song for us.	彼女は私たちに日本の歌をうたってくれた。
She has a wonderful hand with children.	彼女は子供の扱いがうまい。
She seems to be living by the lake.	彼女は湖のそばに住んでいたようだ。
I have half a mind to marry her.	彼女は結婚しようと思うが決心がつかない。
She only worked for the sake of money.	彼女は金のためにのみ働いた。
She tried to jump up a second time.	彼女はもう一度跳び上がろうとした。
She begged for something to drink.	彼女はなにか飲み物を下さいと頼んだ。
She cooked us a wonderful meal.	彼女はとてもすばらしい料理を作ってくれた。
She refused to accept the post.	彼女はその地位を引き受けようとしなかった。
She wanted to get married immediately.	彼女はすぐに結婚したかった。
She called me many terrible things.	彼女はさんざん私の事をののしった。
She put much sugar in the coffee.	彼女はコーヒーにたくさん砂糖を入れた。
When did she leave the classroom?	彼女はいつ教室から出ていったのですか。
Her older sister got married last month.	彼女の姉は先月結婚した。
She values health above wealth.	彼女にとっては富よりも健康のほうが大事だ。
I'll let you know when she arrives.	彼女が到着したら、お知らせします。
She may well be proud of her son.	彼女が息子を誇りに思うのももっともだ。
She may well be proud of her son.	彼女が息子の自慢をするのももっともだ。
I don't blame you for hitting him.	彼をなぐったことで君を責めはしない。
They will arrive a week from today.	彼らは来週の今日到着するでしょう。
They regarded him as a national hero.	彼らは彼を国民的英雄と考えた。
They arrived in Paris at the same time.	彼らは同時にパリについた。
They are suffering from want of food.	彼らは食料の不足に悩んでいる。
They said their prayers for victory.	彼らは勝利のために祈りを捧げた。
They guard their families from poverty.	彼らは家族を貧困から守る。
They arrived in England a week ago.	彼らは一週間前にイギリスについた。
They all got behind the candidate.	彼らはこぞってその候補者を支援した。
I took the wheel while he slept.	彼らが眠っている間私がハンドルを握った。
It was my fault that they came late.	彼らが遅れてきたのは私の責任だ。
Do you know when they will arrive?	彼らがいつ到着するか知っていますか。
He is in a hurry to catch the train.	彼は列車に乗るために慌てている。
He has built up an excellent business.	彼は立派な商売を築きあげた。
He is flying to Paris tomorrow.	彼は明日飛行機でパリへ行くことにしている。
He'll finish the job by tomorrow.	彼は明日までにその仕事を終えるだろう。
He took a job with an insurance company.	彼は保険会社に就職した。
He was as gentle a man as ever lived.	彼は飛び切りやさしい男だった。
He knows better than to marry her.	彼は彼女と結婚するほどばかではない。
He represented Japan at a conference.	彼は日本を代表して会議に出た。
He denies having broken the window.	彼は窓を割ったことを否定している。
He was as great a poet as ever lived.	彼は世にもまれな大詩人でした。
He wanted to be in the newspapers.	彼は新聞に自分の顔を発表したかった。
He actually didn't see the accident.	彼は実際その事故を見てはいない。
He thinks himself a great poet.	彼は自分のことを偉大な詩人だと思っている。
He is gradually coming to the front.	彼は次第に頭角をあらわしてきた。
He is busy preparing for an examination.	彼は試験の準備で忙しい。
He wouldn't listen to my advice.	彼は私の忠告に耳を貸そうともしなかった。
He made a gesture to me to run away.	彼は私に逃げろという合図をした。
He has coached us for half a year.	彼は私たちを半年間コーチしてくれた。
He will on no account accept defeat.	彼は決して敗北を認めないだろう。
He made a determination to be a doctor.	彼は医者になる決心をした。
He escaped under cover of the darkness.	彼は闇に紛れて逃げ出した。
He is so strong as to lift it.	彼はそれを持ち上げるのに十分なほど力持ちだ。
He said nothing to the contrary.	彼はそれと反対のことは何も言わなかった。
He consented to help the old lady.	彼はその老婆を助けることに同意した。
He blamed the man for stealing.	彼はその男性が盗みを働いたことを非難した。
He is a third party to the accident.	彼はその事故には関係ありません。
He extracted a passage from the poem.	彼はその詩から一節を抜粋した。
He felt nervous about the result.	彼はその結果がどうなるか心配していた。
He is capable of teaching Spanish.	彼はスペイン語を教えることができる。
There is no point in giving him advice.	彼に忠告しても意味がない。
There is no doubt that he is honest.	彼が正直であることに疑いはない。
What he said was to the contrary.	彼が言った事はそれと反対の趣旨だった。
Is it true that he won the race?	彼がレースに勝ったと言うのは本当ですか。
The criminal was arrested by the police.	犯人は警察に逮捕された。
The criminal was arrested by the police.	犯人が警察に逮捕された。
Natto reminds me of a bad experience.	納豆には嫌な思い出があってね。
Her hair became gray with the years.	年とともに彼女の髪は白くなった。
A cat can see much better at night.	猫は夜のほうがはるかによく見える。
The Japanese economy developed rapidly.	日本経済は急速に成長した。
Which do you like better, meat or fish?	肉と魚どちらが好きですか。
Reading affords me great pleasure.	読書は私に大きな喜びを与えてくれる。
We have a lot of snow here in winter.	当地では冬はたくさん雪が降る。
I won't give up on the stolen money.	盗まれたお金があきらめられない。
Winter does not look real without snow.	冬はやっぱり雪がないとね。
We hardly have time to eat breakfast.	朝食を取る時間がほとんどない。
John often has a quick breakfast.	ジョンさんはよく朝食を急いで食べます。
We hardly have time to eat breakfast.	朝食をとる時間がほとんどない。
The earth is far bigger than the moon.	地球は月よりもずっと大きい。
The resources of the earth are limited.	地球の資源は限られている。
Run the engine till it gets warm.	暖まるまでエンジンをかけて置きなさい。
Tell me whose advice to follow.	誰の忠告に従うべきかわたしに教えて下さい。
It is quality, not quantity that counts.	大切なのは量でなく質だ。
University was a wonderful experience.	大学はすばらしい経験だった。
Feeling sick, he stayed in bed.	体の具合がよくなかったので、彼は寝ていた。
The sun was hidden in the moon's shadow.	太陽が月のかげに隠れた。
Don't try to find fault with others.	他人のあら捜しをしようとするな。
The whole world was involved in the war.	全世界が戦争に関係した。
The course of the ship was straight east.	船の進路は真東だった。
The war brought ruin to the country.	戦争はその国に破滅をもたらした。
My teacher looked over my composition.	先生は私の作文を見てくれた。
The snow prevented me from going out.	雪のため私は外出できなかった。
The school was closed due to the snow.	雪のため学校は閉鎖している。
The snow banked up against the wall.	雪が塀に吹き寄せて積み上がった。
I would love to see my old flame again.	昔の恋人に再会してみたい。
Give him an inch and he will take a yard.	寸を与えれば尺を望む。
You'd better not drink the tap water.	水道水は飲まないほうがいいよ。
Learn wisdom from the faults of others.	人のふり見て我がふり直せ。
I appreciate your kind letter.	親切なお手紙をいただきありがとうございます。
A gentleman is always kind to others.	紳士はいつも他人に親切である。
A gentleman wouldn't do such a thing.	紳士ならそんなことはしません。
May the new year bring you happiness!	新年もよい年でありますように。
The situation is capable of improvement.	状況は改善の余地がある。
A bill came along with the package.	小包と一緒に請求書が送られてきた。
Don't let your imagination run wild.	勝手にそんなふうに想像するなよ。
Women commonly live longer than men.	女性は通常男性よりも長生きする。
Call on me if you need my assistance.	助けが必要だったら呼んでくれ。
I'll be back by tomorrow, if possible.	出来れば明日までに帰ります。
Among those present was our principal.	出席者の中に校長先生がいた。
The employees also share the same idea.	従業員も同様に考えている。
Too much drinking will make you sick.	酒を飲み過ぎると病気になるよ。
The car raised a cloud of dust.	車は砂ぼこりをもうもうとあげて走っていた。
You'd better wait for the next bus.	次のバスを待ったほうがいいですよ。
The next bus came thirty minutes later.	次のバスは３０分後に来た。
It was there that I saw the accident.	事故を目撃したのはそこでした。
You don't have to worry about funds.	資金のことは心配する必要はない。
Poets often compare death to sleep.	詩人はしばしば死を眠りにたとえる。
We start for Osaka tomorrow morning.	私達は明日の朝大阪へ出発します。
We have been married for three years.	私達は結婚して３年になります。
We happened to get on the same bus.	私達は偶然同じバスに乗り合わせた。
We have a local newspaper in our city.	私達の市には地方新聞がある。
I must have my watch repaired.	私は腕時計を修理してもらわなければならない。
I am proud of being a good son.	私は良い息子であることを誇りに思っている。
I arrived just in time for the plane.	私は飛行機にやっと間に合った。
I focused the camera on her face.	私は彼女の顔にカメラの焦点を合わせた。
I'm not at all satisfied with her.	私は彼女にはまったく満足していない。
I remember seeing her somewhere.	私は彼女にどこかで会ったのを覚えている。
I don't know when she got married.	私は彼女がいつ結婚したかわからない。
I offered him odds of 3 to 1.	私は彼に３対１の有利な歩を与えようと申し出た。
I share with him in the enterprise.	私は彼ともどもその企業に参加した。
I go to my father's place twice a year.	私は年に二度父の所へ行く。
Rural life appeals to me very much.	私は田舎の生活にとてもあこがれる。
I am not a bird, but I'd like to be.	私は鳥ではないが、鳥になりたい。
I visit my friend's house at intervals.	私は時々友達の家を訪ねる。
I took the lift to the third floor.	私は四階までエレベーターで行った。
As soon as I sat down, I fell asleep.	私は腰をおろすとすぐ寝込んだ。
I am proud to work with you.	私は皆さんと仕事を共にすることを誇りに思います。
I prefer working to doing nothing.	私は何もしないよりは働く方が好きだ。
I could hardly endure the pain.	私はその痛みをほとんどがまんできなかった。
I was waiting for the bus at that time.	私はそのバスを待っていた。
I arrived here at eight this morning.	私はここに今朝は８時についた。
Both of my parents love each other.	私の両親はお互いに愛し合っている。
My parents are always dependent on him.	私の両親はいつも彼を頼る。
My friend put forward a good suggestion.	私の友人が名案を出した。
My father will not be busy tomorrow.	私の父は明日は忙しくありません。
Are you satisfied with my explanation?	私の説明に満足していますか。
Let me make plain what I mean.	私の言いたいことをはっきりとさせてください。
As for me, I prefer fish to meat.	私に関して言えば、肉よりも魚が好きだ。
We respect him as a good senior.	私たちは彼をよき先輩として尊敬している。
We import a large quantity of food.	私たちは大量の食糧を輸入している。
We'd better not change the schedule.	私たちは計画を変えない方がよい。
We saw the child get on the bus.	私たちはその子どもがバスに乗るのを見た。
We lost no time hurrying to the spot.	私たちはすぐに現場に急行した。
I climbed the mountain last summer.	私たちは、去年の夏その山に登った。
He waited for me until I arrived.	私が到着するまで、彼は私を待っていた。
Do you mind my making a suggestion?	私が提案してもよろしいでしょうか。
I found the boy fast asleep.	私が行ってみると、その少年はぐっすり眠っていた。
The manager put forward a new proposal.	支配人は新しい案を出した。
Children belong with their parents.	子供は両親といっしょにいるものだ。
Children love playing on the beach.	子供たちは浜で遊ぶのが大好きです。
The children were sliding on the ice.	子供たちは氷の上を滑っていた。
The mountains are reflected in the lake.	山が湖に影を映している。
It will become much warmer in March.	三月にはもっと暖かくなるだろう。
We have to be careful with expenses.	財布の紐を締めなくてはいけない。
Will the judge fine him heavily?	裁判官は彼に重い罰金を科せるのだろうか。
There is a restaurant on the top floor.	最上階にレストランがある。
I need some sugar. Do you have any?	砂糖が欲しいのですが、ありますか。
I guess you will be very busy tonight.	今夜は忙しくなりそうですね。
Is there a room available for tonight?	今夜、部屋は空いていますか。
Not a single star is to be seen tonight.	今晩は星１つ見られない。
May the new year bring you happiness!	今年もよい年でありますように。
We have had little snow this winter.	今年の冬はほとんど雪が降らない。
The bus is very crowded this morning.	今朝はバスがとても混んでいる。
I was late because of heavy traffic.	交通渋滞のため、私は遅れました。
We were delayed by the heavy traffic.	交通渋滞に巻き込まれて遅れた。
We should observe our traffic rules.	交通規則を守らなければならない。
We should observe our traffic rules.	交通規制を守らなければならない。
Following traffic rules is important.	交通ルールを守ることは大切だ。
I have told you how to treat customers.	顧客の扱い方をお話しした。
There were some boats on the lake.	湖の上に行くそうかのボートがあった。
The trouble may lie in the engine.	故障はエンジンにあるのかもしれない。
Language changes as human beings do.	言語は人間と同じように変化する。
Nothing is more valuable than health.	健康は他の何よりも価値がある。
You should be careful about your health.	健康には注意すべきです。
Just imagine traveling to the moon.	月へ旅行することを想像してごらん。
Police officers wear blue uniforms.	警官は青いユニフォームを着ている。
The management refused to come to terms.	経営者は妥協を拒絶した。
You should follow the doctor's advice.	君は医者の忠告に従うべきだ。
You ought to have been more careful.	君はもっと気をつけるべきだった。
You should have been more careful.	君はもっとよく気をつけるべきだった。
You need not have hurried so much.	君はそんなに急ぐ必要はなかったのに。
I understand your position perfectly.	君の立場は十分に理解している。
Your idea differs entirely from mine.	君の考えと僕のとまるで違うね。
You have a tendency to talk too fast.	君には早口でしゃべる癖がある。
Air is a mixture of various gases.	空気はさまざまな気体の混合物である。
There are billions of stars in the sky.	空には何十億もの星がある。
Not a star was to be seen in the sky.	空には、星一つ見られなかった。
You can see a lot of stars in the sky.	空にたくさんの星が見えます。
I'd like you to have a chest X-ray.	胸部のレントゲンをとってください。
The bridge was washed away by the flood.	橋は大水で洗い流された。
The educational system is in transition.	教育制度は過渡期にある。
Kyoto is famous for its old temples.	京都は古いお寺があるので有名だ。
There are many old temples in Kyoto.	京都には古いお寺がたくさんある。
There was a sudden change in her tone.	急に彼女の声の調子が変った。
Hurry up and set the table for dinner.	急いで食卓の用意をしなさい。
Let us know when you'll arrive.	貴方の到着時間を私たちに知らせてください。
What a fool he is to leave school.	学校を辞めるなんて彼はなんてばかだ。
We failed due to a lack of preparation.	我々は準備不足で失敗した。
We all suffer from it to some degree.	我々は皆ある程度それに苦しむ。
The house was carried away by the flood.	家が洪水で押し流された。
Will you manage to repair my car?	何とかして私の車を直してくれませんか。
Did you make any New Year's resolutions?	何か新年の抱負があるの？
Music is a common speech for humanity.	音楽は人類共通の言葉である。
The roof is really in need of repair.	屋根をぜひ修理する必要がある。
The house whose roof is green is mine.	屋根が緑色の家が私の家です。
That's Tom's house with the red roof.	屋根が赤いあの家がトムの家だ。
What the king says is always absolute.	王の言うことは常に絶対です。
Will you give me a lift to the station?	駅まで乗せてくれませんか。
I met a certain gentleman at the station.	駅である紳士に会った。
Can you pay off your loans in a year?	一年でローンが払いきれるかね。
Would you like to have lunch together?	一緒に食事でもいかがですか。
Great people are not always wise.	偉人が必ずしも聡明であるとは限らない。
Our feelings towards him are mixed.	われわれの彼に対する感情は複雑だ。
I took the radio apart to repair it.	ラジオを修理するために分解した。
The radio gave place to television.	ラジオはテレビに取って代わられた。
I will be over tomorrow if you like.	よろしかったら明日うかがいます。
Slow and steady wins the race.	ゆっくりでも着実にやってゆけば勝負には勝つ。
No one speaks this language anymore.	もはやこの言語を話す人はいない。
I used to read novels at random.	もとは手当たり次第に小説を読んだものだ。
You must learn to be more careful.	もっと注意深くならなければならない。
Could you put it in plain language?	もっと簡単な言葉で説明して下さい。
Mary's eyes were filled with tears.	メアリーの目は涙でいっぱいだった。
We found that everyone was asleep.	みんなが眠ってしまったのがわかった。
Me, I prefer coffee to tea.	ぼくのことを言えば、紅茶よりコーヒーの方が好きだ。
How about going to see a movie with me?	ぼくと映画に行きませんか。
I know a good Italian restaurant.	ボクいいイタリア料理の店しってるんだ。
The boat sank to the bottom of the lake.	ボートは湖の底に沈んだ。
Except for Bill, they were all in time.	ビル以外はみな間に合った。
Bill can speak Japanese a little.	ビルは日本語をすこし話すことができる。
Bill was late for school as usual.	ビルはいつものように学校に遅刻した。
Could you tell me where I can get a bus?	バスはどこで乗れますか。
There is only one bus every two hours.	バスは２時間に一本しかない。
Let's go by train instead of by bus.	バスでなくて列車で行きましょう。
I will finish this work somehow.	なんとかしてこの仕事をやってしまいます。
You should be careful with a knife.	ナイフには注意しなくてはならない。
Tom filled out the application form.	トムはその申込み用紙に記入した。
Tom denied having stolen the money.	トムはお金を盗んでいないと言った。
Tom is always watching television.	トムはいつもテレビを見てばかりいる。
I must have made a mistake somewhere.	どこかで間違ったにちがいない。
Try to jump as high as possible.	できるだけ高く飛び上がるようにしなさい。
It's hard to shake the smoking habit.	タバコはなかなかやめられない。
Many people die in traffic accidents.	たくさんの人が交通事故で死ぬ。
If you eat so much, you'll get sick.	そんなに食べると、病気になるよ。
Let's climb that mountain to see it.	それを見るため、あの山に登ろう。
It is of little consequence to me.	それは私にはほとんど取るに足らない。
It is like the air we breathe.	それは私たちが呼吸する空気のようなものです。
It produced strange visual effects.	それは奇妙な視覚効果を産み出した。
The old man begged me for money.	その老人は私にお金を恵んでくれと言った。
The old man possesses great wealth.	その老人は巨万の富を所有している。
The problem bears heavily on us.	その問題は私たちに重くのしかかっている。
Its surface was as flat as a mirror.	その表面は鏡のように平らだった。
The sick person had the best of care.	その病人は最上の看護を受けた。
The sad story came home to her.	その悲しい話は彼女にしみじみと感じられた。
The time and date suited our coach.	その日時はコーチに都合がよかった。
By whom was the island discovered?	その島は誰によって発見されましたか。
It has never snowed on the island.	その島に雪が降ったことは一度もない。
The train arrived in Kyoto on time.	その電車は京都に時間通りに着いた。
They sell imported goods at the shop.	その店は輸入品を売っています。
The town was destroyed during the war.	その町は戦争中に破壊された。
On hearing the news, he turned pale.	その知らせを聞くと彼は青ざめた。
The news added to our happiness.	その知らせで私達の喜びもひとしおでした。
The boy caught the dog by the tail.	その男の子は犬のしっぽをつかんだ。
There is no bus service to the village.	その村へのバスの便がない。
The voice reminded me of my mother.	その声を聞いて私は母を思い出した。
That student sometimes affects illness.	その生徒は時々仮病を使う。
The girl had a large red hat on.	その少女は大きな赤い帽子をかぶっていた。
Many lives were lost in the accident.	その事故で多くの命が失われた。
He was lying asleep in the sun.	その子供は、ひなたで横になって眠っていた。
The mountain rises above the plain.	その山は平原の上高くそびえている。
You must overcome the difficulties.	その困難を克服しなければならない。
The scene was burned into my memory.	その光景は私の記憶に焼きついた。
I don't know how deep the lake is.	その湖はどれくらい深いか知りません。
The director is sensitive to criticism.	その監督は批評を気にする。
The fire destroyed the tall building.	その火事が高いビルを破壊した。
The roof of the house let in the rain.	その家の屋根は雨漏りがした。
The restaurant goes its own way.	そのレストランは独特の風格がありますね。
The building was completely destroyed.	そのビルはすっかり壊された。
The coach gave him some good advice.	そのコーチは彼によい助言をした。
Something is wrong with the engine.	そのエンジンはどこか故障している。
Who will take care of your cat then?	じゃあ、ネコの世話は誰がするの。
How are your parents getting along?	ご両親はいかがお過ごしでしょうか。
On hearing this, he turned pale.	これをきいたとたん、彼は真っ青になった。
This is a car imported from Germany.	これはドイツから輸入した車です。
This is the best camera in the store.	これが店で一番いいカメラです。
I am quite comfortable in this room.	この部屋はとても気に入っている。
This weather is not good for the crops.	この天気は作物によくない。
We get a lot of snow here in winter.	この地方では冬になると雪が多い。
Please fill in this application form.	この申込書に記入してください。
Keep this information under your hat.	この情報は内密にしてください。
This custom dates from ancient times.	この習慣は古代から続いている。
It isn't worth repairing this car.	この車は修理するだけの値打ちはない。
This fact shows that he is honest.	この事実から彼が正直な人だとわかる。
I prepared well for this examination.	この試験のためによく準備した。
I am to blame for this mistake.	この間違いについて私が責められるべきです。
We've had enough of this bad weather.	この悪い天気はもうたくさんだ。
This restaurant provides good meals.	このレストランは良い食事を出す。
This is how the incident happened.	このようのしてその出来事は起こった。
I wonder what this phrase means.	このフレーズの意味はどうなるでしょうか。
I can't get the door to shut properly.	このドアはよく閉まりません。
There are fifty members in this club.	このクラブの会員は５０名です。
The buses run every ten minutes here.	ここではバスは十分おきに通る。
Ken seems to have a terrible cold.	ケンはひどい風邪をひいているようだ。
I failed to put film in my camera.	カメラにフィルムを入れるのを忘れた。
Dad told me to help you, Mom.	お母さん、お父さんが僕にお母さんを手伝えって。
Did you get the package I sent you?	お送りした小包、受け取りましたか。
You should build a fire under the kid.	お子さんに少し発破を掛けろ。
Your brother got married, didn't he?	お兄さんが結婚なさったのですね。
You should be careful of your money.	お金は大事にしなくてはならない。
They sell good foods at that shop.	あの店では良質の食料品を売っている。
It is dangerous to climb that mountain.	あの山に登るのは危険です。
Look at that building. Is it a temple?	あの建物を見て。お寺ですか。
That movie was extremely interesting.	あの映画は実におもしろかった。
You may depend on him to help you.	あなたは彼の助けを当てにしてもよい。
You need not pay for your lunch.	あなたは昼食代を払わなくてもいいですよ。
Are you satisfied with the result?	あなたはその結果に満足していますか。
It is you that is to blame for it.	あなたはそのことに対して責任がある。
You are nodding over your work.	あなたはお仕事しながらこっくりしてますよ。
Your parents kept an eye on us.	あなたの両親が私たちを見守ってくれました。
The cold weather extended into April.	４月になって寒い天気が続いた。
Lie down and make yourself comfortable.	横になって楽にして下さい。
All men naturally hate each other.	すべての人間は自然に互いを憎み合う。
Shall we meet tomorrow morning at nine?	明朝九時に会いましょうか。
It is scheduled to start at 10 o’clock.	１０時開始を予定にしています
It has great significance to Yamada.	それが山田には大きな意味合いを持つ
Not everyone has a mobile phone.	全ての人が携帯電話を持っているわけではない
I took a water bus for the first time.	私は初めて水上バスを使いました
Parents wish for their children's growth.	親が子供たちの成長を願う
Someone makes the software for live use.	誰かが実況用のソフトを作る
The customer comes back to the shop again.	お客が店にもう一度来る
He slept motionlessly and quietly.	彼が身じろぎもせず、静かに寝息を立てた
X gradually increases self-confidence.	Xが少しずつ自分の自信に繋がる
I put my wishes on the strip of paper.	短冊にわたしの願いを込めました
The new equipment is more body-friendly.	新しい機材の方が体に優しい
Bioethanol is more earth-friendly.	バイオエタノールを使う方が地球に優しい
The amount of snow has increased even more.	更に雪の量が多くなる
She's going to ask him to go to the beach.	彼女が彼をビーチに誘う
That's the way that I see humanity.	そんな人類の姿が私の目には写っている
It had a good grip on their customers.	それがしっかりと客の心を掴んだ
The preparations are well under way.	着々と全ての準備が整いつつあります
He left a bad impression on everyone.	彼がみんなに悪印象を持たれました
He steals the ball from a high position.	彼が高い位置でボールを奪う
This is closely related to our lives.	これは私たちの生活に密着している
I also prefer it with the hair worn up.	髪も上げたほうが私は好きだ。
My kids have their spring break soon.	私の子供達はもうすぐ春休みです。
There is no rule but has some exceptions.	例外のないルールはない。
Some are wise, some are otherwise.	利口な人もいれば、そうでない人もいる。
He took delight in talking with friends.	友人と話すのが楽しかった。
The fields lay covered with deep snow.	野原は深い雪におおわれていた。
He judged it wiser to remain silent.	黙っていた方が利口だと彼は考えた。
I feel like taking a day off tomorrow.	明日休みをとろうと思っている。
Tomorrow we will encounter the enemy.	明日我々は敵軍に出くわすだろう。
I don't know if it will rain tomorrow.	明日雨が降るかどうか知らない。
I will stay home if it rains tomorrow.	明日雨が降ったら、家にいます。
I must pay a visit to the doctor tomorrow.	明日一度医者へ行こう。
I'll be in my office from ten tomorrow.	明日は十時から会社にいます。
Could I have one for tomorrow morning?	明日の朝１台お願いできますか。
Can you wake me up at 7:00 tomorrow?	明日７時に起こしていただけますか。
My sister is suffering from a bad cold.	妹は悪い風邪にかかっている。
While reading a book, I fell asleep.	本を読んでいる間に眠ってしまった。
I am afraid I'll be a burden to you.	僕は君に厄介になるんじゃないかな。
I must remember to mail the letter.	忘れずに手紙を出さなければならない。
What's the name of your insurance company?	保険の名前は何ですか。
Let's be careful not to catch a cold.	風邪を引かないように注意しよう。
Finding an apartment can be difficult.	部屋探しは苦労することがある。
Leaving the room, he bowed to me.	部屋を出るときに、彼は私にお辞儀をした。
My father was satisfied with the result.	父はその結果に満足だった。
The top of Mt. Fuji is covered with snow.	富士山は雪を頂いている。
Illness prevented me from going out.	病気のために私は外出出来なかった。
Don't fail to return the book tomorrow.	必ず明日その本を返しなさい。
That's enough money to cover the expenses.	費用にはその金で十分。
Don't be too sensitive to criticism.	批判に敏感になりすぎてはいけない。
She has been sick in bed for some time.	彼女は病気で床についている。
She demanded one above the necessity.	彼女は必要以上のものを要求した。
She will be a good companion for him.	彼女は彼のいい相手になるだろう。
She was satisfied that he was honest.	彼女は彼が正直であると納得した。
She slipped in crossing the road.	彼女は道路を横断するとき、足を滑らせた。
She told me how it was wrong to steal.	彼女は盗みは良くないといった。
She fell down and broke her left leg.	彼女は倒れたために左脚を折った。
She finished up lunch with coffee.	彼女は昼食の終わりにコーヒーを飲んだ。
She hurried so she wouldn't be late.	彼女は遅れないように急いで行った。
She had a book stolen from the library.	彼女は書斎から本を盗まれた。
She should have arrived home by now.	彼女は今ごろ家に着いているはずだ。
She smiled at herself in the mirror.	彼女は鏡に映った自分に笑いかけた。
She can speak English very naturally.	彼女は英語をすらすらと話せます。
They say that she'll get married soon.	彼女はもうすぐ結婚するそうだ。
She had escaped detection somehow.	彼女はどうにか見つけ出されずにすんだ。
She looked terrible at that time.	彼女はそのとき恐ろしい顔つきをしていた。
She is, as it were, a walking speaker.	彼女はいわば歩くスピーカーだ。
She's always finding fault with me.	彼女はいつも僕のあら捜しをしている。
She takes everything for granted.	彼女はあらゆることを当然だと思っている。
She is connected with that company.	彼女はあの会社と取引関係があります。
I was surprised at her sudden visit.	彼女の突然の訪問に私は面食らった。
I take my hat off to her for her effort.	彼女の努力には頭が下がる。
