Perfect!	完璧だ！
We haven't heard from her of late.	最近は彼女から便りが無い。
We have finished the work for today.	今日の仕事は終わった。
I think I'll brown bag it this week.	今週は弁当を持参する。
I don't have anything to do now.	今は何もすることがありません。
A woman is going into it now.	今１人の女の人が入っていきましたよ。
I am in communication with her now.	今、彼女と文通している。
Power carries responsibility with it.	権力には責任が伴う。
Kenji is a good speaker of English.	健二は英語を上手に話す。
I hope your brother is better.	兄さんはよくおなりだと思いますが。
You must have stayed up late.	君は遅くまで起きていたにちがいない。
You had better take a little rest.	君は少し休んだほうがよい。
You should not resort to drinking.	君は酒に頼るべきではない。
You may as well do the task now.	君はその仕事を今した方がよい。
Check your answers with his.	君の答えを彼の答えと合わせてみなさい。
Your answer is far from perfect.	君の答えは完璧どころではない。
How far is it to the airport?	空港までどれくらい距離がありますか。
There is nothing like air travel.	空の旅行ほどよいものはない。
Money enables you to buy anything.	金があればなんでも買える。
Modern methods improved industry.	近代的方法で産業は向上した。
I have seen little of him of late.	近頃彼にほとんど会わない。
I hope to see his picture soon.	近いうちに彼の絵を見たいと思う。
Last summer I traveled to Italy.	去年の夏はイタリアへ旅行した。
Let's get something quick to drink.	急いで何か飲みましょう。
He stayed there during the vacation.	休憩中そこに滞在した。
I did nothing during the holidays.	休みはただ怠けていました。
Well begun is half done.	滑り出しが好調なら事は半ば成就したのに等しい。
The students performed Hamlet.	学生たちは「ハムレット」を演じた。
We spoke about many subjects.	我々はいろいろの問題について話した。
We work by day, and rest by night.	我々は、昼は働き夜は休む。
Please wait outside of the house.	家の外で待っていてください。
The summer vacation begins in July.	夏休みは７月から始まる。
I managed to find his office.	何とか彼の会社を見つける事ができた。
Something may have happened to him.	何か起きたかもしれない。
Can I get you something to drink?	何か飲み物をいれましょうか。
Would you like something to drink?	何か飲み物はいかがですか。
Is there anything you can do?	何かあなたにできることがありますか。
I am interested in listening to music.	音楽鑑賞が趣味だ。
We can see Mt. Fuji in the distance.	遠くに富士山が見える。
We could see the ship in the distance.	遠くに船が見えた。
Allow an hour to get to the station.	駅まで１時間を見込む。
Speaking English is not easy.	英語を話すことはやさしくありません。
Does he have general common sense?	一般常識を持っていますか。
The weather has been nice all week.	一週間ずっと天気がよい。
Let me give you a piece of advice.	一言忠告しておきたいんだ。
Doctors do not always live long.	医者は必ずしも長生きをしない。
You had better see the doctor.	医者に見てもらった方がいいですよ。
I think you should see a doctor.	医者に見てもらうべきだと思う。
London is the capital of England.	ロンドンは英国の首都である。
Do your best in anything you do.	やることは何でも全力をつくせ。
As it is late, turn off the TV.	もう遅いからテレビを消しなさい。
Meg must carry on her studies.	メグは勉強を続けなけれがならない。
Meg is the double of her mother.	メグはお母さんとそっくりです。
Is Spanish spoken in Mexico?	メキシコではスペイン語が話されますか。
Mary is in want of common sense.	メアリーには常識が欠けている。
We should respect our parents.	みな両親を尊敬しなければならない。
We hope you enjoy the movie.	みなさま、どうぞ映画をお楽しみ下さい。
I trust that I can see you again.	またお会いできると思います。
Mike eats out almost every night.	マイクはほとんど毎晩外食だ。
Fred often comes late for class.	フレッドはよく授業に遅刻する。
I don't speak French very much.	フランス語ではあまり話しません。
Mrs. Brown understands Japanese.	ブラウン夫人は日本語が分かる。
Bill is on his way to New York.	ビルはニューヨークへ行く途中だ。
Hitler assumed power in 1933.	ヒトラーは１９３３年に権力を取った。
Would you like to wait in the bar?	バーでお待ちになりますか。
The party was a marked success.	パーティーは明らかに成功だった。
Would you care for something to drink?	なにか飲み物でも？
Come what may, I am ready.	どんな事があっても、私は覚悟ができている。
Any child can enjoy the story.	どんな子供でもその物語を楽しめる。
Tom did well considering his age.	トムは年の割にはよくやった。
Tom liked his job very much.	トムは自分の仕事がたいへん好きでした。
I almost think you're right.	どうやらおっしゃるとおりだと思います。
There seems to be no need to go.	どうも行く必要はないようです。
Please go up to the third floor.	どうぞ３階へ上がってください。
Doors ain't as bad as you think.	ドアは思ったほど悪くはないぞ。
The girl at the door is Lucy.	ドアの所にいる女の子はルーシーです。
Could you give me some advice?	ちょっと知恵を拝借ねがえませんか。
It is getting cooler and cooler.	だんだん涼しくなっていきます。
Don't let anyone come near the fire.	だれも火に近づけるな。
You can't get anything for nothing.	タダほど高いものはない。
But now, nothing is left for me.	だが今、俺には何も残ってない。
If anyone can do it, Bill can.	それをするにはビルがうってつけだ。
Leave that job to the experts!	それは専門家に任せたほうがいいよ。
This has nothing to do with you.	それはあなたと全然関係がない。
The story had a happy ending.	その話はめでたしめでたしで終わった。
Please show me the green shirt.	その緑のシャツを見せてください。
The tree was ready to fall down.	その木は今にも倒れそうだった。
None of the girls are students.	その娘たちのだれも学生ではない。
The room was filled with people.	その部屋は人でいっぱいだった。
The room was in perfect order.	その部屋はすっかり整頓されていた。
There is a television in the room.	その部屋にはテレビがある。
The store is across the street.	その店は通りの向かいにあります。
The man wanted to have a drink.	その男は一杯飲みたかったのです。
The man kept talking for an hour.	その男は一時間喋りつづけた。
The river flows through the town.	その川は町をとおって流れる。
The goods were advertised on TV.	その商品はテレビで広告された。
We call the mountain Tsurugidake.	その山を私たちは剣岳と呼ぶ。
You must keep to the rules.	あなたはその規則を守らなければならない。
What does the company produce?	その会社は何を作っているのですか。
The movie received mixed reviews.	その映画には賛否両論が出た。
The doctor performed the operation.	その医者が手術を行った。
The news made me happy.	そのニュースは私をうれしい気分にしてくれました。
The computer was very useful.	そのコンピューターは大変役にたった。
And there is not even enough water.	そして十分な水さえない。
I haven't quite finished eating.	すっかり食べ終わってはいない。
John took a walk along the river.	ジョンは川に沿って散歩した。
John kept his head above water.	ジョンは顔を水の上に出していた。
I'll meet you at the ball park.	じゃ、グラウンドで会いましょう。
Jim mastered French and German.	ジムは仏語と独語が自由に使える。
I can't go along with Jim's plan.	ジムの計画には賛成出来ない。
Give my best respects to your parents.	ご両親によろしく。
Remember me to your parents.	ご両親にどうぞよろしくお伝えください。
We couldn't be happier for you.	これ以上嬉しいことはありません。
Please put these glasses away.	これらのグラスを片付けてください。
This is the job of my own choice.	これは自分で選んだ仕事です。
This has increased family income.	これは家庭の収入を増やした。
I know nothing in respect of this.	これについて何も知らない。
How is this connected to that?	これとあれはどういう関係があるの。
Here are the numbers of my checks.	これが私の小切手番号です。
This medicine will do good to you.	この薬を飲めば良くなるよ。
This medicine will do you good.	この薬を飲めばよくなるでしょう。
We will discuss this problem later.	この問題はあとでしよう。
I would like my hair in this style.	この髪型にしてください。
I agree with you on this point.	この点で私はあなたと同意見です。
The red kills the whole pattern.	この赤色で柄全体がだいなしだ。
This lake is deepest at this point.	この湖はここが最も深い。
This rule reads several ways.	この規則はいく通りも解釈があります。
This rule reads several ways.	この規則はいくとおりにも解釈できる。
This rule reads several ways.	この規制はいくとおりにも解釈できる。
This chair is in want of repair.	この椅子は修繕する必要がある。
I would like to have a rest here.	ここで一休みしたいものです。
Please wait here for a while.	ここでしばらくの間待っていて下さい。
Kate speaks English very fast.	ケイトはとても速く英語を話します。
May I use your telephone?	お宅の電話をお借りしてもよろしいでしょうか。
Would you like something to drink?	お飲み物はいかがでしょう？
What is more, he has a strong will.	おまけに彼は意志が強い。
Thank you very much for your help.	おかげさまで助かりました。
Oh, I'll probably just stay home.	うん、私はたぶん家にいるわ。
No, the traffic wasn't too bad.	いや、それほど混んでなかったよ。
It's too late to turn back now.	いま引き返すことは、おそすぎる。
When did you get back from your trip?	いつ旅から帰ったの。
Once you start, carry it on.	いったん始めたら、やり続けてください。
I'm looking forward to good news.	いい結果、期待してるからな。
Ann finished painting the picture.	アンはその絵をかき終えた。
You can't count on their help.	あの人達の助力はあてにできないよ。
Do you look up to your parents?	あなたは両親を尊敬していますか。
You have only to play a role.	あなたは役割を果たしさえすればよい。
You had better not eat too much.	あなたは食べ過ぎない方がよい。
Do you have any foreign books?	あなたは外国の本を持っていますか。
Do you want anything to eat?	あなたは何か食べるものが欲しいですか。
How many languages do you speak?	あなたは何カ国語を話しますか。
What do you have in your bag?	あなたはバッグに何を持っていますか。
What sport do you like best?	あなたはどのスポーツが一番好きですか。
You must help your mother.	あなたはお母さんを手伝わなければならない。
Fill in your name and address.	あなたの名前と住所を記入しなさい。
Your family must be very nice.	あなたの家族はきっと親切でしょう。
I am quite pleased with you.	あなたのことがすっかり気に入りました。
Can your mother drive a car?	あなたのお母さんは車を運転できますか。
I can't thank you enough.	あなたにいくら感謝してもしすぎることはない。
Please call me at my hotel later.	あとでホテルに電話を下さい。
The new year will come in an hour.	あと１時間で年が明けます。
I have to cover his loss.	あいつの損を埋めてやらなくちゃならないんだ。
I'd like to take a 9:30 flight.	９時３０分発の便に乗りたいです。
I'll be over in half an hour.	３０分後にはお母さんがそこに行くわ。
Don't be late for school again.	２度と学校に遅れてはいけません。
Love began to grow between the two.	２人の間に愛が芽生えた。
May I ask a couple of questions?	２つの質問をしてもよいですか。
I've been there a couple of times.	２、３度行ったことがある。
"Performed" is the right word.	「行った」というのが適切な言葉だ。
"Who is it?" "It's your mother."	「どなたですか」「お母さんよ」
He will have his own way.	彼はどうしても自分の思い通りにしようとする。
Are there any bags in this shop?	この店にはバッグがありますか。
Her voice could be heard well.	かのじょの声は十分に聞こえました。
That sort of thing won't happen.	そんなことは起きないでしょう。
If you don't want it, I'll eat it.	要らないなら僕が食べるよ。
It always seems like it is there.	それがあるようにいつも思います
There are a lot of really nice bags.	本当に素敵なバッグが多い
It has nothing to do with me at all.	私にはまったく関係が無い
95.9% used employment websites.	９５．９％が就職関連サイトを使った
I didn't know any other methods.	私はそれ以外の方法を知らなかった
I look for items with the same theme.	同じテーマの商品を探す
He looks for a soulmate in his area.	彼が地元で運命の人を探す
It's especially popular among women.	特に女性の間で人気が高い
It already has a certain result.	それがすでに一定の成果を上げます
Further efforts will be required.	より一層の取り組みが求められる
He has many problems with his hair.	彼が髪に多くの悩みを抱える
I'm looking forward to next week again.	また来週が楽しみだ
We are friendly to the environment.	当社は環境に配慮しています
Thus, people have left the town.	こうして街から人の姿が消えました
It's based on the following ideas:	以下の考え方に基づいています
Thank you for reading to the end.	ご読了ありがとございました〜。
You can't call dogs off from a fight.	噛み合う犬は呼び難し。
Old people need someone to talk to.	老人には話し相手が必要だ。
It's a lot of fun going on a trip.	旅行に行くのはとても楽しい。
I will give you anything you want.	欲しいものは何でもあげるよ。
Don't stay up late every night.	毎晩遅くまで起きていてはいけない。
I am thinking of nothing but you.	僕は君のことばかり考えている。
That just doesn't make sense to me.	僕にはわけがわからないよ。
My mother brought him to my room.	母は彼を私の部屋につれてきた。
My mother cut my hair too short.	母は私の髪の毛を短く切りました。
My mother made me take some medicine.	母は私に薬を飲ませた。
My mother told me not to go out.	母は私に外出しないようにいった。
Mother has gone to the market.	母はマーケットへ買い物に行きました。
My mother was up late last night.	母はゆうべ遅くまで起きていた。
My mother is not always at home.	母はいつも家にいるわけではない。
We guarantee our products for one year.	保証は一年間です。
The wind grew stronger and stronger.	風がどんどん強くなった。
Is the room big enough for you?	部屋の大きさは、これで十分ですか。
Would you like to wait in the room?	部屋でお待ちになりますか。
A hundred years is called a century.	百年は一世紀と呼ばれる。
She is independent of her parents.	彼女は両親から独立している。
She is not anything like her mother.	彼女は母親とまるで違う。
She must have been very beautiful.	彼女は美しかったに違いない。
Her son meant everything to her.	彼女は息子だけが生きがいだった。
She was kind enough to help me.	彼女は親切にも手伝ってくれました。
She was kind enough to help me.	彼女は親切にするように言いました。
She graduated from Kobe University.	彼女は神戸大学の出身です。
She drinks a little wine at times.	彼女は時々ワインを少し飲む。
She acted as if she knew nothing.	彼女は何も知らないふりをした。
She is good at speaking English.	彼女は英語を話すのが得意である。
She has already finished the work.	彼女はもう仕事を終えました。
Has she finished the book yet?	彼女はもうその本を読み終えましたか。
She can speak English very well.	彼女はとても上手に英語を話せる。
She drinks a little wine at times.	彼女は時折ワインを少し飲む。
She demanded to know about it.	彼女はそれについて知りたいと言った。
It happened that he saw her there.	彼はそこで偶然彼女に会った。
She ended up in the hospital.	彼女はしまいには入院するはめになった。
She acted as leader of our club.	彼女はクラブの指導者をつとめた。
She has had quite a lot to drink.	彼女はかなりの量の酒を飲んだ。
She always keeps her hair clean.	彼女はいつも髪を清潔にしている。
Her name is known to everyone.	彼女の名前はみんなに知られています。
I'm quite sure of her success.	彼女の成功はまちがいないと思います。
Her eyes are her best feature.	彼女の顔のつくりの中で目が一番いい。
It would be nice to tell her.	彼女に話すのが親切というものでしょう。
He gave me authority to fire them.	彼らを解雇する権限をくれた。
They advertised a new car on TV.	彼らは新型車をテレビで宣伝した。
They do anything in order to win.	彼らは勝つためには何でもする。
They looked up to their leader.	彼らは自分たちの指導者を尊敬した。
They looked on me as their leader.	彼らは私を指導者とみなした。
They don't love their school enough.	彼らは愛校心が足りない。
What a nice couple they are!	彼らはなんてすてきなカップルなんだろう。
They sent for a doctor at once.	彼らはただちに医者を呼びにやった。
They broke into the jewelry shop.	彼らはその宝石店に押し入った。
They often drop in to see us.	彼らはしばしば我々のところへ立ち寄る。
They don't use chairs or tables.	彼らはいすとテーブルを使わない。
They must work 8 hours a day.	彼らは１日８時間働かなければならない。
I'm considering going with them.	彼らに同行しようかと考慮中です。
He does not look up to his parents.	彼は両親を尊敬していない。
He is independent of his parents.	彼は両親の世話になっていない。
His days are drawing to their close.	彼は余命いくばくもない。
He turned to his friends for help.	彼は友人たちに助けを求めた。
Does he watch television every day?	彼は毎日テレビを見ますか。
He cares little for my advice.	彼は僕の忠告にほとんど耳を貸さない。
He flew from London to Paris.	彼は飛行機でロンドンからパリへ行った。
His one thought is to see her.	彼は彼女に会うことばかり考えている。
He looks young considering his age.	彼は年の割には若く見える。
He transferred his office to Osaka.	彼は大阪に事務所を移した。
He is not old enough to vote.	彼は選挙権がある年齢に達していません。
He is most happy about his success.	彼は成功を大変喜んでいる。
He brought the world to its senses.	彼は世の中を正気に戻した。
Business carried him to Kobe.	彼は商用で神戸に行かねばならなかった。
He does not study hard enough.	彼は十分といえるほどには勉強しない。
He said nothing as to the time.	彼は時間のことは何も言わなかった。
He kept us waiting for a long time.	彼は私達を長い間待たせた。
Directly he saw me, he ran away.	彼は私を見るやいなや走り去った。
He is a close friend of my brother.	彼は私の弟の親しい友達だ。
He gave a nice present to me.	彼は私に素敵なプレゼントをくれました。
He helped me carry the chair.	彼は私が椅子を運ぶのを手伝ってくれた。
He graduated from college last year.	彼は昨年大学を卒業した。
He has taken to drinking recently.	彼は最近酒を飲む癖が付いた。
He made up his mind to try again.	彼は再びやってみる決心をした。
He left his country two years ago.	彼は今から２年前に国をでた。
He works for an advertising agency.	彼は広告会社に勤めている。
He never goes against his parents.	彼は決して両親に逆らわない。
He is anything but a good student.	彼は決してよい生徒ではない。
He picked me up on his way home.	彼は帰りに私を車に乗せてくれた。
He has done much for his company.	彼は会社に大いに尽くしている。
He had to part with his house.	彼は家を手放さなくてはならなかった。
He kept waiting for hours and hours.	彼は何時間も待ち続けた。
He speaks both English and French.	彼は英語もフランス語も話す。
Do you think he is a good driver?	彼は運転がうまいと思いますか。
He is looked up to as a leader.	彼はリーダーとして尊敬されている。
He has a good command of French.	彼はフランス語が自在にこなせる。
He is on good terms with Mr Brown.	彼はブラウンさんと仲が良い。
He did all there was in his power.	彼はできる限りのことをした。
He seems to make nothing of it.	彼はそれを全く理解できないようだ。
It seems that he knows about it.	彼はそれについて知っている様だ。
It seems that he knows everything.	彼はすべて知っているらしい。
He has quite a few records.	彼はかなりたくさんのレコードを持っている。
He is always true to his friends.	彼はいつも友人に対して忠実だ。
He was always as good as his word.	彼はいつも約束を守っていた。
He doesn't always come late.	彼はいつも遅れてくるというわけではない。
He would have his own way.	彼はあくまで自分の思いどおりにやろうとした。
He is waiting for a telephone call.	彼は、電話がなるのを待つ。
I couldn't remember his name.	彼の名前を思い出すことが出来なかった。
His wish was to go to America.	彼の望みはアメリカへ行くことでした。
His political career has ended.	彼の政治家としての生涯は終わった。
Is there any hope of his success?	彼の成功の見込みはありますか。
His job has to do with telephones.	彼の職業は電話と関係がある。
Remember to answer his letter.	彼の手紙に返事を出すことを忘れるな。
His car has just been repaired.	彼の車は修理が終わったばかりです。
His office is on the eighth floor.	彼の事務所は８階にあります。
His house is across the street.	彼の家は通りの向こう側にあります。
I do not know anything about him.	彼のことはまったく知りません。
You have only to ask for his help.	彼に援助を求めるだけでいい。
I will have him repair this watch.	彼にこの時計を修理させよう。
I have nothing in common with him.	彼と私には共通点が何もない。
Who can guarantee his success?	彼が成功するとだれが保証できようか。
He is actually not the manager.	彼が支配人だというのは事実でない。
Sport has made him what he is.	彼が今日あるのはスポーツのおかげだ。
He is the man who drew the picture.	彼がその絵をかいた人です。
Don't put the cart before the horse.	馬車を馬の前につなぐな。
Don't put the cart before the horse.	馬の前に荷車を付けるな。
The farm owner has a large farm.	農園主は大きな農場を持っている。
Do I have to stay in the hospital?	入院しなければいけませんか。
Where in Japan did you grow up?	日本のどこであなたは育ちましたか。
There is nothing new under the sun.	日のもとに新しきものなし。
All at once we heard a shot outside.	突然外で銃声が聞こえた。
The same is true of the nation.	同じ事が国家についても当てはまる。
Efforts do not always pay off.	努力は必ずしも報われるものではない。
May I see the telephone directory?	電話帳をみせてもらえますか。
I want to have a telephone installed.	電話を引きたいのです。
Play out of doors on a fine day.	天気の良い日には外で遊びなさい。
My brother has been friendly to him.	弟は彼に優しくしてきた。
My brother is not yet in school.	弟はまだ、学校に行っていません。
There are stores along the street.	通りに沿って店が並んでいる。
The Chinese are a friendly people.	中国人はとても友好的ですよ。
Can you count to ten in Chinese?	中国語で10まで数えられますか？
Can you explain why you were late?	遅刻の理由を言ってください。
The earth is made up of sea and land.	地球は海と陸からなる。
Men make houses, women make homes.	男は家を造り女は家庭を作る。
I'll transfer you to the right person.	担当者とかわります。
No one respected men like him.	誰一人彼のような男を尊敬しなかった。
I'd like to run a big stock farm.	大きな牧場を経営してみたいな。
No one else can fill that job.	他にその仕事をこなせる人はいないよ。
Mr Hayakawa was respected by him.	早川先生は彼に尊敬されていた。
I've had just about enough of her.	全く彼女にはうんざりしたよ。
All the players were in position.	選手達はみな位置についていた。
The baby is looking for its mother.	赤ん坊は母親を探している。
Bring me a glass of water, please.	水を一杯持ってきてください。
When did man start to use tools?	人間はいつ道具を使い始めたのか。
A person is either male or female.	人は男か女のどちらかである。
One should love one's own mother.	人はその母親を愛すべきである。
I've been waiting for love to come.	心の傷を癒してくれる愛を。
Do you eat at home or eat out?	食事は家庭で食べますか、外食ですか。
The boy enjoyed painting a picture.	少年は絵を描いて楽しんだ。
All the boys spoke, each in turn.	少年達はみんな順にしゃべった。
Woods grow greener in the spring.	春になると森は青々としてくる。
Try to live within your income.	収入内で生活をするようにしなさい。
Try to live within your income.	収入ないで生活するようにしなさい。
My income has gone down by 10 percent.	収入が１０％減った。
Nothing is more important than time.	時間ほど大切な物はない。
The flight took us ten hours.	私達は飛行機に１０時間乗っていました。
We will do anything for you.	私達はあなたがたのためになんでもします。
Please take me along with you.	私もいっしょに連れて行ってください。
I've finished typing the report.	私は報告書のタイプを終えました。
I hear from my mother every month.	私は母から毎月便りをもらう。
I don't like the way she speaks.	私は彼女の話し方は好きではない。
I felt bad about picking on him.	私は彼をいじめたことを後悔した。
I am to pick him up at five.	私は彼を５時に車で迎えに行く予定である。
I was not interested in his life.	私は彼の生活に興味がなかった。
I'm looking over his report.	彼のレポートに目を通しているところです。
I don't like the way he speaks.	私は彼のしゃべり方が気に入らない。
I had my brother clean the room.	私は弟に部屋を掃除してもらった。
I was quite at a loss for words.	私は大変当惑し言葉がでなかった。
I'll buy a watch for my son.	私は息子に腕時計を買ってやるつもりです。
I got my room cleaned by my son.	私は息子に私の部屋を掃除させた。
I make it a rule to get up early.	私は早く起きることにしている。
I live an hour away from work.	私は職場から１時間の所に住んでいる。
I must have my car repaired.	私は車を修理してもらわなければならない。
I did not reach school in time.	私は時間までに学校に着かなかった。
I don't feel like going for a walk.	私は散歩に行く気など無い。
I graduated from Kyoto University.	私は京都大学を卒業しました。
I didn't see a doctor last year.	私は去年医者に行きませんでした。
I will pick him up at the station.	私は駅に彼を迎えに行きます。
I looked for the book for an hour.	私は一時間その本をさがした。
I shall will my money to a hospital.	私は遺産を病院に贈ろう。
I would walk along the river.	私はよくその川に沿って散歩したものだ。
I feel as if I were dreaming.	私はまるで夢を見ているような気がする。
I'm not able to speak so fast.	私はそんなに早く話すことができない。
I agreed with him on that point.	私はその点で彼と意見が一致した。
I know every inch of the town.	私はその町の隅から隅まで知っている。
I have nothing to do with the case.	私はその件とは関係はない。
I would like to carry out the plan.	私はその計画を実行したい。
I was the happiest man on earth.	私はこの世で一番の幸せ者でした。
I will act on your advice.	私はあなたの助言に従って行動するつもりです。
I have been studying for two hours.	私は２時間勉強しています。
I stopped listening to the radio.	私は、ラジオを聞くのをやめた。
I have nothing particular to do.	私は、やることは特にありません。
I will carry through the work.	私は、その仕事をやり遂げるでしょう。
Both my parents are quite well.	私の両親は二人ともとても元気です。
My mother looks young for her age.	私の母は年の割に若く見える。
My hair is longer than Jane's is.	私の髪はジェーンの髪より長い。
My hair is the longest in my class.	私の髪はクラスで一番長い。
You will do well to take my advice.	私の忠告を聞いた方がいい。
He looks older than my brother.	彼は私の兄よりも年が上に見えます。
A small stream runs by my house.	私の家の近くを小川が流れている。
Would you like to dance with me?	私と一緒に踊っていただけますか。
We keep three dogs and a cat.	私たちは犬を３匹と猫を１匹飼っている。
Let us give you a piece of advice.	私たちは君に一つ忠告したい。
We'll soon be happy, won't we?	私たちはもうじき幸福になるのですね。
We stood talking for half an hour.	私たちは３０分立ち話をした。
I think we can get along well.	私たち、うまくやっていけると思うの。
There was nothing left over.	残ったものはなにひとつありませんでした。
Kill me! Kill me! Kill all of me!	殺せ！殺せ！俺のすべてを殺せ！
He dropped in on me last night.	昨晩彼はひょっこり私を訪ねてきた。
The first attack missed the target.	最初の攻撃は目標を外れた。
It's time to move in for the kill.	最後のつめにはいるときです。
I haven't seen much of him recently.	最近彼とあまり会わない。
How about eating out this evening?	今夜外食するのはどうですか。
We had a very hot summer this year.	今年の夏はとても暑かった。
You may take anything you like.	好きな物を持っていってもよろしい。
I'm looking forward to your reply.	御返事を御待ちしております。
They won't be ready for another month.	後１ヶ月かかります。
You seem to be a little under the weather.	元気ないね。
No, thank you. I'm just looking.	結構です。ただ見ているだけです。
The police checked up on each car.	警官は車を１台１台検問した。
My brother died of cancer last year.	兄は昨年癌で死にました。
You should get your hair cut.	君は髪の毛を刈ってもらったほうがいい。
Are you not able to speak English?	君は英語を話せないのですか。
You will not take Bob's advice.	君はボブの忠告に従おうとはしない。
You are responsible for the result.	君はその結果に責任がある。
Your dream will come true some day.	君の夢はいつか実現するさ。
If only I had taken your advice.	君の忠告に従ってさえいればなあ。
Your shirt button is coming off.	君のシャツのボタンとれそうだよ。
I have no idea what you mean.	君のいわんとする事が僕にはわからない。
I will find you a good doctor.	君に良い医者を見つけてあげましょう。
It seems like there's no money left.	金が残っていないようだ。
I have not heard from her recently.	近ごろ彼女から便りがない。
Fish and red wine don't go together.	魚と赤ワインは合わない。
Last summer I traveled to Italy.	去年の夏私はイタリアへ旅行した。
The stock market has dropped today.	株式市場は今日、下落した。
Each country has its own customs.	各国にはそれぞれの習慣がある。
Learning a foreign language is fun.	外国語を学ぶことは楽しい。
Everyone looked on me as a leader.	皆が私をリーダーとみなした。
We must die sooner or later.	我々は遅かれ早かれ死ななければならない。
We must carry out that plan.	我々はその計画を実行しなければならない。
All the family set off on the trip.	家族全員が旅行にでかけた。
May I bring my family along?	家族もいっしょに連れてきてもいいですか。
My advice is for you to go home.	家に帰った方が良いと忠告します。
The summer had gone before I knew.	夏は知らない間に過ぎていた。
In doing anything, do your best.	何をするときでも全力でしなさい。
Do you have anything to talk about?	何か話すことがありますか。
A certain problem may come about.	何か問題が起こるかもしれない。
I sensed what was happening.	何が起こっているのか、私は気づいていた。
I sounded him out about his views.	遠まわしに彼の意見を探った。
The station is the middle of the city.	駅は市の中央にある。
Can you pick me up at the station?	駅に迎えに来てくれませんか。
The driver felt like taking a rest.	運転手は休みたい気がした。
The driver maintained a high speed.	運転者は高速を出し続けた。
Space travel is no longer a dream.	宇宙旅行はもはや夢ではない。
What on earth are you doing here?	一体全体君は何をしているんだ。
How on earth did you know that?	一体どうしてその事を知っていたの。
Hard work has brought him success.	一所懸命働いて彼は成功した。
Please draw water from the well.	井戸から水をくんできてください。
His doctor ordered him to rest.	医者は彼に休養するように命令した。
You should drive at a safe speed.	安全なスピードで運転すべきだ。
Yumi can't finish it in a day.	ユミは１日でそれを仕上げられません。
Do your best in anything you do.	やることには何でも全力を尽くせ。
Spanish is spoken in Mexico.	メキシコではスペイン語が話されています。
Mary stayed up late last night.	メアリーは昨夜遅くまで起きていた。
Mary is helping her mother.	メアリーはおかあさんの手伝いをしています。
I have not finished the task yet.	まだ、その仕事を終えていない。
Does Mike call his dog Pochi?	マイクは彼のイヌをポチと呼ぶのですか。
Please connect me with Dr. White.	ホワイト博士につないで下さい。
Bob reached the finish line first.	ボブは１着でゴールインした。
Almost no one believed her.	ほとんど誰も彼女の言うことを信じなかった。
Is the hotel close to the airport?	ホテルは空港に近いのですか。
The ball rolled across the road.	ボールは道の向こう側に転がった。
Bern is the capital of Switzerland.	ベルンはスイスの首都です。
The party was such a great success.	パーティーは大盛会だった。
Napoleon was a man of authority.	ナポレオンは権威がある男だった。
Give me something nice to drink.	なにかおいしい飲み物をください。
Why did you turn down his offer?	なぜ彼の申し出を断ったのですか。
The late Mr Smith was a doctor.	なくなったスミスさんは医者でした。
What kind of sport do you like?	どんな種類のスポーツが好きですか。
As it is, I can do nothing.	ところが実はどうすることもできないのです。
Oh, I don't know if I agree with you.	どうも賛成しかねます。
Why did you come home so late?	どうして帰りがこんなに遅くなったの。
There is a glass on the table.	テーブルの上にガラスのコップがある。
I wanted to do some telephoning.	ちょっと電話をかけたいと思った。
Takeshi carried on his hard work.	たけしは、つらい仕事を続けた。
What's the sense of working so hard?	そんなに働いて何になる。
I never heard anything like that.	そんなことは聞いたことがない。
It would break if you dropped it.	それは落としたら割れるだろう。
Is it made of wood or metal?	それは木製ですか、それとも金属製ですか。
It runs against his character.	それは彼の人格を阻害することになる。
Please have someone else do it.	それは誰か他の人にやらせて下さい。
That's what I said all along.	それは私が初めからいってきたことです。
That's what I said all along.	それは最初から僕が言っていたことです。
It is still in the testing stage.	それはまだ実験段階にあります。
It's an interesting piece of news.	それはおもしろいニュースだ。
I don't remember agreeing to that.	それに同意した覚えはないよ。
Do you have any ideas about it?	それについて何か考えがありますか。
The old man was loved by everyone.	その老人は皆に愛されていた。
The tree is green all year round.	その木は１年中青々としている。
Parts of the book are quite good.	その本は所々非常にすばらしい。
The lady came from a good family.	その婦人は良家の出身であった。
The store is open all the year round.	その店は年中無休です。
The man was no better than a horse.	その男は、馬同然であった。
The river runs through the valley.	その谷間には川が流れている。
Will there be anything else?	その他購入するものはありますでしょうか。
The ship stands in need of repairs.	その船は修理が必要である。
The boy drew a picture on the wall.	その少年は壁に絵を描いた。
The girl had flowing hair.	その少女はすらりとたれさがった髪をしていた。
The goods are advertised on TV.	その商品はテレビで宣伝されている。
The copy agrees with the original.	その写しは原本と合っている。
The facts became known to everyone.	その事実は皆に知れ渡った。
Don't force the child to eat.	その子に無理に食べさせてはいけません。
The work has been almost completed.	その仕事は大部分完成した。
Carrying out the plan was easy.	その計画を実行するのは容易だった。
How much is the whole package?	そのパッケージは全部でいくらですか。
I love music as well as sports.	スポーツだけでなく、音楽も好きだ。
The switch didn't work on time.	スイッチは時間通りに働かなかった。
John can't keep his family.	ジョンは自分の家族を養うことができません。
John can't speak French well.	ジョンはフランス語が上手に話せません。
Jack is three years senior to me.	ジャックは私より3つ年上です。
