Duck!	頭を下げろ！
Help me bind the papers into bundles.	新聞をたばにするのを手伝ってくれ。
The new sofa goes with the curtains.	新しいソファーはカーテンとよく合う。
I'm so lucky to have someone who cares.	心配してくれる人がいて幸せだ。
It's important to follow a strict diet.	食事療法にきちんと従うように。
Put out your cigarette before you eat.	食べる前に煙草の火を消しなさい。
The information seems to have leaked out.	情報が外部に漏れたらしい。
At least thirty students were absent.	少なくとも三十人の学生が欠席した。
At least thirty students were absent.	少なくとも３０名の学生が欠席した。
Jump out of the frying pan into the fire.	小難をのがれて大難に陥る。
I have read every book on the shelf.	書架の本は１冊残らず全部読みました。
Many runners passed out in the heat.	暑さで多くのランナーが意識を失った。
I'd like to confirm the departure time.	出発時刻を確認したいのですが。
Those present took it for genuine gold.	出席者はそれを純金だと思った。
The boy left his homework half-finished.	宿題をやりかけにしておいた。
Have you finished your homework already?	宿題はもう終わったのですか。
My uncle is possessed of great wealth.	叔父は膨大な財産を所持している。
The surrounding hills protected the town.	周囲の丘がその町を守った。
I could swim faster when I was young.	若いころはもっと早く泳げたんだよ。
The dog lying on the grass is mine.	芝生に横になっている犬は、私の犬です。
You have to dig down and pay for it.	自分の責任を認めて自腹をきりなさい。
Time is more precious than anything else.	時間は他の何よりも貴重だ。
She felt less sad as time passed.	時がたつにつれ彼女の悲しみは薄れていった。
Unfortunately the poet died in his youth.	詩人は不幸にも若死にした。
We must rid the nation of drugs.	私達は国民から麻薬を追放しなければならない。
I think it's sad to have no friends.	私は友達がいないことは不幸だと思う。
I thought it wiser to hold my tongue.	私は黙っている方が賢明だと思った。
I had my photograph taken by my father.	私は父に写真を撮ってもらった。
I like to wear my skirts knee length.	私は膝の長さのスカートは好きです。
I'm going to her cocktail party.	私は彼女のカクテルパーティーに行く予定です。
I advised him to keep that promise.	私は彼にその約束を守るように忠告した。
I advised him to come back at once.	私は彼にすぐ帰ってくるように忠告した。
I heard of his involvement in crime.	私は彼が犯罪に関わったことを聞いた。
I am sure that he is an honest man.	私は彼が正直な男であると確信している。
I caught him stealing the camera.	私は彼が写真機を盗んでいる現場をとらえた。
I convinced him that he was wrong.	私は彼が間違っていることを彼に悟らせた。
I took his attendance for granted.	私は当然彼が出席するものだと思っていた。
I am staying with my uncle in Tokyo.	私は東京の叔父の家に滞在しています。
I raise a variety of roses in the garden.	私は庭でバラを育てている。
I am convinced that my son is innocent.	私は息子の潔白を信じています。
I find no shame in asking questions.	私は質問することを恥とはしていない。
I live my life for the sake of myself.	私は自分自身のために生きている。
I can't convey my feelings in words.	私は自分の感情を言葉で伝えられない。
I must have my bicycle repaired.	私は自転車を修理してもらわなければならない。
I sold the best jewel that I had.	私は持っているうちで一番良い宝石を売った。
I borrow books from the city library.	私は市立図書館で本を借りています。
I was lucky enough to get a good seat.	私は幸運にもよい席がとれました。
I can convey my feelings in words.	私は言葉で気持ちを伝えることができます。
I don't need any bit of your charity.	私は君のお情けなど少しもいらない。
I searched my pockets for the wallet.	私はポケットを探って財布を探した。
I was advised to visit the museum.	私はその博物館を訪れるように勧められた。
I saw the man knocked down by a car.	私はその男が車にはねられるのを見た。
I was able to swim across the river.	私はその川を泳いで渡ることが出来た。
I ought to have attended the lecture.	私はその講義に出席すべきであった。
I've never been to my uncle's house.	私はおじさんの家に行ったことがない。
I value your friendship very much.	私はあなたの友情をとても大切にしている。
I saw a man knocked down by a car.	私は、１人の男が車にはねられるのを見た。
My friend was arrested for speeding.	私の友達はスピード違反で逮捕された。
My friend was arrested for speeding.	私の友人はスピード違反で逮捕された。
My daughter has taken up doll collecting.	私の娘は人形を集め始めた。
My sister is now bound up in her work.	私の妹は仕事に夢中になっている。
My mother often suffers from headaches.	私の母はよく頭痛に悩まされる。
My major is medieval European history.	私の専門は中世ヨーロッパ史です。
Didn't I show you my new Mustang?	私の新しいムスタングを見せてなかったっけ？
My uncle has a farm in the village.	私の叔父はその村に農園を持っています。
My bicycle has gone out of commission.	私の自転車はもう使えなくなった。
I owe what I am today to my uncle.	私の今日あるのは叔父さんのおかげである。
I as well as my brother am to blame.	私の兄だけでなく、私にも責任がある。
There is a bookstore in front of my house.	私の家の前に本屋がある。
There were no clerks to wait on me.	私の応対をしてくれる店員がいなかった。
We blamed parents for lack of love.	私たちは両親を愛情が足りないと責めた。
We have to conform to the rules.	私たちは様々な規則に従わななくてはならない。
We have bread and eggs for breakfast.	私たちは朝食にパンと卵をとります。
We grouped ourselves round our teacher.	私たちは先生の回りに集まった。
We should not depend on your parents.	私たちは親をあてにしてはいけない。
We talked on the phone until midnight.	私たちは真夜中まで電話で話した。
We put off the departure till tomorrow.	私たちは出発を明日に延ばした。
We will take part in the marathon.	私たちはそのマラソンに参加するつもりだ。
There is a suspension bridge ahead of us.	私たちの前に吊り橋がある。
Our success depend on your efforts.	私たちの成功は君の努力にかかっている。
It is bold of him to refuse our offer.	私たちの申し出を断るとは大胆だ。
I will personally be responsible for it.	私が直接あなたを訪問します。
My uncle has made me what I am today.	私が今日あるのは伯父のおかげです。
Children reflect the family atmosphere.	子供は家族の雰囲気を映し出す。
Let's take the children to the zoo.	子供たちを動物園に連れて行きましょう。
Some children are playing on the grass.	子供たちが芝生で遊んでいます。
My sister made me a beautiful doll.	姉が私にきれいな人形をつくってくれた。
I'm sorry, but I have a prior engagement.	残念ながら先約があります。
I'm afraid your guess is off the mark.	残念ながら君の想像は見当違いだ。
I'm afraid we can't go on Monday.	残念ながら、月曜日には行けないと思います。
I'm afraid I've run short of coffee.	残念だけどコーヒーがなくなりました。
The contents of the wallet were missing.	札入れの中身が紛失していた。
I borrowed the dictionary from my friend.	私の友人から辞書を借りた。
I only shot four bull's-eyes yesterday.	昨日は４発命中しただけでした。
I called at my uncle's house yesterday.	昨日、私は叔父の家を訪問した。
We had a spell of fine weather last autumn.	昨秋は晴天続きだった。
I lost my wallet somewhere around here.	財布をどこかこの辺に落とした。
We often have unusual weather these days.	最近は異常気象がよくある。
The wheat is coming very well this year.	今年は小麦がよく育っている。
Did you feel the earthquake this morning?	今朝の地震は感じましたか。
There's a lot of flu going around now.	今インフルエンザが流行ってます。
Rain or shine, I will start tomorrow.	降っても照っても明日は出発します。
You can go wherever you want to go.	行きたいところへはどこへでも行けます。
Don't be afraid of making mistakes.	誤りをおかすことを恐れてはいけません。
Please help yourself to the desserts.	御自由にデザートをおとりください。
I'll be absent from home in the afternoon.	午後は家を留守にします。
He told me to be careful in speech.	言葉に気をつけなさいと彼は私に言った。
We owe our modern life to electricity.	現代の生活は電気のおかげである。
Cause and effect react upon each other.	原因と結果はお互い作用し合う。
He was wise enough to take her advice.	賢明にも彼は彼女の忠告に従った。
Some are wise and some are otherwise.	賢い人もいればそうでない人もいる。
Look! The airplane is taking off.	見なさい。その飛行機が離陸しつつあります。
I didn't know that dogs swim well.	犬は泳ぎが上手だなんて知りませんでした。
An eclipse of the moon is a rare phenomenon.	月食は珍しい現象だ。
The outcome leaves nothing to be desired.	結果はまことに申し分ない。
It is a virtue never to tell a lie.	決してうそをつかないことは美徳である。
Ranks of police guarded the entrance.	警官が横に列を組んで入口を固めた。
The calculator is a wonderful invention.	計算機はすばらしい発明品だ。
The program admits of some improvement.	計画には多少改善の余地がある。
You ought to have adopted his plan.	君は彼の計画を採用すればよかったのだ。
Have you ever seen him swimming?	君は彼が泳いでいるのを見たことがありますか。
You must employ your capital well.	君は資金をうまく運転しなくてはならない。
Have you ever read any Chinese poems?	君は漢詩を読んだことがありますか。
You are no longer a mere child.	君はもはや、ほんの子供というわけにはいかない。
Wherever you go, you'll be welcomed.	君はどこへ行っても歓迎されるだろう。
You are supposed to come at 7 o'clock.	君は７時に来ることになっている。
Your suggestion is of no practical use.	君の提案は実際的な価値がない。
I'm glad that your team won the game.	君のチームが試合に勝ってうれしい。
Your success depends on your efforts.	君が成功できるかは君の努力次第だ。
A beautiful rainbow is spanning the sky.	空に美しい虹がかかっている。
A fool and his money are soon parted.	愚か者の金はすぐにその手を離れる。
Money is a good servant, but a bad master.	金は使っても使われるな。
Would you like me to massage your chest?	胸をさすってあげましょうか。
There is usually an organ in a church.	教会には普通オルガンがあります。
You can't teach an old dog new tricks.	旧弊な人は新しい事になじめない。
You will be paid according to your ability.	給料は君の能力次第だ。
Will this cover the holiday expenses?	休み中の費用は、これで足りるかな。
Do you have an airplane ticket back home?	帰りの航空券はありますか。
The students learned this poem by heart.	学生たちはこの詩を暗記した。
You will benefit by a trip abroad.	海外旅行をすれば得るところがありますよ。
I had intended to attend the meeting.	会合に出席するつもりだったのだが。
The meeting was arranged for next Sunday.	会は次の日曜日に決まった。
None of us are related to the problem.	我々は誰もその問題には関係ない。
Thousands of stars shone in the heavens.	何千もの星が空に輝いていた。
Fossil fuel prices shot through the roof.	化石燃料の値段が急騰した。
The roof was blown off by the explosion.	屋根は爆発で吹き飛ばされた。
Teaching English is his profession.	英語を教えることが彼の専門的職業です。
Since it was raining, I took a taxi.	雨が降っていたのでタクシーに乗った。
Something was stirring in the dark.	暗闇の中で何かがもぞもぞと動いていた。
Greetings are the basis of good manners.	挨拶は礼儀作法の根本である。
I succeeded in worming out the secret.	わたしはうまく秘密を聞き出した。
Our soccer team was covered in glory.	わがサッカーチームは栄光に輝いた。
She naturally accepted the invitation.	もちろん彼女はその招待に応じた。
I'll be deeply affected by his death.	もし彼が死んだらさぞ悲しむだろう。
I'm not here if anybody calls.	もし電話がかかってきたら、居留守を使っておいて。
Excuse me, but do you need any help?	もしもし、何かお役に立ちましょうか。
I don't want to hear any more excuses.	もう言い訳なんか聞きたくないね。
Worms are sometimes beneficial to soil.	ミミズも時には土壌に有益です。
Some of the luggage hasn't arrived yet.	まだ着いていない手荷物がある。
Just a word can do harm to a person.	ほんの一言が人を傷つけることもある。
Bob sang loudest at the party.	ボブはパーティーでいちばん声をはりあげて歌った。
Let's inquire about our hotel reservations.	ホテルの確認をしよう。
Really? My hobby is reading comics.	へぇー、僕の趣味は漫画を読むことだよ。
I'm not familiar with French poets.	フランスの詩人についてはよく知らない。
The brass band played three marches.	ブラスバンドが行進曲を３曲演奏した。
There ought to be a better bus service.	バスの便はもっと良くて当然だ。
As the bus was late, I took a taxi.	バスが遅れたので私はタクシーに乗った。
Yes, I spoke with the company president.	はい、社長さんと話しました。
The glory of New York is its museums.	ニューヨークの誇りは博物館である。
Tom's uncle keeps a lot of sheep.	トムのおじさんはたくさんの羊を飼っている。
Please don't interrupt me for a while.	どうかしばらく私を一人にさせて。
Ted is satisfied with life in college.	テッドは大学生活に満足している。
Ted was certain of winning the game.	テッドはその試合に勝つ自信があった。
Will you teach me how to play chess?	チェスのやり方を教えてくれませんか。
We had a lovely time at the dance.	ダンスパーティー、すごくすてきだったわ。
Everybody knew her true feelings.	だれもが彼女の本当の気持ちをわかっていた。
A new tax has been imposed on cigarettes.	タバコに新税が課せられた。
However, you have to queue...	ただし、列をつくって並ばなくてはならないが・・・。
I've had enough, so my stomach is full.	たくさん食べたので腹が膨れた。
Many beautiful flowers bloom in spring.	たくさんの美しい花が春に咲く。
Don't worry about such a silly thing.	そんなつまらないことを心配するな。
He has led a loose life since then.	それ以来彼はだらしない生活をしてきた。
They have taken the form of sculptures.	それらは彫刻の形を取ってきた。
Hence, I shall have to stay here.	それゆえここにとどまらざるを得ないだろう。
You are telling it second hand, aren't you?	それは受け売りだろう？
That's like carrying coals to Newcastle.	それは釈迦に説法というもの。
It was a parade with a capital P.	それはこの上なくすばらしいパレードだった。
The story reminded me of my father.	その話を聞いたら父のことを思いだした。
The article deserves careful study.	その論文は注意深く研究するのに値する。
The old man gave her a small doll.	その老人は彼女に小さい人形をあげました。
The soldier made light of his wounds.	その兵士は自分の傷を軽く見ていた。
What are the dimensions of the room?	その部屋の大きさはどれぐらいですか。
Do up the box with decorative tape.	その箱に飾りのテープをかけてください。
The cat slowly approached the mouse.	その猫はゆっくりとねずみに近づいた。
Those two ideas are quite distinct.	その二つの考えはまったく別個のものだ。
The island is a paradise for children.	その島は子供にとっては楽園です。
The city has rapidly expanded recently.	その都市は最近急速に拡大した。
The train departs here at 9:00 a.m.	その電車は午前９時にここを出発します。
The bird was half the size of a hawk.	その鳥は鷹の半分の大きさしかない。
The news added to our happiness.	その知らせで我々は一層幸せな気持ちになった。
The man denied having stolen the car.	その男は車を盗んだことを否定した。
The boy was laughed at by everybody.	その男の子はみんなから笑われました。
The gifts will delight the children.	その贈り物は子供達を喜ばせるだろう。
We detected a great fault in the system.	その組織の大欠陥を見つけた。
The ship was at the mercy of the waves.	その船は波になすがままだった。
The boat sailed across the Pacific Ocean.	その船は太平洋を横断した。
There are plenty of fish in this river.	その川にはたくさんの魚がいる。
The boy battled against a serious illness.	その少年は重病と戦った。
The boy threw a stone at the frog.	その少年はカエルめがけて石ころを投げた。
The fact is apparent to everybody.	その事実はだれにでもわかりきったことだ。
I dare say you're right about that.	その事は恐らく君のいうとおりでしょう。
That market has been rapidly expanding.	その市場は急速に拡大している。
I have a mind to undertake the work.	その仕事を引き受けようと思っている。
There are many monkeys on the mountain.	その山にはたくさんサルがいる。
That word describes it perfectly.	その言葉がそれを説明するにはぴったりだね。
The singer's voice melts your heart.	その歌手の歌は心をなごませてくれる。
That song reminds me of my childhood.	その歌を聴くと子供の頃を思い出す。
The music set my imagination to work.	その音楽は私の想像力をかきたてた。
Who was the leader of the expedition?	その遠征のリーダーはだれでしたか。
Is there any salad oil in the bottle?	そのビンにサラダオイル入っている？
The bags were piled up behind him.	そのバッグは彼の後に積み重ねられていた。
The party came to an end at midnight.	そのパーティーは真夜中に終わった。
The news is creating a stir.	そのニュースはセンセーションを巻き起こしていますよ。
I dare say you're right about that.	そのことは恐らく君の言う通りでしょう。
That makes you even more attractive.	そうするといやが上にも美しく見える。
A battery of aluminum pots and pans.	ずらりと並んだアルミのポットやなべ。
It comes with soup or salad.	スープかサラダが付きますが、どちらにいたしましょう？
Sydney has a beautiful natural harbor.	シドニーは天然の美しい港がある。
I saw a dog and its tail was cut short.	しっぽが短く切られた犬を見た。
He took a beautiful shot at a deer.	シカをめがけて彼は見事な１発を放った。
Jane insisted that she was right.	ジェーンは自分の言い訳が正しいと主張した。
My side mirror is out of alignment.	サイドミラーがまっすぐになっていない。
These facts bear out my hypothesis.	これらの事実は私の仮説の裏付けになる。
By whom were these poems written?	これらの詩はだれによって書かれたのですか。
This is a doll which she made herself.	これは彼女が自分で作った人形だ。
This is the chance of a lifetime.	これは私の生涯にとって千載一遇の機会です。
This is, strictly speaking, a mistake.	これは厳密にいえば間違えである。
This is the money at your disposal.	これはあなたが自由にしてよいお金です。
I can't see the road signs in this fog.	この霧では道路標識は見えない。
This bookstore stopped selling JUMP.	この本屋はジャンプを売るのをやめた。
The last leaf of this book is missing.	この本は最後の一枚が抜けている。
Show this gentleman to the front door.	この方を玄関まで御案内しなさい。
This room rents at 50 dollars a week.	この部屋は週５０ドルで貸している。
This carpet does not match the curtain.	この敷物はカーテンと合わない。
This beautiful dress is made of silk.	この美しいドレスは絹で出来ている。
Opinion is divided on this point.	この点については意見が区々に分かれている。
I had to compromise on this point.	この店に関しては妥協せざるを得なかった。
I don't know anybody here in this town.	この町には知り合いはいません。
The sole equality on earth is death.	この地上で唯一無二の平等は死である。
Who is ultimately responsible for this?	この責任は結局だれにあるのか。
This arrangement is only temporary.	この取り決めは一時的なものでしかない。
This watch was given me by my uncle.	この時計はおじさんからもらったんだ。
What's the name of this intersection?	この交差点は何と呼ばれていますか。
This word was borrowed from French.	この語はフランス語から借用したものだ。
This play was adapted from the novel.	この劇は小説から脚色したものです。
This beef is four dollars per pound.	この牛肉は１ポンドにつき４ドルです。
This song reminds me of young days.	この歌を聞くと自分の若い頃を思い出す。
This song reminds me of my childhood.	この歌を聞くと子供の頃を思い出す。
I am going to swim a lot this summer.	この夏はたくさん泳ごうと思います。
This film is an adaptation of a novel.	この映画は小説をもとにしている。
This passport is valid for five years.	このパスポートは５年間有効です。
How long may I borrow this notebook?	このノートいつまで貸してもらえるの？
Somebody has been sleeping on this sofa.	このソファーで誰か寝ていた。
Whenever I come here, I feel at ease.	ここへ来るといつも心が休まります。
Letters are delivered here about noon.	ここへは手紙は正午頃配達される。
You can speak out freely here.	ここではどんどん意見をおっしゃってかまいません。
This is why he got angry with you.	こういうわけで彼は君に腹を立てたのです。
Kenya used to be a British colony.	ケニアはかつてイギリスの植民地であった。
Do you cook by gas or electricity?	ガスで調理しますか、あるいは電気ですか。
All of a sudden, my mother began to sing.	お母さんが突然歌い始めた。
My father helped me with my homework.	お父さんが宿題を手伝ってくれたの。
You always try to blame somebody else.	お前はすぐ人のせいにするからな。
Who is the greatest poet in England?	イギリスで一番優れた詩人は誰ですか。
No, I don't. But I have a slight cold.	いいえ、でもちょっと寒気がして。
Don't get involved with those people.	あんな人たちと関わり合いになるな。
One man's meat is another man's poison.	ある人の食べ物が別の人には毒。
That man is Perry Mason, the lawyer.	あの男は弁護士のペリー・メースンだ。
That ship goes abroad from this port.	あの船はこの港から外国に行きます。
They are free from care and anxiety.	あの人達には何の心配事も不安もない。
You have missed an important clue.	あなたは重要な手がかりを見落としている。
Have you ever climbed Mt. Aso?	あなたは今までに阿蘇山に登ったことがありますか。
You can borrow three books at a time.	本は一度に３冊借りる事が出来ます。
You must do your homework at once.	あなたはすぐに宿題をしなければならない。
How would you define "happiness"?	あなたは「幸福」をどのように定義しますか。
You neglected to say "Thank you."	あなたは「ありがとう」と言うことを怠った。
Is anyone coming besides your friends?	あなたの友達は他に誰かきますか。
Your voice reminds me of your mother.	あなたの声はお母さんに似ています。
Your views are quite opposite to mine.	あなたの見解は私とは正反対です。
Whose house is opposite to yours?	あなたの家の向かいにあるのは誰の家ですか。
It seems that I met you somewhere.	あなたとはどこかであったように思われる。
I'm glad you like my present.	あなたが私のプレゼントを気にいってくれてうれしい。
I'm afraid we don't have any left.	あいにく品切れになってしまったんですが。
Please come to the lobby by 7 o'clock.	７時までにロビーに来てください。
Six members constitute the committee.	６人の委員でその委員会を構成する。
March 3 is the day of the Dolls' Festival.	３月３日はひな祭りです。
There's a vital link between the two.	２つの間には重要なつながりがある。
I'm afraid he won't be here until 1:00.	１時まで帰ってこないのですが。
"May I come in?" "Yes, certainly."	「入ってよろしいですか」「はい、どうぞ」
"I am happy," she said to herself.	「私は幸福だわ」と彼女は心の中で思った。
"Yes. I understand," says Mrs. Lee.	「ええ、わかったわ」とリー夫人が言う。
I have many coins in this box.	私はこの箱のなかにたくさんのコインを持っている。
Are you for or against abortions?	あなたは妊娠中絶に賛成ですか、反対ですか。
Everybody knows that he is honest.	誰でも彼が正直だと言うことを知っている。
The farmer seeded the field with wheat.	農業家が小麦の種を畑に撒いた。
There is an urgent need for social change.	社会の変革が急務である。
Tom had his car stolen early last week.	トムは先週の頭に車を盗まれた。
He actively participates in the discussion.	彼が活発に議論を行います
He looked at the sea through the curtains.	僕はカーテン越しに海を見た
The atmosphere in the shop was very good.	とても、店の雰囲気が良かった
Each has the atmosphere of its time.	それぞれがその時代の雰囲気を持ってます
Most people spent time on meditation.	ほとんどの人が瞑想の時間を持っていた
You do activities freely in real time.	自由にリアルタイムに活動が出来ます
He hardly ever did anything himself.	彼がほとんど自分の力を使いませんでした
Thanks to X, everything was okay with him.	彼はXで何とか事なきを得た
Smiling leaves a good impression on people.	笑顔が人に好印象を与える
Suddenly, I heard Mr./Ms. Yamada's voice.	ふいに山田の声が私の耳に届く
He was suddenly reminded of another time.	彼がふと、昔の事を思い出した
He keeps running along the coastal road.	彼ががひたすら海沿いの道を走る
The success of the business depends on X.	Xがビジネスの成否を決定する
It's hard to make ourselves understood.	なかなか私たちの思いが伝わらない
The mother raised 4 children by herself.	母親が一人で四人の子供を育てた
Today's success depends on this one hour.	１時間で今日のすべてが決まる
He maximizes the use of the Internet.	彼がインターネットを最大限に活用する
He has some sort of anxiety about X.	彼がXに少なからず不安をいだいています
The beauty took everyone's breath away.	思わず誰もが美しさに目を奪われる
Someone suddenly called him from behind.	彼が後ろから突然声をかけられた
He managed to defeat all of his enemies.	彼がなんとかすべての敵を倒した
It will prevent the occurrence of injury.	それが危害の発生を防止します
He gets rid of his daily stress with X.	彼がXで日頃のストレスを解消する
He casts another transformation spell.	彼がふたたび変換魔法の呪文を唱える
He always offers his seat to the elderly.	彼がかならず年寄りに席を譲る
He directly inquired the manufacturer.	彼がメーカーに直接問い合わせました
You really put that much in the sandwich?	そんなに沢山パンに乗るんか？
Once the complaining starts, it never ends.	文句を言えば切りがない。
He swept his brush across the canvas.	彼は絵筆をカンバスにさっと走らせた。
This car will soon have to go for scrap.	この車はもうすぐスクラップだ。
The lovers were walking arm in arm.	恋人たちはお互いに腕を組んで歩いていた。
Nothing remained in the refrigerator.	冷蔵庫の中には何も残っていなかった。
The cold wind chilled the traveler.	冷たい風でその旅人の体はすっかり冷えた。
Do you have adequate money for the trip?	旅行に十分なお金がありますか。
The suspect told a lie to the inspector.	容疑者は捜査官にうそを言った。
The suspect was innocent of the crime.	容疑者はその罪を犯していなかった。
Friendship consists of mutual understanding.	友情は相互理解にある。
What do you think about vegetable tempura?	野菜てんぷらはどうですか。
Trees shelter my house from the wind.	木が私の家を風から守ってくれている。
There has been a little confusion of names.	名前の混同が少しあった。
He blamed me for neglecting my duty.	務めを怠ったと言って彼は私をとがめた。
We eat a fresh, green salad every day.	毎日新鮮な野菜サラダを食べてます。
The main office was raided by the police.	本店は警察の手入れを受けた。
I was at my wit's end as to how to act.	僕はどうしてよいか途方に暮れた。
My opinion is entirely different from yours.	僕の意見とは全く違う。
I could not afford to buy a bicycle.	僕には自転車を買う余裕なんかなかった。
My mother finally approved of our plan.	母はついに私達の計画に賛成した。
The editor glanced over the manuscript.	編集者は原稿にさっと目を通した。
One book is thin, and the other is thick.	片方の本は薄く、他方は厚い。
Soldiers must carry out their orders.	兵士は命令を実行しなければならない。
The progress of civilization is very rapid.	文明の進歩がとても速い。
I have to put a stamp on the envelope.	封筒に切手をはらなければならない。
It's against the law to carry weapons.	武器を持ち歩くのは法律違反である。
My father is going to go abroad next week.	父は来週海外へ行く予定だ。
Father intends to go to abroad next week.	父は来週海外へ行くつもりだ。
Father is busy looking over my homework.	父は僕の宿題を見るのに忙しい。
My father put a fence around the garden.	父は庭のまわりに垣根を作った。
My father often goes abroad on business.	父は商用でよく外国へ出かける。
My father insisted that we should go.	父は私達に行けといってきかなかった。
Father absented himself from work yesterday.	父は昨日仕事を休んだ。
Illness forced him to give up school.	病気のため、彼はやむを得ず退学した。
I found it difficult to convince her.	彼女を説得するのは難しいと分かった。
For all her wealth, she is not happy.	彼女は裕福だけれども、幸福ではない。
She shared her book with her neighbor.	彼女は本を隣の人にも見せてあげた。
Whenever I meet her, she smiles at me.	彼女は僕に会うたびに微笑みかける。
Whenever I meet her, she smiles at me.	彼女は僕と出会うたび微笑みかける。
She cooked her husband an apple pie.	彼女は夫にアップルパイを作ってあげた。
She refused to do what they wanted.	彼女は彼らが求めたことをするのを拒んだ。
She advised him not to eat too much.	彼女は彼に食べ過ぎないように忠告した。
She will cope with difficult problems.	彼女は難問をうまく処理するだろう。
She is a woman of great literary ability.	彼女は大変文才のある女性だ。
She reminds me very much of her mother.	彼女は大変よく母親に似てますね。
She is a very intelligent young lady.	彼女は若くて、とても頭のよい女性だ。
She was very strict with her children.	彼女は自分の子供に大変厳しかった。
She doesn't admit that she is wrong.	彼女は自分が間違っているのを認めない。
She burst out laughing when she saw me.	彼女は私を見て、急に笑いだした。
She advises me on technical matters.	彼女は私に専門的な事について忠告する。
She turned up her nose at our offer.	彼女は私たちの申し出を鼻であしらった。
She is wise and you are no less so.	彼女は賢明だが、君も劣らぬくらい賢明だ。
She will be a good companion for you.	彼女は君のよい話し相手になるだろう。
She performed this trick with ease.	彼女は楽々とこのトリックをやってのけた。
She decided to go shopping by herself.	彼女は一人で買物に行くことにした。
She was very delighted with my gift.	彼女はわたしのおくりものを大変喜んだ。
She's a frequent visitor to this country.	彼女はよくこの国を訪れます。
She is rarely late for appointments.	彼女はめったに約束に遅れることがない。
She has not finished her homework yet.	彼女はまだ宿題を終わらせていない。
She is looking for her missing wallet.	彼女はなくなった財布を探している。
She has the large house to herself.	彼女はその大きな家を独り占めにしている。
She hung up without saying good-bye.	彼女はさよならも言わずに電話を切った。
She is bound to pass the examination.	彼女はきっと試験に合格するでしょう。
She'll be glad to see you, won't she?	彼女はあなたにあえて喜ぶでしょうね。
She ought to have arrived by now.	彼女は、今ごろは当然着いてもいいはずなのに。
Because of illness, she couldn't come.	彼女の病気のためにこられなかった。
Her expression underwent a sudden change.	彼女の表情がさっと変わった。
Her behavior really got on my nerves.	彼女の行動は本当に私の神経に障った。
Was her uncle staying in London?	彼女のおじさんはロンドンに滞在していましたか。
Ask her how much soup she wants.	彼女にどのくらいスープが欲しいかきいてごらん。
I don't feel like telling her about it.	彼女にそれを言うのは気が引ける。
I remember telling her that news.	彼女にあのニュースを話したことを覚えている。
It is quite natural for her to get angry.	彼女が怒るのも極めて当然だ。
We are delighted with her presence.	彼女が出席してくれて私たちは大喜びです。
It is quite natural for her to get angry.	彼女が怒るのは極めて当然だ。
There is no stopping her going abroad.	彼女が外国に行くのは止められない。
They are on good terms with their neighbors.	彼らは隣人と仲がよい。
They cut out a path through thick jungle.	彼らは密林に道を切り開いた。
They fought for the sake of their country.	彼らは母国のために戦った。
They could not cope with difficulties.	彼らは難局を切り抜けられなかった。
They interrupted the meeting for lunch.	彼らは昼食のため会議を中断した。
They fought for the sake of their country.	彼らは祖国のために戦った。
They know how to make an atomic bomb.	彼らは原子爆弾の作り方を知っている。
They destroyed the native civilization.	彼らは元々あった文明を破壊した。
They easily adapted to living abroad.	彼らは外国の生活にたやすく順応した。
They deposited their bundles on the rock.	彼らは荷物を岩の上に置いた。
They are going to send up a rocket.	彼らはロケットを打ち上げようとしている。
They set up a bronze statue of the hero.	彼らはその英雄の銅像を建てた。
They divided the money among themselves.	彼らはお金を自分たちで分けた。
Their ship was at the mercy of the waves.	彼らの船は波に揺られていた。
They have nothing to complain about.	彼らには不平を言うべきことは何もない。
He laid aside a few dollars each week.	彼は毎週何ドルかずつ貯めておいた。
He left on an expedition to the North Pole.	彼は北極探検に出かけた。
He felt sad because he lost his father.	彼は父を亡くしたので悲しかった。
He couldn't pass the entrance examination.	彼は入試に合格しなかった。
He will sit for the entrance examination.	彼は入学試験を受けるだろう。
He reported having seen the stolen car.	彼は盗難車を見たと知らせてきた。
He isn't the kind of person who steals.	彼は盗みをするような人ではない。
He made many excuses for being late.	彼は遅れたことでいろいろ言い訳をした。
He worked as hard as anybody else.	彼は他の誰にも劣らぬくらい一生懸命働いた。
He made a model airplane for his son.	彼は息子に模型飛行機を作ってやった。
He arrived at the station out of breath.	彼は息をきらしてえきへついた。
He can't distinguish vice from virtue.	彼は善悪の区別がつけられないのだ。
He has a bad reputation with his students.	彼は生徒に評判が良くない。
He was to have arrived before noon.	彼は正午に着くことになっていたのですが。
He has grown up to be a fine gentleman.	彼は成長して立派な紳士になった。
He is the greatest poet that ever lived.	彼は世にもまれな大詩人である。
He regarded her with worship in his eyes.	彼は崇拝の眼で彼女を眺めた。
He was drunk and his speech was thick.	彼は酔っ払ってだみ声になっていた。
He illustrated his theory with diagrams.	彼は図を使って自説を例証した。
He lacks the merest grain of common sense.	彼は常識が全く欠けている。
All he could do was resist laughing.	彼は笑いをこらえるだけで精一杯だった。
He doesn't approve of women smoking.	彼は女性の喫煙をいいものだと認めない。
All of a sudden, he proposed to me.	彼は出し抜けに私に結婚してくれといった。
Young as he is, he is quite intelligent.	彼は若いけれどとても聡明です。
He blamed the teacher for his failure.	彼は自分の失敗を先生のせいにした。
He didn't spare time on his studies.	彼は自分の研究に時間を惜しまなかった。
