Die!	死ね！
Have you done with the book?	その本はもう読み終えたのかい。
I have not read all the books.	その本はどれも読んでない。
When did you hear the sound?	その物音をいつ聞いたのですか。
The land came into the market.	その土地が売りに出された。
The girl is small for her age.	その少女は年の割に小さい。
I make little of the problem.	その事は問題にしていません。
My heart wasn't in the work.	その仕事に興味がもてなかった。
The meeting room is in use now.	会議室は現在使用中です。
I explained the process to him.	その過程を彼に説明した。
It will soon come out all right.	そのうち何とかなるさ。
You can't have both books.	その２冊の本の両方ともはだめです。
Don't talk about such a thing.	そういうことは口にするな。
How about some Spanish food?	スペイン料理なんかどうですか。
We will take care of this for you.	すぐに処理します。
Let the door be closed at once.	すぐにドアを閉めなさい。
John kept the door open.	ジョンはドアを開けたままにしておいた。
John and I are old friends.	ジョンと私は古くからの友達です。
Jim has learned to like Japan.	ジムは日本が好きになった。
Jim is in my black book.	ジムは私のブラックリストに載っている。
However, I have no money.	しかし、わたしにはお金はありません。
Let's break up the party.	さあ、パーティーをおしまいにしよう。
You have all these books!	こんなにたくさん本を持っているのか。
I will do anything but this.	これ以外のことなら何でもする。
What good books these are.	これらは、なんと良い本なのだろう。
These books are used by him.	これらの本は彼が使っています。
This is by far the best method.	これは断然最善の方法だ。
This has nothing to do with you.	これは君に関係がない。
This is a book about England.	これは英国についての本です。
This book is far above me.	この本は私にはとうていわからない。
What does this word mean?	この単語の意味はどういう意味ですか。
Where is the end of this line?	この線の終点はどこですか。
I will come earlier next time.	この次はもっと早く来よう。
I will make up for it next time.	この次に償いをするよ。
This watch is of great value.	この時計は非常に価値がある。
This door leads to the study.	このドアは書斎に通じている。
This costs more than that.	こちらの方がこちらより値段が高い。
How long do we stop here?	ここにはどのくらい止まっていますか。
You had better start at once.	きみはすぐ出発した方がよい。
Turn him down once for all.	きっぱりと彼の頼みを断りなさい。
Could you bring me some water?	お水を持ってきてください。
How would you like to pay?	お支払いはどのようになさいますか。
Bring your children with you.	お子さんを連れて行きなさい。
How much money do you have?	お金はどのくらい持っていますか。
I am running short of money.	お金が足りなくなってきている。
Don't tell Father about this.	おとうさんには言わないでね。
India is now short of food.	インドは今、食料が不足している。
He is always full of power.	いつも彼は活力がみなぎっている。
What's always on your mind?	いつも何を心配しているのですか。
Do you believe it at all?	いったいきみはそれを信じているのか。
When shall I return the book?	いつその本を返しましょうか。
What time do you leave here?	いつここをお立ちになりますか。
No problem. Come again soon.	いいえ、また近いうちに来てね。
What are you lining up for?	あんた、なぜに並んでいるのだい。
In a sense, you are right.	ある意味であなたの言う事は正しい。
I have more than enough time.	ありあまるほどの時間がある。
I didn't care about going out.	あまり出かけたくなかった。
How that woman runs on!	あの女のおしゃべりはまったくきりがない。
I love you with all my heart.	あなたを心から愛しています。
You know nothing of the world.	あなたは世間知らずですね。
I hope that you'll help me.	あなたは私を助けてくれると思う。
She asked me how old I was.	あなたは何歳ですかと私に言った。
Do you have anything to say?	あなたは何か意見がありますか。
How do you come to school?	あなたはどうやって学校へ来るのか。
Were you told to do so?	あなたはそうするように言われたのですか。
What time is it by your watch?	あなたの時計は何時ですか。
Might I ask you a question?	あなたに質問をしてもいいですか。
You shall want for nothing.	あなたには何も不自由はさせない。
There is no school during August.	８月には授業がない。
I will answer within three days.	３日以内に返事します。
May I ask a few questions?	２、３質問をしてもよろしいですか。
That word has fallen out of use.	この語はもう死語です。
He was called away on business.	彼は仕事で呼び出された。
He holds those kinds of views.	彼がそういう見方をしています
I get older every year.	毎年新年が明けるたびにひとつ年齢を重ねます
The running time was too short.	あまりも上映時間が短かった
Have I answered your question?	私は質問に答えたでしょうか。
Don't fall behind other companies!	他社に後れをとるな。
They don't get along together.	二人の間がしっくり行かない。
I am taking French next year.	来年私はフランス語を習います。
I'll have to come here every year.	毎年ここに来なきゃ。
Do you know how to play mahjong?	麻雀のやり方を知ってる？
Mother has made me what I am.	母は私を今日の私にしてくれた。
Mother cleared away the table.	母、は食卓のものを片付けた。
My father has just come home.	父は先ほど帰宅したところです。
My father will get well soon.	父はまもなく元気になるだろう。
My father must do the work.	父はその仕事をしなければならない。
My father has gone to America.	父はアメリカに行っています。
Has she ever fallen in love?	彼女は恋をしたことがありますか。
She is going to be six next year.	彼女は来年六歳になる。
She will be seventeen next year.	彼女は来年１７歳になる。
She has just turned twelve.	彼女は12歳になったばかりである。
I haven't seen her for ages.	彼女は長いことお会いしてません。
She knew it by a sixth sense.	彼女は第六感でそれが分かった。
She can speak Spanish well.	彼女は上手にスペイン語を話せます。
She is like a mother to me.	彼女は私に母親のようにしてくれる。
She asked me about my mother.	彼女は私に母についてたずねた。
She provided me with some food.	彼女は私に食べ物をくれた。
She asked me where to go.	彼女は私にどこへ行ったらよいか聞いた。
She is two years older than you.	彼女は君より２つ年上だ。
She has never fallen in love.	彼女は一度も恋をした事がない。
She put two calls in for Tom.	彼女はトムに二度電話を入れた。
She owns a very big house.	彼女はとても大きな家を所有している。
She should help her mother.	彼女はお母さんの手伝いをすべきだ。
She is always hard at work.	彼女はいつも熱心に勉強しています。
She had no one to turn to.	彼女には頼れるものが誰もいなかった。
She and I are in the same class.	彼女と私は、同級生です。
What she said wasn't true.	彼女が言ったことは真実ではなかった。
That she was there is certain.	彼女がそこにいたのは確かだ。
They are kind to old people.	彼らは年取った人に大変親切です。
They would never meet again.	彼らは二度と会うことはなかった。
They worked hard day and night.	彼らは昼夜一生懸命働いた。
They have nothing in common.	彼らは共通した物をもっていない。
They should not talk here.	彼らはここで話をすべきではないのだ。
Many of them were kind to us.	彼らの多くは私達に親切だった。
Some of them are my friends.	彼らのうち何人かは私の友達です。
He'll be sure to get on in life.	彼は必ず出世するだろう。
He took her out for a drive.	彼は彼女をドライブに連れ出した。
He is the only child they have.	彼は彼らのひとり息子です。
He is able to speak Japanese.	彼は日本語を話すことができる。
He left Japan for America.	彼は日本をたってアメリカへ向かった。
He left Tokyo for Europe.	彼は東京を発ってヨーロッパへ向かった。
He'd love to live in the city.	彼は都会の生活にあこがれた。
He liked history among others.	彼は中でも歴史が好きだった。
I found that he was a kind man.	彼は親切な人だとわかった。
Though young, he is an able man.	彼は若いが、有能な人だ。
He is really a Hercules.	彼は実際ヘラクレスのような力の持ち主だ。
He lived to be seventy years old.	彼は七十歳まで生きた。
He had to think for himself.	彼は自分で考えなければならない。
He answered not a word to me.	彼は私には一言も答えなかった。
He did not say a word to us.	彼は私たちに一言も言わなかった。
He asked us what we wanted.	彼は私たちになにが欲しいか尋ねた。
He may have left for Kyoto.	彼は京都へ出発したのかもしれない。
He used to go out at night.	彼は以前よく夜に外出したものです。
He studied law at Harvard.	彼はハーバードで法律の教育を受けた。
He stepped out for a moment.	彼はちょっと席をはずしています。
Never has he returned since.	彼はそれ以来一度も戻っていない。
Never has he returned since.	彼はそれ以来１度も戻ってこない。
He was able to read the book.	彼はその本を読むことができた。
He wasn't watching TV then.	彼はその時テレビを見ていなかった。
He put the plan into practice.	彼はその計画を実行に移した。
He took leave of the family.	彼はその家族にいとまごいをした。
He believes in Santa Claus.	彼はサンタクロースを信じてるんだ。
He always leaves home at seven.	彼はいつも７時に家をでる。
He has designs on that girl.	彼はあの女性に下心を抱いている。
He leaves for school at seven.	彼は７時に学校に向かいます。
He asked me who I was.	彼は、私に、あなたは誰ですか、と尋ねました。
He had the room to himself.	彼は、その部屋をひとりじめしてた。
He is two years older than you.	彼はあなたより２歳年上だ。
I'll ask him if he will come.	彼に来るかどうか聞いてみます。
It is no use asking him again.	彼にもう一度頼んでも無駄だ。
He could make nothing of it.	彼にはそれが全くわからなかった。
It is clear that he is at home.	彼が家にいることは明白だ。
We don't care what he does.	彼が何をしようと我々は気にしない。
He can't have read this book.	彼がこの本を読んだはずがない。
The days are becoming shorter.	日がだんだん短くなっている。
I don't even have time to read.	読書をする時間さえもない。
Do you go to school on Saturday?	土曜に学校がありますか。
You need not have called me.	電話をくれる必要はなかったのに。
A man came up and spoke to me.	男が近づいて私に話しかけた。
No one could find the answer.	誰もその答えが分からなかった。
Who left the door open?	誰がドアをあいたままにしておいたんだろう。
You must be kind to others.	他人には親切にしなければならない。
Is there anything I must do?	他に気をつけることはありますか。
Is that the way you talk to me?	相手を見て物を言うがよい。
Let things take their own course.	成り行きに任せなさい。
People live only about 70 years.	人生わずか７０年である。
Man is the measure of all things.	人は万物の尺度である。
I do not mind what people say.	人が何を言おうと気にしない。
How do you like your new school?	新しい学校はどうですか。
I acted upon what I believed.	信ずるところに従って行動した。
Some food was brought to them.	食べ物が彼らの所へ運ばれた。
Put by money for the future.	将来に備えて貯蓄しておきなさい。
You shall have what money I have.	所持金を全部あげよう。
Either go out or come in.	出るかはいるかどちらかにしてください。
No man can live for himself.	自分一人で生きられる人はいない。
The next day was Christmas Day.	次の日はクリスマスだった。
I don't know what to do next.	次に何をするべきかわからない。
I gave him what money I had.	持っていたお金は全部彼にあげた。
We may as well start at once.	私達はすぐに出発した方がいい。
I got my friends to help me.	私は友人に頼んで助けてもらった。
I am acting for my father.	私は父の代わりをつとめているのです。
I didn't get along with her.	私は彼女とは相性が良くなかった。
I don't believe him at all.	私は彼をまったく信用していません。
I have nothing to do with them.	私は彼らと全く関係がない。
I asked him if he would go too.	私は彼も来るかとたずねた。
I didn't believe him at all.	私は彼の言葉を全然信じなかった。
I could not speak to him.	私は彼に話しかけることができなかった。
I couldn't put up with him.	私は彼には我慢がなりませんでした。
I got the money back from him.	私は彼からお金を取り返した。
I have a few friends in Tokyo.	私は東京に数人の友人がいる。
I've been here since Saturday.	私は土曜日からここにいます。
I have no friends to help me.	私は助けてくれる友人がいない。
I thought over my future.	私は自分の将来についてじっくり考えた。
I believe I am in the right.	私は自分が正しいと信じています。
I work hard and play hard.	私は仕事も遊びも一生懸命やる人です。
I have once been to Kyoto.	私は京都へ一度行ったことがあります。
I lived for years and years.	私は何年も何年も生きてきました。
I have been here for many years.	私は何年もここにいます。
I don't know for certain yet.	私はまだはっきりとは知らない。
I asked Mike to help me.	私はマイクに助けてくれるようにたのんだ。
I had a good time at the party.	私はパーティーで楽しんだ。
I worked as hard as possible.	私はできるかぎり熱心に働いた。
I am going to tell you that.	私はそれをあなたに話すつもりだ。
I am not certain about that.	私はそれについてはよく知らない。
I have often been there.	私はしばしばそこへいったことがあります。
I want some of these books.	私はこれらの本のうち何冊か欲しい。
I allowed Kate to go home.	私はケイトに、家に帰るのを許可した。
I have nothing to do now.	私はいまはなにもすることができません。
I was born in Osaka in 1977.	私は１９７７年に大阪で生まれた。
I was born on June 4, 1974.	私は１９７４年６月４日に生まれた。
I was born in Kyoto in 1980.	私は１９８０年に京都で生まれた。
My watch isn't running right.	私の時計は正確に動いていない。
It is just nine by my watch.	私の時計では今ちょうど九時です。
My plan is different from yours.	私の計画は君のとは違う。
I have no friend to talk with.	私には話をする友達がいない。
I have nothing to do with him.	私と彼とまったく関係がない。
We have known her for years.	私たちは彼女を何年も知っている。
We study English at school.	私たちは学校で英語の勉強をします。
We have made friends with Tom.	私たちはトムと親しくなった。
We'll always be friends.	私たちはいつまでも友達同士でいましょう。
Our plan will work out well.	私たちの計画はうまくいくだろう。
Our school has ten classes.	私たちの学校には１０の学級がある。
Our class is a small one.	私たちのクラスは少人数のクラスである。
My father made me what I am.	私が今日あるのは父のおかげです。
Even a child can understand it.	子供でもそんな事はわかる。
Even a child can read this.	子供でさえこれを読むことが出来る。
Don't leave your work half done.	仕事を中途半端にするな。
Almost all the work is done now.	仕事もたいがい片付いた。
How is your work coming along?	仕事はうまくいっていますか。
I've been to Osaka on business.	仕事で大阪まで行ってきた。
Yamamoto is one of my friends.	山本君も私の友人の一人です。
Did you watch TV last night?	昨夜あなたはテレビを見ましたか。
I didn't believe him at first.	最初は彼のこと信じなかった。
That will be enough for now.	差し当たり、あれで十分でしょう。
Mr Sato speaks English well.	佐藤さんは英語をじょうずに話す。
Mr Sato called at eleven.	佐藤さんから１１時に電話がありました。
What's on the air this evening?	今晩の番組で何かあるかい。
I'm going to Paris this fall.	今年の秋はパリへ行くつもりだ。
Why don't you take the day off?	今日一日は仕事を休んだら？
Right now I want for nothing.	今のところ何一つ不自由はない。
I have just read this book.	今この本を読んでしまったところだ。
I've been to Hong Kong once.	香港は一度行ったことがあります。
Can you see anything over there?	向こうに何か見えますか。
In a sense, she is right, too.	見様によっては彼女は正しい。
Ken will be fifteen next year.	健は来年で１５歳になります。
The hard work has run him down.	激務で彼はすっかり参った。
You are too young to be in love.	君は恋するには若すぎる。
You must clear the table.	君は食卓の上を片づけなければならない。
Have you ever seen a UFO?	君はユーフォーを見たことがありますか。
You had better do it at once.	君はそれをすぐしたほうがよい。
You must go home at once.	君はすぐに家に帰らなければいけません。
Your idea sounds like a good one.	君の案はよさそうだね。
You and I are very good friends.	君と私はとても仲がいい。
What are you talking about?	君たちは何の話をしているのですか。
Ask, and it shall be given you.	求めよ、さらば与えられん。
How did she tell them?	彼女はそれをどのようにして知らせたのですか。
Is there enough food to go around?	皆に食物は足るかい。
We need action, not words.	我々は言葉ではなく行動が必要なのだ。
We are getting on first-rate.	我々はとても仲良くやっている。
We have to start at once.	我々はすぐに出発しなければなりません。
May I ask about your family?	家族について聞いてもいいですか。
On my way home, I met him.	家に帰る途中に、私は彼に会いました。
We need money to do anything.	何をするにもお金がかかります。
What led you to believe it?	何で君はそれを信じる気になったの。
Can I do anything for you?	何かお役に立つことはございませんか。
English is the world's language.	英語は世界の言語である。
Is English spoken in Canada?	英語はカナダで話されていますか。
English is spoken in America.	英語はアメリカで話されている。
It is no use your holding me back.	引き止めても無駄だ。
You must learn step by step.	一歩一歩学ばなければなりません。
Little remains to be done.	やることはもうほとんど残っていない。
Do your work with more care.	もっと注意をして仕事をしなさい。
I should have left earlier.	もっと早く出発すれば良かったのに。
I should have left earlier.	もっと早く出発しておけばよかった。
I will help you if possible.	もしできたら手助けしてあげよう。
Would you explain it again?	もう一度説明してくださいませんか。
We hope to meet you again.	もう一度お会いできればいいんですが。
They speak Spanish in Mexico.	メキシコではスペイン語を話す。
You will soon hear from him.	まもなく彼から便りがありますよ。
I hope to see you again.	またお目にかかれることを期待しています。
Mike has two girl friends.	マイクには２人の女性の友人がいます。
It's really coming down out there!	ほんとに降ってきた！
Mr White has gone to Canada.	ホワイト氏はカナダへ行きました。
Mr White has gone to Canada.	ホワイト氏はカナダに行きました。
French is spoken in France.	フランス語はフランスで話されます。
Brian left the door open.	ブライアンはドアを開けっぱなしにした。
Nora looks up to her mother.	ノラは彼女の母を尊敬しています。
Why did he come with her?	なぜ彼は彼女といっしょに来たのですか。
Why do you think he said so?	なぜ彼はそう言ったと思いますか。
Why do you study every day?	なぜあなたは毎日勉強するのですか。
What kind of places do you like?	どんな所がお好きですか。
Either Tom or I must go.	トムか私かどちらかが行かねばなりません。
Which subject do you like best?	どの教科が一番好きですか。
Which subject do you like best?	どの学科が一番好きですか。
Which subject do you like best?	どの科目が一番好きですか。
Either way I don't like him.	どっちみち私は彼は好きではない。
Which company do you work for?	どちらの会社にお勤めですか。
How do you plan to get home?	どうやって家に着くつもりですか。
Why are you holding my hands?	どうして私の手を握っているの？
I just can't make up my mind.	どうしても決心がつかないんだ。
Don't leave the door open.	ドアを開けっ放しにしてはいけません。
Do you mind opening the door?	ドアをあけていただけませんか。
Shall we start the meeting now?	では会議を始めましょうか。
How is cheerleading practice?	チアリーダーの練習はどうなの。
Don't talk back to me like that.	そんな風に口答えするな。
That's too much of a good thing.	それは有難迷惑なことだ。
That's really a great idea.	それは本当にすばらしい意見ですよ。
That has nothing to do with me.	それは私と何の関係も無い。
That has nothing to do with you.	それは君と全然関係ない。
That is not much of a problem.	それはたいした問題ではない。
Nothing can be better than that.	それに超したことはない。
In that case, I'll change my mind.	それなら話は別だよ。
Many a man believes the story.	その話を信じるものは数多い。
The old man lived by himself.	その老人は独りで暮らしていた。
The old man was hard of hearing.	その老人は耳が遠かった。
The old man asked me the time.	その老人は私に時間を尋ねた。
The old man lives by himself.	その老人はひとりで住んでいる。
The man got away from the city.	その男は町から逃げ出した。
I will do anything but that.	その他のことならなんでもします。
Is the man old or young?	その人は年をとっていますか。若いですか。
The girl did not say anything.	その少女は何も言わなかった。
I've left that line of business.	その仕事から足を洗った。
The level of the school is high.	その学校のレベルは高い。
How are things for you up there?	そっちの生活はどうだい？
You have every reason to say so.	そう言うのももっともだ。
It is kind of you to say so.	そういってくださるとはご親切に。
A start should be made at once.	すぐ始めなければならない。
I think it better to go at once.	すぐ行く方がよいと思う。
I believe you'll get over it soon.	すぐに立ち直るよね！
You will soon get to like him.	すぐに彼が好きになりますよ。
You shouldn't leave at once.	すぐに出発すべきではありません。
You had better set off at once.	すぐに出発した方がいいよ。
You may as well start at once.	すぐに出発したらどうですか。
I may as well start at once.	すぐに出かけるほうがよさそうだ。
Let's go as soon as John comes.	ジョンが来次第出発しよう。
I'd like to speak to Judy.	ジュディさんとお話ししたいのですが。
Jim studies far into the night.	ジムは夜遅くまで勉強する。
Jim is short for James.	ジムというのはジェームスを短くしたものだ。
But he doesn't know it yet.	しかし彼はそのことをまだ知らない。
Well, let's get down to business.	さて本題にはいろうか。
Well, let's start our work.	さて、わたしたちの仕事を始めよう。
It is something my mother made.	これは母の作品の一つです。
I might well tell you this.	これは申し上げた方がよいでしょう。
This has nothing to do with you.	これは君には関係がない。
This book is meant for children.	この本は子ども向けです。
This book is of great use to us.	この本は我々に役にたつ。
Are you through with this book?	この本はもうお済みですか。
This room is for individual use.	この部屋は個人専用です。
The room is anything but small.	この部屋は決して狭くない。
Put this Japanese into English.	この日本語を英訳しなさい。
I don't understand this word.	この単語がわからないのですが。
This study is my father's study.	この書斎は私の父のです。
This holds for most of us.	この事は我々の大部分にもあてはまる。
Don't tell Father about this.	この事はお父さんに言わないで。
What do you think of this plan?	この計画をどう思いますか。
What do you think of this plan?	この計画はどう思いますか。
Have you ever been to Guam?	グアム島へ行ったことがありますか。
I met your father once.	お父上にはかつてお会いしたことがあります。
Don't go against your father.	お父さんに逆らってはいけない。
Let me take care of that for you.	お手伝いしましょうか。
How many children do you have?	お子さんは何人おありですか。
How is your work coming along?	お仕事は順調にいってますか。
How is your work getting along?	お仕事の調子はどうですか。
Have you ever been to India?	インドに行ったことがありますか。
There's no turning back now.	いま引き返せっていっても無理だ。
They speak English in America.	アメリカでは英語を話します。
You must not go out at night.	あなたは夜外出してはならない。
You are not watching TV now.	あなたは今テレビを見ていません。
You need not run the risk.	あなたは危険を冒す必要はありません。
How many books do you have?	あなたは何冊の本を持っていますか。
You have to speak English.	あなたは英語を話さなければならない。
How do you account for that?	あなたはそれをどう説明しますか。
Do you believe it at all?	あなたはそれをいったい信じているのか。
I will give you the money.	あなたにそのお金を差し上げましょう。
Look at the girl over there.	あそこにいる女性を見てごらんよ。
I don't have any money on me.	お金のもちあわせがありません。
Start by doing the books.	まず帳簿をつけることからはじめなさい。
I don't have any knowledge of HTML.	ＨＴＭＬの知識が無い
I don't use this new function.	私はこの新機能を使っていません
I don't know the reason at all.	私には全く原因が分かりません
I work hard on X in my own way.	私はXを自分なりに精一杯やる
My mother always comes home first.	いつも母の方が先に帰る
The children made faces at him.	彼が子どもにいやな顔をされた
He focuses on the power of water.	彼が水の機能性を重視する
The government should focus on X.	政府はXに的を絞るべきだ
Take care lest you should fall.	落ちないように注意しなさい。
Yumi speaks English very well.	由美は英語をとても上手に話す。
Where there is life, there is hope.	命有っての、物だね。
While there is life, there is hope.	命ある限り希望あり。
Hope to see you again next year.	又来年会えるといいですね。
I hear from my friend every year.	毎年友達から便りがある。
Learn little by little every day.	毎日少しずつ学びなさい。
This is really from my heart.	本当に心からこんなことを思った。
I could read between the lines.	僕は、暗黙のうちに理解した。
My mother said it with a smile.	母は微笑みながら言いました。
My mother never gets up early.	母はぜったいに早起きはしない。
I left something in the room.	部屋に忘れ物をしてしまいました。
My father has just come home.	父はちょうど帰宅したところです。
My father has just come home.	父はちょうど帰ってきたところだ。
Put it on my father's account.	父の勘定につけといてください。
She is two years younger than me.	彼女は僕より２歳年下だ。
She talked about her family.	彼女は自分の家族について話をした。
She has as many books as I.	彼女は私と同じくらい本を持っている。
She is all right at the moment.	彼女は今のところ大丈夫です。
She was out of Japan last year.	彼女は去年日本を離れていた。
She is now well enough to work.	彼女はもう働けるほど健康だ。
She has not spoken to me yet.	彼女はまだ私に話しかけてこない。
She asked a very good question.	彼女はとてもよい質問をした。
She does not have much money.	彼女はあまりお金はもっていない。
A smile broke out on her face.	彼女の顔に突然微笑が浮かんだ。
I can't get her out of my mind.	彼女のことが頭から離れない。
There is no use talking to her.	彼女に説教しても無駄である。
She has no children, does she?	彼女には子供がいないのですね。
The story came home to her.	彼女にはその話がしみじみ感じられた。
Tell me where she lives.	彼女がどこに住んでいるかを教えてください。
They ask her many questions.	彼らは彼女にたくさんの質問をする。
They are not little children.	彼らは小さな子供ではありません。
They all made for the door.	彼らはみなドアの方に向かって進んだ。
They broke down the old house.	彼らはその古い家を取り壊した。
They were school children then.	彼らはそのころ小学生でした。
He turned out her father.	彼は彼女の父親であることがわかりました。
He called her every other day.	彼は彼女に一日おきに電話した。
He told her that he loved her.	彼は彼女に愛してるよと言った。
He asked her some questions.	彼は彼女にいくつか質問をしました。
He started from Tokyo to Paris.	彼は東京からパリへ出発した。
He didn't speak to me at all.	彼は全然私にものを言わなかった。
He was kind enough to help me.	彼は親切にも私を助けてくれた。
He is full of new ideas.	彼は新しいアイデアをたくさん持っています。
He is sound in both mind and body.	彼は心身ともに健康だ。
He has only to ask for help.	彼は助けを求めさえすればいいのだ。
He comes to see me once in a while.	彼は時々会いに来る。
He made believe not to know me.	彼は私を知らないふりをした。
He put in a good word for me.	彼は私のために口をきいてくれた。
He was rather shorter with me.	彼は私にひどくそっけなかった。
He asked a few questions of me.	彼は私に２、３の質問をした。
He asked me who that man was.	彼は私に、その男は誰かと尋ねた。
He did it the way I told him to.	彼は私が言うとおりにした。
He couldn't make it in business.	彼は仕事に成功しなかった。
He has no friends to talk with.	彼は語り合う友達がいません。
He left for America by air.	彼は空路でアメリカへ向けて出発した。
He'll do anything for money.	彼は金のためなら何でもするだろう。
He said nothing as to money.	彼は金に関しては何も言わなかった。
I hear he is looking for work.	彼は勤め口を探しているそうだ。
He presented himself at the meeting.	彼は会に出席した。
He can't speak English, can he?	彼は英語が話せないんですね。
He would often come to see me.	彼はよく遊びにきたものだった。
He comes here almost every day.	彼はほとんど毎日ここへくる。
He didn't believe Ben's words.	彼はベンの言葉を信じなかった。
He found the door closed.	彼はドアが閉まっていることに気がついた。
He speaks English very well.	彼はたいへん上手に英語を話します。
He is said to have died here.	彼はここで死んだと言われている。
When did he return from Osaka?	彼はいつ大阪に戻ったのですか。
He always says the same thing.	彼はいつも同じこと言ってるよ。
He always leaves home at seven.	彼はいつも七時に家を出ます。
He can speak eight languages.	彼は８カ国語を話すことができる。
He died last year of old age.	彼は、去年老齢の為、なくなった。
He leaves for Tokyo at ten.	彼は、１０時に東京に向けて出発する。
It's no use asking him for help.	彼に助けを求めても無駄だ。
He had no friend to talk to.	彼には話しかける友人がいなかった。
He did not have enough money.	彼には必要なだけの金がなかった。
He has no friend to play with.	彼には一緒に遊ぶ友達がいない。
Don't speak to him like that.	彼にああいう口の効き方をするな。
I am meeting him next Friday.	彼と来週の金曜日あうつもりです。
I have known him for ten years.	彼とは１０年来の知り合いだ。
He put the idea into my head.	彼が僕にそう思い込ませたのです。
I heard him go out of the room.	彼が部屋を出る音が聞こえた。
He acted like he owned the place.	彼が大きな顔をしていた。
I believe him to get up early.	彼が早起きであると信じている。
He can not have gone to school.	彼が学校に行ったはずがない。
We don't care what he does.	彼が何しようとわれわれは気にしない。
Can you believe what he said?	彼がいったことを信じられますか。
He will call for me about six.	彼が６時ごろ迎えにくるだろう。
I will never fall in love again.	二度と恋なんかするものか。
I feel there is just no way out.	奈落の底には抜け道はなく。
You can't do two things at once.	同時に二つの事はできない。
The food isn't very good here.	当地は食べ物があまり良くない。
Do you have school on Saturdays?	土曜日に学校はありますか。
Could you turn off the lights?	電気を消していただけませんか。
I have to take the test again.	追試を受けなくてはいけません。
I've got to take a make-up test.	追試を受けなきゃならない。
May I share this table with you?	相席させていただけますか。
The other day, I met him in Kyoto.	先日京都で彼にあった。
Have you ever been to Canada?	カナダへ行ったことがありますか。
Do what you believe is right.	正しいと信じることをやりなさい。
Nothing was to be seen but water.	水以外何も見えなかった。
Don't leave the water running.	水を出しっぱなしにしておくな。
Life is full of ups and downs.	人生には浮き沈みがつきものだ。
How do you like your new class?	新しいクラスはいかがですか。
I don't know the ABC of business.	商売のいろはも知らない。
Put your hands behind your head.	手を頭の後ろで組みなさい。
Where would you like to go next?	次はどこへ行きたいですか。
Don't leave your things behind.	持ち物を置き忘れないように。
We met him on the way there.	私達はそこへ行く途中で彼に会った。
We met him on the way there.	私達はそこにいく途中で彼に会った。
When I heard it, I was dumbfounded.	私は呆気にとられた。
I have known her for two years.	私は彼女を２年間知っている。
I will make him do it at once.	私は彼にすぐそれをやらせよう。
I'm thinking he was a kind man.	私は彼が親切な人だと思った。
I will stop him from going.	私は彼が行くのを止めさせるつもりだ。
I don't care what he says.	私は彼がなんと言おうと気にしていない。
I am a Japanese high school girl.	私は日本の女子高生です。
I'm used to working all night.	私は徹夜で働くのに慣れている。
I have not seen you for ages.	私は長い間あなたにあっていない。
I have a good idea in my mind.	私は心によい考えを持っている。
I can speak English a little.	私は少し英語を話すことができる。
I'm going to Paris in the fall.	私は秋にパリへ行く予定です。
I don't know what to do next.	私は次に何をすべきかわからない。
I don't know what to do next.	私は次にどうすべきか分からない。
I, for one, am for the plan.	私は個人としてはその計画に賛成だ。
I didn't want to bring you in.	私は君をまき込みたくなかった。
I met him on my way to school.	私は学校へいく途中彼に会った。
I call on him every other day.	私は一日おきに彼を訪問します。
I have little money with me.	私はほとんど金の持ち合わせがない。
I can't speak French at all.	私はフランス語を少しも話せません。
I thought that Tom was kind.	私はトムは親切であると思いました。
I'll do my best on the test.	私はテストで最善を尽くすでしょう。
I don't know if it is true.	それが本当かどうかは分からないんだ。
I know the whole of the story.	私はその話の全体を知っている。
I've read many kinds of books.	私はいろんな種類の本を読んだ。
I'm three years younger than you.	私はあなたより３歳若い。
I will go along with your plan.	私はあなたの計画に賛成です。
I will give you this book.	私はあなたにこの本をさしあげましょう。
I was born on April 3, 1950.	私は１９５０年４月３日に生まれた。
One of my friends knows you.	私の友達の一人は君を知っています。
My father is not home yet.	私の父はまだ家に帰ってきておりません。
So far as I know, he is kind.	私の知る限りでは、彼は親切です。
My watch is running all right.	私の時計はきちんと動いている。
My idea is different from yours.	私の考えは君の考えと違う。
My plan is different from yours.	私の計画はあなたのと違う。
I have much in common with him.	私と彼は共通することが多い。
We were in the same class then.	私たちは当時は同級生だった。
We can do nothing about it.	私たちには手の打ちようが無いんです。
We've already done our work.	私たちはすでに仕事をしてしまった。
Our school starts at 7:15.	私たちの学校は７時１５分に始まります。
Our school has nine classes.	私たちの学校にはクラスが９つある。
It is her that I want to meet.	私が会いたいのは彼女なんです。
The child took her mother's hand.	子供は母親の手をとった。
Children are never at rest.	子供は決してじっとしていないものだ。
I took the children to school.	子供たちを学校に連れて行った。
The children were playing about.	子供たちは遊び回っていた。
I am thinking about my children.	子供たちの事を考えている。
I didn't believe him at first.	最初は彼のことを信じなかった。
Turn left at the first light.	最初の信号を左へ曲がって下さい。
What's on the air this evening?	今晩どんな番組がありますか。
I'll call you up this evening.	今晩そちらにお電話いたします。
I was asked a question in my turn.	今度は私が質問された。
Now is the time I got to speak out.	今自分を見つめ直し。
We have no information as yet.	今までのところ何の情報もない。
I have been reading this book.	今までこの本を読んでいたのだ。
You should think before you speak.	考えてから言いなさい。
May I help you clear the table?	後片づけを手伝いましょうか。
