I try.	頑張ってみる。
Father got the drink for nothing.	父は無料で飲み物をもらった。
My father takes a walk every morning.	父は毎朝散歩をする。
If necessary, I will come soon.	必要なら、すぐにまいりましょう。
They live from hand to mouth.	彼等はその日暮らしの生活をしている。
She will make him a good wife.	彼女は彼のいい奥さんになるだろう。
She made for the car right away.	彼女は直ちに車の方へ向かった。
She put her head out of the window.	彼女は窓から顔を出した。
She gave me a look at her new car.	彼女は新車を見せてくれた。
She kept on talking while eating.	彼女は食べながら話を続けた。
She had not let go of her son.	彼女は自分の子供を手放さなかった。
She is the woman of my desires.	彼女は私の意にかなった女性です。
She told me to open the window.	彼女は私に窓を開けるよう言った。
She used to address me as Tom.	彼女は私にトムと言って話しかける。
She was standing among children.	彼女は子供達の間に立っていた。
Now she is out of my reach.	彼女は今や私の手の届かないところにいる。
She got up at seven in the morning.	彼女は午前７時に起きた。
She remained single all her life.	彼女は一生独身のままだった。
She will get well in a week.	彼女は一週間もすればよくなるでしょう。
She stayed there for several days.	彼女はそこに数日滞在した。
When did she break the window?	彼女はいつその窓を割ったのですか。
She stayed in the house all day.	彼女は１日じゅう家にいました。
Her character is similar to yours.	彼女の性格は君に似ている。
Look at him. He's drunk again.	彼を見てご覧また酔っ払っているよ。
They broke down part of the wall.	彼らは塀の一部を取り壊した。
They forced him to tell the truth.	彼らは彼に真実を話させた。
They wished a hard job on him.	彼らは彼につらい仕事を押し付けた。
They had a culture of their own.	彼らは独特の文化を持っていた。
They had a culture of their own.	彼らは独自の文化を持っていた。
They made me wait for a long time.	彼らは私を長い事待たせた。
They live from hand to mouth.	彼らはその日暮らしで生活をしている。
They always bore arms with them.	彼らはいつも武器を持っていた。
He affected not to hear me.	彼は僕の言うことを聞こえない振りをした。
He affected not to hear me.	彼は僕の言うことが聞こえないふりをした。
He is a man of wide experience.	彼は幅広い経験を積んでいる人だ。
He played "Hamlet" on the stage.	彼は舞台でハムレットを演じた。
He is content with the simple life.	彼は粗衣をまとっていた。
He found a job with a food company.	彼は食品会社に就職した。
He was called to give evidence.	彼は証言をするために召喚された。
He is old enough to drive a car.	彼は自動車を運転できる年齢だ。
He let me work in this office.	彼は私を彼の会社で働かせてくれた。
He looks older than my brother.	彼は私の兄よりも年上に見えます。
He is not so old as my brother.	彼は私の兄ほど年がいっていない。
He is my brother, not father.	彼は私の兄であって父ではありません。
He told me not to wait for him.	彼は私に待たないでくれと言った。
He told me not to tell lies.	彼は私に嘘をついてはいけないと言った。
He tried it over and over again.	彼は再三再四それをやってみた。
He chose every word with care.	彼は言葉を一つ一つ注意深く選んだ。
He never goes out late at night.	彼は決して夜遅くに外に出ない。
He is likely to be late for school.	彼は学校に遅刻しそうだ。
He hasn't answered my letter yet.	彼はまだ返事をくれないんだ。
He appeared at the party late.	彼はパーティーに遅れてやってきた。
He knows New York inside out.	彼はニューヨークを知り尽くしている。
Perhaps he knows this story.	彼はたぶんこの話を知っているでしょう。
He has a great deal of experience.	彼はたくさんの経験がある。
Is he any better today?	彼はきょうは少しは具合がよくなっているのですか。
He was too old to walk.	彼はあまり年をとっていたので、歩けませんでした。
He is likely to live to be ninety.	彼は９０歳まで生きそうだ。
He said: "Leave me alone."	彼は「俺のことはほっといてくれ」といった。
Pay attention to what he says.	彼の言うことを注意して聞きなさい。
I'm looking forward to seeing him.	彼と会うのが楽しみだなあ。
Everything he said was right.	彼が言ったすべてのことは正しかった。
I have never heard him lie.	彼がうそをつくのを聞いた事がありません。
Don't try to be all things to all men.	八方美人になるな。
Does someone here speak Japanese?	日本語を話せる人はいますか。
Cars keep to the left in Japan.	日本では、自動車は左側通行です。
At the same time, he began to run.	同時に彼は走り出しました。
He broke the window on purpose.	奴はわざと窓ガラスを割ったんだ。
I left early so as not to be late.	遅れないよう早く出発した。
You had better not stay up late.	遅くまでおきていない方が良い。
Come here by ten at the latest.	遅くとも１０時までには来なさい。
It makes no difference who I meet.	誰に会っても、同じことさ。
I heard someone call my name.	誰かがぼくの名前を呼ぶのが聞こえた。
Let's begin with the first chapter.	第一章から始めましょう。
Do you have a table near the window?	窓側の席がありますか。
Don't put your head out of the window.	窓から顔を出すな。
There were toward a thousand people.	千人くらいの人がいた。
The teacher allowed him to go home.	先生は彼に帰宅を許した。
The teacher looked over the papers.	先生は答案に目を通した。
The teacher told me to stand up.	先生は私に、立つように言った。
I wish you'd never been born.	生まれてこなかったらよかったんだよ。
It's the best job in the world!	世界でいちばんいい仕事だものね。
Are you through with the paper?	新聞はもうおすみになりましたか。
A boy ran off with some money.	少年がいくらかお金を持って逃げた。
Will you hand the papers around?	書類を回してくださいませんか。
You have to eat before you go.	出かける前に食べなくてはならない。
You are free to go or stay.	出かけるも出かけないもあなたの自由です。
Try and do better next time.	次回はもっとうまくやるようにしなさい。
Turn right at the next crossing.	次の交差点を右に曲がりなさい。
Time is up. Hand in your papers.	時間です。答案を出して下さい。
I wish I had a room of my own.	私専用の部屋があればいいのですが。
I'm leaving for Chicago next week.	私は来週シカゴに行きます。
I must answer her letter.	私は彼女の手紙に返事を出さなければならない。
I asked her a difficult question.	私は彼女に難しい質問をした。
I paid him the money due to him.	私は彼に支払うべき金を払った。
I am on visiting terms with him.	私は彼と訪問し合う間がらです。
I visited her on Sunday morning.	私は日曜の朝彼女を訪ねました。
I felt a touch of pain in my head.	私は頭に少し痛みを感じた。
I do not know how to drive a car.	私は車の運転方法を知らない。
I have had a bad report this year.	私は今年は成績が悪かった。
I got a letter from her today.	私は今日彼女から手紙を受け取った。
I have a great deal to do today.	私は今日は仕事がたくさんある。
I know your brother very well.	私は君のお兄さんをよく知っている。
I found the story interesting.	私はその物語をおもしろいと思った。
I have a concern in the business.	私はその事業に関係している。
I suggested that John be called.	私はジョンを呼ぶよう提案した。
I know some of these boys.	私はこれらの少年のうち何人かを知っている。
I want you to open the window.	私はあなたに窓を開けてもらいたい。
I go for a walk every other day.	私は１日おきに散歩に出かける。
I live in this house by myself.	私は１人でこの家に住んでいます。
Something has happened to my car.	私の自動車はどこか故障した。
There is a school near my house.	私の家の近くに学校があります。
My father has a lot of books.	私に父はたくさんの本を持っています。
The boy I helped is Tony.	私によって助けられたその少年はトニー君です。
What size do you think I take?	私にはどのサイズが合うでしょうか。
We have yet to know the truth.	私たちはまだ真実がわかっていない。
We visited Yokohama on business.	私たちは、仕事で横浜を訪れた。
We did everything for our part.	私たちの方であらゆることをした。
Our teacher looks very young.	私たちの先生は、とても若く見えます。
Our letters crossed each other.	私たちの手紙は行き違いになった。
How about taking a walk with us?	私たちと一緒に散歩しませんか。
Pay more attention to your work.	仕事にもっと注意を払いなさい。
I could not sleep much last night.	昨夜はろくに眠れなかった。
I couldn't sleep well last night.	昨夜はぐっすり眠れなかった。
I can not get enough sleep any more.	最近私はよく眠れない。
We haven't heard from her of late.	最近は彼女から便りが無い。
I might as well leave today.	今日出発したほうがいいかもしれません。
I have a great deal to do today.	今日はやることがたくさんある。
Today's play really moved me.	今日の舞台には、とても感動しました。
Have you read today's paper yet?	今日の新聞はもう読みましたか。
Where have you been this week?	今週はどちらにいらしゃいましたか。
I hope your brother is better.	兄さんはよくおなりだと思いますが。
I wish you could have been there.	君も来られたらよかったのに。
You must have stayed up late.	君は遅くまで起きていたにちがいない。
You may go or stay at will.	君は行くもとどまるも意のままにしなさい。
What time do you usually get up?	君はいつも何時に起床しますか。
You will know the truth some day.	君はいつか真相を知るだろう。
Tell me the object of your plan.	君の計画の目的を言って下さい。
It was too bad you couldn't come.	君がこられなくて残念でした。
I have seen little of him of late.	近頃彼にほとんど会わない。
It was there, when I noticed it.	気がつくと、そこにありました。
Well begun is half done.	滑り出しが好調なら事は半ば成就したのに等しい。
The cause of the fire is not known.	火事の原因は不明である。
My family will be away for a week.	家族で一週間留守にします。
Something may have happened to him.	何か起きたかもしれない。
Can I get you something to drink?	何か飲み物をいれましょうか。
Would you like something to drink?	何か飲み物はいかがですか。
Speaking English is not easy.	英語を話すことはやさしくありません。
My poor English cost me my job.	英語が下手だったので職を失った。
I would like a week off with pay.	一週間の有給休暇をください。
I have a desire to go to England.	わたしはイギリスへ行きたい。
As it is late, turn off the TV.	もう遅いからテレビを消しなさい。
Could you give me a better price?	もう少し安いのはありますか。
Have you read today's paper yet?	もう今日の新聞を読みましたか。
Mike eats out almost every night.	マイクはほとんど毎晩外食だ。
Most everything has been improved.	ほとんど全部がよくなった。
Should I make my bed every day?	ベッドメーキングは毎日しますか。
Fred often comes late for class.	フレッドはよく授業に遅刻する。
The party is just beginning.	パーティーはちょうど始まるところです。
Would you care for something to drink?	なにか飲み物でも？
Doors ain't as bad as you think.	ドアは思ったほど悪くはないぞ。
Dan likes to make model cars.	ダンは模型自動車を作ることが好きだ。
That's why I think I'll be chosen.	だから選ばれると思います。
I am not having any of those lies.	そんな嘘は断じて許せない。
Their sizes are much the same.	それらの大きさはほとんど同じです。
A fire broke out during that night.	その夜、火事が起こった。
Did you find the book interesting?	その本は面白かったですか。
The man wanted to have a drink.	その男は一杯飲みたかったのです。
We will make up for the loss.	その損失を埋め合わせることにします。
Tell me how to play the game.	そのゲームの遊び方を教えてください。
Steve is a man of good character.	スティーブは性格のよい男だ。
How soon does the show begin?	ショーは後どれくらいで始まりますか。
Jim's father always comes home late.	ジムの父は帰宅が遅い。
This is the job of my own choice.	これは自分で選んだ仕事です。
I know nothing in respect of this.	これについて何も知らない。
I hope we stay in touch.	これからも連絡を取り合えることを願っています。
This problem is easier than that.	この問題はそれよりやさしい。
I found this book interesting.	この本、読んでみたら面白かったよ。
This book is too difficult to read.	この本は読むのに難しい。
This room is used by teachers.	この部屋は先生方に使われています。
I've been in bad shape these days.	この頃体の調子が悪いです。
This word is not in current use.	この語は現在用いられていない。
This bed is too hard to sleep in.	このベッドは堅くて眠れない。
This is the town where I was born.	ここは私が生まれた町です。
Prices here are out of this world.	ここの値段はとても高いわ。
I got up at six-thirty this morning.	けさは６時半に起きた。
Just give me your name and address.	お名前とご住所をどうぞ。
Would you like something to drink?	お飲み物はいかがでしょう？
Oh, I'll probably just stay home.	うん、私はたぶん家にいるわ。
Everything is all right at home.	うちでは万事旨く行っています。
It's too late to turn back now.	いま引き返すことは、おそすぎる。
How long will you be staying here?	いつまで滞在なさいますか。
Call at my office at any time.	いつでも私のオフィスを訪ねなさい。
Don't do the job just any old way.	いいかげんに仕事をするな。
You had better not eat too much.	あなたは食べ過ぎない方がよい。
Do you want anything to eat?	あなたは何か食べるものが欲しいですか。
How long will you stay here?	どれくらいここに滞在するつもりですか。
Let me know your new address.	あなたの新しい住所を教えてください。
I've heard a lot about you.	あなたのことはかねがね聞いておりました。
Can your mother drive a car?	あなたのお母さんは車を運転できますか。
Oh, I do wish I could go to France.	ああフランスへ行きたい。
Access to A is available from B.	ＡへはＢから近接ことができる。
Don't be late for school again.	２度と学校に遅れてはいけません。
Choose either one or the other.	２つのうちどちらかを選びなさい。
The boy reading a book is John.	本を読んでいる少年はジョンです。
If you don't want it, I'll eat it.	要らないなら僕が食べるよ。
You do that and I'll fire you.	そんなことしたらクビにするからな。
Changes are very likely to happen.	大いに変更の可能性が有ります
The production cost is very high.	非常に生産にコストがかかります
He looks for a temp job in Kyoto.	彼が京都で人材派遣の仕事を探す
The records are still right on hand.	記録が手元にしっかり残る
I'm looking forward to next week again.	また来週が楽しみだ
Thus, people have left the town.	こうして街から人の姿が消えました
X is needed in today's companies.	Xが今の企業に要求されています
He will play the game 100 times.	彼がゲームを１００回プレーします
Old people need someone to talk to.	老人には話し相手が必要だ。
Next week a family will move in.	来週になると一家族が入ってくる。
Don't stay up late every night.	毎晩遅くまで起きていてはいけない。
I will present myself at the meeting.	僕は会議に出席します。
I will present myself at the meeting.	僕は会には出席します。
There remains nothing to be desired.	望むべきことは何もない。
My mother cut my hair too short.	母は私の髪の毛を短く切りました。
My mother was up late last night.	母はゆうべ遅くまで起きていた。
Prices will rise in course of time.	物価はやがて上がるだろう。
Would you like to wait in the room?	部屋でお待ちになりますか。
Father usually comes home at eight.	父はふつう８時に帰宅する。
She is a good deal older than he.	彼女は彼よりずっと年上である。
Her son meant everything to her.	彼女は息子だけが生きがいだった。
She is being rather difficult.	彼女は少し気難しいことを言っている。
She is looking for her car keys.	彼女は自分の車の鍵を捜している。
She paid a visit to Laurie's house.	彼女はローリの家を訪れた。
She came near being run over.	彼女はもう少しで車に引かれる所だった。
She was at a loss for words.	彼女はなんと言ってよいか分からなかった。
She has lived alone for ages.	彼女はとても長い間一人で暮らしている。
She demanded to know about it.	彼女はそれについて知りたいと言った。
It happened that he saw her there.	彼はそこで偶然彼女に会った。
She has had quite a lot to drink.	彼女はかなりの量の酒を飲んだ。
Her car broke down on the way.	彼女の自動車は途中で動かなくなった。
I must remember to see her.	彼女に会うことを覚えていなければならない。
I wish she had come last night.	彼女が昨夜来ていたら良かったのに。
They all tried to talk at one time.	彼らは一度に話そうとした。
Do they get up early in the morning?	彼らは朝早くおきますか。
They backed him up in everything.	彼らは全ての面で彼を支援した。
They owned the lot between them.	彼らは自分たちで土地を所有した。
They made Mary tell everything.	彼らはメアリーにすべてを話させた。
They stayed away from the place.	彼らはその場所に近づかなかった。
Their plan sounds interesting to me.	彼らの計画は面白そうだ。
I'm considering going with them.	彼らに同行しようかと考慮中です。
He did well to accept the offer.	彼は提案を受け入れて賢明だった。
He followed the lead of our teacher.	彼は先生の先導に従った。
He has come back from the office.	彼は事務所から帰ったばかりだ。
He kept us waiting for a long time.	彼は私達を長い間待たせた。
He is a close friend of my brother.	彼は私の弟の親しい友達だ。
He told us an interesting story.	彼は私たちにおもしろい話をした。
He is good at dealing with children.	彼は子供の扱いが上手だ。
He looks a good deal better today.	彼は今日はうんと顔色がよい。
He took back everything he said.	彼は言ったこと全てを取り消した。
In no way is he a man of character.	彼は決して人格者ではない。
He is the last man to tell a lie.	彼は決して嘘をつく人ではない。
He is the last man to tell a lie.	彼は決してうそはつかない人だ。
He stayed in London for a time.	彼は一時はロンドンに滞在していた。
He signed on for another year.	彼はもう一年仕事を続ける契約をした。
He couldn't remember my address.	彼は私の住所が思い出せなかった。
He was standing behind the door.	彼はドアの後ろに立っていました。
He holds the key to this problem.	彼はこの問題の鍵を握っている。
He has quite a few records.	彼はかなりたくさんのレコードを持っている。
He took part in the Olympic Games.	彼はオリンピックに参加した。
He's had many bad experiences.	彼はいろいろと不幸な目に遭っている。
He was at a loss when to start.	彼はいつ発ってよいか途方にくれた。
He doesn't always come late.	彼はいつも遅れてくるというわけではない。
He holds property on their land.	彼はあそこの土地の所有権がある。
He got an easy English book.	彼は、やさしい英語の本を手にいれました。
I wish he were on our team.	彼が私たちのチームの選手であればいいのに。
He, and he alone, must go.	彼、しかも彼独りだけが行かなければならない。
Sunday is the last day of the week.	日曜日は週の最後の日です。
We always take it easy on Sundays.	日曜日はのんびりしています。
Reading can develop your mind.	読書は知性を発展させることができる。
I found the book interesting.	読んでみると、その本はおもしろかった。
He is too young to go there alone.	独りでいくには彼は若すぎる。
Let's study a specific example.	特別の例について研究をしてみよう。
Efforts do not always pay off.	努力は必ずしも報われるものではない。
My brother is not yet in school.	弟はまだ、学校に行っていません。
He could no longer stand the pain.	痛くて我慢しきれなくなった。
Can you explain why you were late?	遅刻の理由を言ってください。
No one respected men like him.	誰一人彼のような男を尊敬しなかった。
Who do you think broke the window?	誰が窓を割ったと思いますか。
Would you mind closing the window?	窓を閉めてくださいませんか。
Would you mind opening the window?	窓をあけていただけませんか。
Mr Hayakawa was respected by him.	早川先生は彼に尊敬されていた。
Living standards should be higher.	生活水準は上がるべきである。
It's necessary for us to sleep well.	睡眠は生きるのに必要だ。
Only man knows how to use fire.	人類だけが火の使い方を知っている。
It's necessary for us to sleep well.	人は十分な睡眠が必要だ。
I've been waiting for love to come.	心の傷を癒してくれる愛を。
Do you eat at home or eat out?	食事は家庭で食べますか、外食ですか。
All plants need water and light.	植物はみな水と光を必要とします。
All the boys spoke, each in turn.	少年達はみんな順にしゃべった。
I think I'll lie down for a while.	少し横になっていようと思う。
A small car takes little room.	小さい車は、あまり場所をとりません。
The girls objected to our plan.	女の子達は僕たちの計画に反対した。
Drink less and sleep more.	酒を飲むのを少なくしもっと睡眠をとりなさい。
When should I return the car?	車はいつかえしたらよろしいでしょうか。
Time is up. Hand in your papers.	時間です。答案を提出して下さい。
The game was put off until next week.	試合は来週まで延びた。
I didn't notice him go out.	私は彼が出て行く事に気がつきませんでした。
I am interested in Japanese history.	私は日本史に興味がある。
I was quite at a loss for words.	私は大変当惑し言葉がでなかった。
I told a lie against my will.	私は自分の意志に逆らってうそをついた。
I can only speak for myself.	私は自分に関してのことだけしかいえない。
I did not reach school in time.	私は時間までに学校に着かなかった。
I don't feel like going for a walk.	私は散歩に行く気など無い。
I was late for school this morning.	私は今朝学校に遅れました。
I will present myself at the meeting.	私は会には出席します。
I was at a loss what to say.	私は何と言ったらいいのか困ってしまった。
Do you think I should go alone?	私は一人で行くべきだと思いますか。
I often watch night games on TV.	私はよくテレビでナイターを見る。
I can't get in touch with him yet.	私はまだ彼と連絡が取れない。
I am going to major in French.	私はフランス語を専攻するつもりです。
I would like to visit New York.	私はニューヨークを訪れたいものだ。
I was at a loss what to do.	私はどうしてよいかわからずに途方にくれた。
I have to do a lot of things.	私はたくさんの事をしなければならない。
I found the book interesting.	私はその本がおもしろいことにきづいた。
I'm not concerned with the plan.	私はその計画にはノータッチです。
Can I watch your next game?	私はあなたの次の試合を見る事が出来ますか。
I'm old enough to live by myself.	私は１人で生活できる年頃です。
My wish is to go to Switzerland.	私の望みはスイスへ行くことです。
My hair is longer than Jane's is.	私の髪はジェーンの髪より長い。
My hair is the longest in my class.	私の髪はクラスで一番長い。
My son is going to be a teacher.	私の息子は先生になるつもりです。
He looks older than my brother.	彼は私の兄よりも年が上に見えます。
I can't get touch in with him.	私には彼と連絡を取ることができない。
I will do everything in my power.	私にできることは何でもしよう。
We use a lot of water every day.	私たちは毎日多くの水を使用する。
We will stay here until Sunday.	私たちは日曜日までここに滞在する。
All of us looked through the window.	私たちはみな窓から見た。
What the heart thinks, the mouth speaks.	思いは口に出る。
Can you put the children to bed?	子供を寝かしつけてもらえますか。
How about eating out this evening?	今夜外食するのはどうですか。
I got a call from her this morning.	今彼女から電話をもらった。
Why don't you go home early today?	今日は早退したらどうですか。
Be sure to come home early today.	今日はきっと早く帰りなさいよ。
I've not read today's paper yet.	今日の新聞は、まだ読んでいない。
What time did you get up this morning?	今朝は何時に起きた？
I've been on the go all this week.	今週はずっと働きづめだった。
Today week I'll be in England.	来週の今日、私は英国にいるでしょう。
I am not content with what I am.	今の自分には私は満足していない。
You are free to go or to stay.	行こうととどまろうとあなたの自由だ。
You should get your hair cut.	君は髪の毛を刈ってもらったほうがいい。
You must make up for the loss.	君はロスを取り戻さなければならない。
Your idea leaves nothing to be desired.	君の着想は完璧だ。
I have been a teacher for 15 years.	教師になって１５年になる。
And on top of it all, I was fired.	挙げ句の果てにクビになった。
School begins on April the tenth.	学校は四月十日から始まります。
I hope I can hold on to my job.	会社をクビにならなきゃいいけどね。
We must die sooner or later.	我々は遅かれ早かれ死ななければならない。
How long are you going to stay here?	何日ぐらい滞在しますか。
I sensed what was happening.	何が起こっているのか、私は気づいていた。
You should keep away from bad company.	悪友は避けるべきだ。
I'm going to Europe next week.	来週ヨーロッパへ行くつもりなんです。
Russian is very difficult to learn.	ロシア語は大層学びにくい。
There are a lot of ways of doing it.	やり方がいく通りもある。
Do you have any smaller sizes?	もっと小さいサイズの物はありますか。
It's high time you were in bed.	もう寝なくてはいけない時間でしょ。
Why don't you stay a little while?	もう少しいてはいかがですか。
Mary stayed up late last night.	メアリーは昨夜遅くまで起きていた。
It was her wish to go to Paris.	パリへ行くことが彼女の望みでした。
The party was put off for a week.	パーティーは一週間延期された。
Nancy told me about the fire.	ナンシーはその火事の様子を私に話した。
Nancy, here's a letter for you.	ナンシー、あなたに手紙が来てるよ。
Any amount of information will do.	どれだけの情報でもうれしい。
Tom need not go to school today.	トムは今日学校にいかなくてよい。
What a good boy you are, Tom!	トムあなたはなんていい子なんでしょう。
How long do you plan to stay?	どのくらいの期間、滞在する予定ですか。
Why did you come home so late?	どうして帰りがこんなに遅くなったの。
A man appeared from behind the door.	ドアの影から男が現れた。
The team is up for the game.	チームは試合に向けて気合いが入っている。
Don't cut your classes so often.	そんなに授業をさぼっちゃダメよ。
It is still in the testing stage.	それはまだ実験段階にあります。
What an interesting story it is!	それはなんと面白い物語でしょう。
The problem was very difficult.	その問題はたいへんむずかしかった。
Parts of the book are quite good.	その本は所々非常にすばらしい。
The town lies just above London.	その町はロンドンのすぐ北にある。
When did you get up that morning?	その朝は何時に起きたのですか。
The man took the boy by the hand.	その男は少年の手をつかまえた。
Will there be anything else?	その他購入するものはありますでしょうか。
The boy got in through the window.	その少年は窓から中に入った。
The girl had flowing hair.	その少女はすらりとたれさがった髪をしていた。
The question is by no means easy.	その質問は決してやさしくない。
It is easy to answer the question.	その質問に答えるのは簡単だ。
Don't force the child to eat.	その子に無理に食べさせてはいけません。
The work has been almost completed.	その仕事は大部分完成した。
I will present myself at the meeting.	その会には出席します。
The fire is remembered in history.	その火事は記録に残っている。
Two can play at that game.	そっちがその手でくるならこっちにも手がある。
John and Mary broke up last week.	ジョンとメアリーは先週別れた。
I hope to visit Sydney again.	シドニーにまた行きたいと思っています。
Good day. How are you today?	こんにちは、今日のご機嫌はいかがですか。
This is the town where he was born.	これは彼が生まれた町です。
This is the car made in Japan.	これは日本で作られた日本製の車です。
This is too difficult for me.	これは私にとって難しすぎて分からない。
This is the same car as I have.	これは私が持っているのと同じ車だ。
What an interesting book this is!	これはなんと面白い本でしょう。
This is a very interesting book.	これはとってもおもしろい本です。
Can you tell me what size this is?	これ、サイズはいくつですか。
This is the reason why I came late.	これが私が遅れた理由です。
Never be late for school again.	これからは二度と学校に遅刻するな。
This method is of wide application.	この方法は適用範囲が広い。
When did you visit Kyoto last?	この前京都を訪れたのはいつでしたか。
This car is as big as that car.	この車はあの車と同じくらい大きい。
The price of this car is very high.	この車の価格はとても高い。
This question is difficult to answer.	この質問は答えにくい。
How do you feel about the issue?	この件について、どう感じますか。
How do you feel about the issue?	この件について、どう思いますか。
This is the town where he was born.	ここが彼の生まれた町です。
You are very early this morning.	けさはあなたはとても早いですね。
Christmas is near at hand, isn't it?	クリスマスは間近ですね。
Christmas is only two weeks off.	クリスマスはほんの２週間先です。
Chris didn't have a car to drive.	クリスは運転する車がなかった。
I look forward to hearing from you.	お便りをお待ちしています。
I'll try Jane for some money.	お金のことはジェーンにあたってみるよ。
Would you like something to drink?	お飲み物はどうなさいますか。
Amy made an effort to stand up.	エイミーは立ち上がろうと努力した。
What is the population of India?	インドの人口はどのくらいですか。
It could attack us at any moment.	いつ私たちを襲うかもしれない。
How many cars does Alex have?	アレックスは何台クルマを持っているの？
I'll have to find a part-time job.	アルバイトを見つけなくては。
I made a lot of money on the side.	アルバイトで金を儲けたんだ。
It was dark in the American house.	アメリカの家の中は暗かった。
I'll keep that book for myself.	あの本を自分のためにとっておこう。
He's going to have a heart attack.	あの人心臓発作を起こすわよ。
I believe you like your job.	あなたは仕事が気に入っていると思います。
Can you think of anything else?	あなたは何かほかに思いつけますか。
You may choose any of them.	あなたはそれらのうちのどれを選んでもよい。
You've improved your English.	あなたはずいぶん英語が上達しましたね。
You have only to wait here.	あなたはここで待ってさえいればいいのです。
When did you visit New York?	あなたはいつニューヨークを訪れましたか。
May all your wishes come true!	あなたの望みがみんな叶いますように。
Can your brother drive a car?	あなたのお兄さんは車を運転できますか。
You have the right to the truth.	あなたには真実を知る権利がある。
It's natural for you to think so.	あなたがそう考えるのは当然だ。
I am interested in Asian history.	アジアの歴史に興味があります。
The ABC company is in the red again.	ＡＢＣ会社はまた赤字だ。
Two years is a long time to wait.	２年とは、待つには長い時間だ。
Quite a few people have two cars.	２台の車をもつ人はかなり多い。
Down fell the house a week later.	１週間後に、その家は倒壊した。
You still need more sleep, don't you?	まだ寝足りないでしょ？
I made a different choice from that.	それとは別の選択を私がする
He doesn't consider X to be a problem.	彼がXを問題にしません
X is considered one of the reasons.	Xが原因の１つに考えられます
I remember that feeling very well.	はっきりとその感覚を覚えている
X made something happen inside him.	Xが原因で彼の身に何か起こる
Each treatment method is different.	それぞれ治療の方法が違います
He was born in that town in 1962.	彼がその町で１９６２年に生まれた
X is supporting the current research.	Xが今の研究活動を支える
Have you ever eaten Japanese food?	和食を食べたことはありますか。
How can I get in touch with you?	連絡はどのようにすれば取れますか。
I will get in touch with you next week.	来週連絡いたします。
Try us again next Monday.	来週の月曜日にもう一度お寄りになってみて下さい。
I will go to New York next week.	来週ニューヨークに行くつもりです。
I did not sleep at all last night.	ゆうべはちっとも眠れなかった。
What is done by night appears by day.	夜行ったことは昼現れる。
Stand up when your name is called.	名前を呼ばれたら起立しなさい。
Who knows but everything will go well?	万事うまくいくだろう。
Reading books is very interesting.	本を読むのはとてもおもしろい。
My mother made me what I am today.	母が私を現在の私にしてくれた。
Mr Hirayama is a very good teacher.	平山先生は大変良い先生です。
Try to see things as they are.	物事はありのままに見るようにしなさい。
It is certain that prices will go up.	物価が上がるのは確かだ。
Books were lying about in the room.	部屋には本が散らかっていた。
My father made me what I am today.	父が私を現在の私にしてくれた。
Call me any time, if necessary.	必要なら、いつでも電話してください。
She kept walking about the room.	彼女は部屋の中を歩きまわっていた。
She was told off for being late.	彼女は遅刻をしたためにしかられた。
I think she will do for a teacher.	彼女は先生に向いていると思う。
She lived all her life in that town.	彼女は終生その町に住んだ。
She kept me waiting for a long time.	彼女は私を長い間待たせた。
She made up her mind to try again.	彼女は再び試みる事を心決めた。
She's working on a term paper.	彼女は期末レポートを作成していますよ。
She continued studying all her life.	彼女は一生涯勉強を続けた。
She put away a good deal of money.	彼女はたくさんのお金を貯えた。
She addressed the letter to John.	彼女は、ジョン宛に手紙を書いた。
Don't let him know her address.	彼女の住所を彼に知らせてはいけない。
She appears to have few friends.	彼女にはあまり友人がいないようだ。
They made their way toward the town.	彼らは町に向かって進んだ。
They backed me up in everything.	彼らは全面的に私を支持してくれた。
They felt their way in the dark.	彼らは手探りで暗闇を歩いて行った。
They all tried to talk at one time.	彼らは皆同時に話そうとした。
They happened to walk side by side.	彼らはたまたま並んで歩いた。
He leaves for New York next week.	彼は来週ニューヨークへ発ちます。
He is faced with a difficult problem.	彼は難問に直面している。
He will come back sooner or later.	彼は遅かれ早かれ戻ってくるよ。
He knows the situation well enough.	彼は状況を十分に知っている。
He had to address the meeting.	彼は集会で演説しなければならなかった。
He told me an interesting story.	彼は私におもしろい話をしてくれた。
He will remember us saying so.	彼は私たちがそういったのを覚えている。
He set out for Tokyo this morning.	彼は今朝東京へ向けて出発した。
He never lay down under the power.	彼は決して権力に屈しなかった。
He has much economic knowledge.	彼は経済の知識をたくさん持っている。
He explained how to make a fire.	彼は火の起こしかたを説明しました。
He has lied to me again and again.	彼は何度も私に嘘をついてきた。
He sees everything in terms of money.	彼は何でも金本意に見る。
He likes taking a walk by himself.	彼は一人で散歩するのが好きだ。
He came near to being run over.	彼はもう少しでひかれるところだった。
He will return to the game soon.	彼はまもなく試合に復帰するだろう。
He was lying in bed a long time.	彼はベッドにずっと横たわっていた。
What a lot of books he has!	彼はなんてたくさんの本を持っているんだろう。
How will he make good the loss?	彼はどうやって損失を償うのだろうか。
He has no claim to the property.	彼はその財産を受け継ぐ資格はない。
He has a few friends in this town.	彼はこの町に少し友達がいます。
He is what we call a man of culture.	彼はいわゆる文化人である。
He is what is called a man of culture.	彼はいわゆる教養人だ。
He visited many countries in Asia.	彼はアジアの多くの国を訪れた。
He left the window as it was, open.	彼は、窓を開いたままにした。
He looked for the key to the door.	彼は、そのドアのかぎを探した。
