Is he right?	彼は正しいですか。
What papers do you take?	どこの新聞をとっていますか。
What place did you see?	どこを観光しましたか。
What shall we buy with that money?	あのお金で何を買おうか。
What shall we do today?	今日は何をしましょうか。
What should I say?	なんと言ったらいいのか・・・。
What should I say?	何と言ったらいいか・・・。
What size do you think I take?	私にはどのサイズが合うでしょうか。
What size do you think I take?	私はどのサイズが合いますか。
What subject are you good at?	どの教科が得意ですか。
What subject do you like best?	あなたはどの学科が好きですか。
What subjects are you taking at school?	君は学校で何の科目を取っていますか。
What subjects do you like the best?	勉強は何が好きですか。
What subjects do you study at school?	学校ではどんな科目を勉強しますか。
What takes you only three days, takes me as many weeks.	あなたにほんの３日しかかからないことが私には３週間かかります。
What time did she check out of the hotel?	何時に彼女はホテルを出ましたか。
What time did your friend go home?	あなたの友達は何時に帰宅しましたか。
What time do we have to check out?	チェックアウト・タイムは何時ですか。
What time do you get up every day?	あなたは毎日何時に起きますか。
What time do you get up every day?	毎日何時に起きますか。
What time do you start boarding?	この便は定刻に出発しますか。
What time do you start check-in?	何時からチェックインできますか。
What time does it close?	何時閉店ですか。
What time does it open and close?	何時に開いて何時に閉まりますか。
What time does it open?	何時開店ですか。
What time does it start?	何時に出発しますか。
What time does it start?	何時に始まるの？
What time does the game start?	その試合は何時に始まりますか。
What time does the game start?	試合は何時に始まりますか。
What time does the play start?	劇はいつ始まりますか。
What time should I check in?	何時にチェックインすればいいですか。
What time will be right for you?	何時がご都合よいでしょうか。
What time will the game start?	何時に試合は始まるでしょうか。
What time will you be home this evening?	今日は何時に帰るの？
What was it that we were told to do?	私達はなにをするように言われたのだっけ。
What was it that you gave him?	一体何を彼にあげたのですか。
What were you doing down there?	あそこで何をしていたのか。
What will become of Japan?	日本はどうなるだろう？
What will become of her?	彼女はどうなるのだろう。
What will we be doing this time next week?	私たち、来週の今ごろは何をしているかしら。
What will you live on while you are there?	そこにいる間、生活の糧はどうするのだ。
What would you do if you were in my place?	あなたが私の立場にいたら、何をしますか。
What would you do if you were in my place?	君が僕の立場だったら、どうするかね。
What would you do if you were in my place?	君が僕の立場にあったら、どうするかね。
What would you do if you were in my place?	君が僕の立場に立たされたらどうするかね。
What would you do in my place?	君が僕の場合だったらどうするつもりだい。
What would you like to do today?	今日は何をしたいですか。
What would you say if you were in my place?	もしあなたが私の立場だったらどうおっしゃいますか。
What you said was in the main right.	あなたが言ったことはおおむね正しかった。
What you say is right.	君の言うことは正しい。
What're you saying?	何を言ってるの！
What's going on down there?	したで何が起こっているの？
What's in the box?	その箱に何が入っているの。
What's new with you? How is your new job working out?	君のほうは変わりはないですか。新しい仕事はどんな具合ですか。
What's taking you so long?	何をぐずぐずしてるの？
What's the boarding time?	搭乗開始は何時からですか。
What's the day today?	今日は何日ですか。
What's the good of having a car if you don't drive?	車を持っていても運転しなければ何にもならない。
What's the local time in Tokyo now?	東京は今何時でしょうか。
What's the material?	材質は何ですか。
What's the name of the party you're calling?	お呼びする相手方のお名前は？
What's the name of the person you want paged?	呼び出してほしい人の名前は何ですか。
What's the name of your insurance company?	保険の名前は何ですか。
What's the point of doing this?	これをして何のためになるの。
What's the point?	そんなことして何になるの？
What's the program for today?	今日の予定は？
What's the right time?	正しい時刻は何時ですか。
What's the room rate?	室料はいくらですか。
What's the story?	事の次第はどうなんですか。
What's the word for "kaisha" in English?	「会社」を英語で何といいますか。
What's your home address?	貴方のお宅の住所はどこですか。
What's your job?	どんなお仕事ですか。
When I called on him, he was not at home.	彼を訪れたとき、彼は家にいなかった。
When I came home, Tom was studying.	私が帰宅したとき、トムは勉強していました。
When I visited Ken, he was studying.	私が健を訪問した時、彼は勉強していました。
When I was fifteen, I got a room of my own.	１５歳の時、私は自分の部屋を持った。
When are you going to say, I do?	いつ結婚するの？
When asked how to do it, he said he didn't know.	彼はそのやり方を尋ねられたが、知らないと言った。
When can I visit you?	いつお訪ねできますか。
When did he come of age?	彼はいつ成年に達したのですか。
When did he return from Osaka?	彼はいつ大阪に戻ったのですか。
When did he say he would come?	彼は何時に来ると言いましたか。
When did life come into being?	生命はいつ誕生したのですか。
When did they register the names of the members?	会員の名前をいつ登録したのか。
When did you change your address?	いつ住所を変えたのですか。
When did you open your new store?	いつ開店したのか。
When did you return?	いつ帰ってきたのですか。
When did you see him last?	最後に彼にあったのは何時ですか。
When did you see him?	あなたはいつ彼に会いましたか。
When did you see him?	彼にいつ会いましたか。
When did you visit Kyoto last?	この前京都を訪れたのはいつでしたか。
When did you visit New York?	あなたはいつニューヨークを訪れましたか。
When do we hand in the report?	いつレポートを提出するのですか。
When do you plan to check out?	あなたのチェックアウトはいつですか。
When do you run?	あなたはいつ走りますか。
When do you study?	あなたはいつ勉強しますか。
When does Tony study?	トニー君はいつ勉強しますか。
When does it end?	いつ終わるの？
When does the show start?	上映はいつから始まりますか。
When he said "water," she gave him water.	彼が「水」と言えば、彼女は彼に水を与えた。
When shall I return the book?	いつその本を返しましょうか。
When shall we have the party?	パーティーはいつにしましょうか。
When she was in Los Angeles, she had at least six different jobs.	彼女はロサンゼルスにいる間に少なくとも６回職を変えた。
When should I return the car?	車はいつかえしたらよろしいでしょうか。
When should I return the car?	車はいつ返したらいいでしょうか。
When should we check out?	何時にチェックアウトしなければならないの？
When to start is the main problem.	いつ出発するかが大きな問題です。
When will she return home?	彼女はいつ家に帰るのか。
When will the party take place?	そのパーティーはいつ行われますか。
When will this be returned to me?	いつこれを返していただけますか。
When will you next visit?	今度はいつ訪ねてくるのか。
When will you return the money to me?	いつお金を返してくれますか。
When would you like to see him?	彼にいつお会いになられますか。
When you can come to my house, please call me first.	私の家に来れる時は、まず電話をして下さい。
When you come to Hawaii, I'll show you around.	ハワイにいらしたらご案内します。
When you read a book you should read between the lines.	読書するには趣旨をくみ取ることが必要だ。
Where are your credit cards?	クレジットカードはどこだ。
Where can I find a place to change money?	両替所はどこにありますか。
Where can I find the post office?	郵便局はどこにありますか。
Where can I park?	どこに駐車できますか。
Where can I park?	どこへ駐車すればいいですか。
Where can I try this on?	どこで試着できますか。
Where can you get a part-time job?	どんな所でアルバイトできるの。
Where did he find the money?	彼はどこでそのお金を手に入れたのか。
Where do I return cars?	レンタカーの返却場所は、どこですか。
Where does John live?	ジョンはどこに住んでいますか。
Where does he come from?	彼はどこの出身ですか。
Where does he live?	彼はどこに住んでいますか。
Where does he live?	彼は何処に住んでいるのですか。
Where does he work?	彼の勤め先はどこですか。
Where does she live now?	彼女は今どこに住んでいますか。
Where does this book go?	この本どこに置くの。
Where have you been all this while?	あなたは今までどこに行っていたのですか。
Where have you been all this while?	今までずっとどこにいたのだ？
Where have you been this week?	今週はどちらにいらしゃいましたか。
Where is Room 105?	１０５号室はどこですか。
Where is he running now?	彼は今どこで走っていますか。
Where is the XXX department?	ＸＸＸ売り場はどこですか。
Where is the changing room?	試着室はどこですか。
Where is the library?	図書館はどこですか。
Where is the post office?	郵便局はどこですか。
Where is today's paper?	今日の新聞はどこ。
Where is your room?	あなたの部屋はどこですか。
Where should I check in for Tokyo?	東京行きはどこでチェックインできるか。
Where will you visit?	どこを訪れる予定ですか。
Which book is older, this one or that one?	この本とあの本ではどちらの本の方が古いですか。
Which box do you like better?	あなたはどちらの箱が好きですか。
Which city are you going to visit first?	あなたはどの都市を最初に訪れるつもりですか。
Which country are you from?	あなたはどこの国の出身ですか。
Which credit cards can I use?	どのクレジットカードが使えますか。
Which day of the week is it?	今日は何曜日ですか。
Which game shall we play next?	次はどんな遊びをしようか。
Which group do you want to join?	あなたはどちらのグループに加わりたいですか。
Which house did you live in?	どの家に住んでいたのですか。
Which is larger, Japan or Britain?	日本とイギリスではどちらが大きいのですか。
Which is larger, Tokyo or Kobe?	東京と神戸ではどちらが大きいですか。
Which is older, this book or that one?	この本とあの本ではどちらが古いですか。
Which is older, this book or that one?	この本とあの本とではどちらが古いですか。
Which is the best way to travel?	旅行方法としてはどれが一番良いですか。
Which of you will try first?	あなたがたのうちどちらが先にやってみますか。
Which present shall I take to the party?	パーティーにはどんなプレゼントを持っていきましょうか。
Which subject do you like best?	どの学科が一番好きですか。
Which subject do you like best?	どの教科が一番好きですか。
Which subject do you like best?	どの科目が一番好きですか。
While I was in Taiwan, I made friends with him.	台湾にいたとき私は彼と友達になった。
While in Europe, she visited Rome.	ヨーロッパにいる間に、彼女はローマを訪れた。
While in London, she studied English.	ロンドン滞在中彼女は英語を勉強した。
Who acts Hamlet?	ハムレットの役は誰がやるのですか。
Who are you to tell me to get out?	何の権限で私に出て行けと言うのだ。
Who cared?	だれが気にかけたでしょう。
Who cares?	だれが気にするもんか。
Who cares?	知るもんか。
Who could take the place of him?	誰が彼のかわりをすることが出来ようか。
Who designed the White House?	ホワイトハウスを設計したのは誰ですか。
Who do you think I ran into today?	今日誰に出くわしたと思いますか。
Who does Tony like?	トニー君は誰を好きですか。
Who does Toshio like?	としお君は誰が好きですか。
Who does he look like?	彼は誰に似ていますか。
Who doesn't know?	知らぬ者がいようか。
Who doesn't love her?	彼女を愛さない者がいようか。
Who doesn't think so?	誰がそう思わないであろうか。
Who is going to try this case?	誰がこの事件を裁くのでしょうか。
Who is in this room?	誰がこの部屋にいますか。
Who is in this room?	誰がこの部屋の中にいますか。
Who is that old man?	あの老人は誰ですか。
Who is the author of this book?	この本の著者は誰ですか。
Who is the author of this story?	この小説の作者は誰ですか。
Who is the owner of this house?	この家の持ち主はだれですか。
Who knows what has become of him?	彼がどうなったかだれがしっていようか。
Who made this box?	誰がこの箱を作りましたか。
Who owns this house?	この家はだれの所有ですか。
Who owns this house?	この家は誰のものですか。
Who plays the lead?	主演は誰ですか。
Who runs the show?	誰が会社の経営者かね。
Who that knows her doesn't love her?	彼女を知っている誰が、彼女を愛さないだろうか。
Who told you the news?	誰が君にそのニュースを教えたのですか。
Who told you the news?	誰が君にそのニュースを知らせたの？
Who told you the story?	誰が君にこの話をしたのか。
Who was looking for the record shop?	レコード店を探しているのは誰でしたか。
Who will try the case?	その事件の裁判官は誰ですか。
Who will try this case?	この事件は誰が審理するのですか。
Who's the DJ today?	今日のＤＪは誰ですか。
Why are you here when you should be in school?	学校にいるはずのおまえがなぜこんな所にいるのか。
Why can't you come?	君はなぜ来られないのですか。
Why did I do that?	なぜ私はあんなことをしたのか。
Why did he ask for so much money?	彼はなぜそんな大金を求めたのか。
Why did he come with her?	なぜ彼は彼女といっしょに来たのですか。
Why did he do that?	彼はなぜそんなことをしたのか。
Why did she ask for our help?	なぜ彼女は我々の助けを求めたのだろう。
Why did you come to Japan?	なぜ日本に来たのですか。
Why did you do that?	なぜそんなことをしたの。
Why did you go to Tokyo?	なぜあなたは東京に行ったのですか。
Why did you live in Kyoto last year?	あなたは何故去年京都に住んでいたのですか。
Why did you not go to the office?	君はなぜ事務所へ行かなかったのですか。
Why did you open the box?	なぜはこをあけたの。
Why did you part with your house?	どうして家を手放したの。
Why did you use up all the money?	君はなぜお金をすべて使い果たしたのか。
Why did you use up all the money?	君はなぜお金を使い果たしたのか。
Why didn't you call me up?	電話くれればよかったのに。
Why didn't you come?	何故来なかったの？
Why didn't you do so at that time?	そのときなぜ君はそうしなかったのですか。
Why didn't you note down the points?	なぜ要点を書き留めなかったのか。
Why didn't you phone before coming?	来る前になぜ電話をかけてくれなかったの。
Why didn't you tell her?	何故彼女にいわなかったんだ？
Why do I even care?	なぜ頭から離れない。
Why do I have to do that?	なんで僕がやらなくちゃいけないの。
Why do many people like John Lennon so much?	なぜ多くの人々がジョン・レノンをそんなに好きなのですか。
Why do so many people visit Kyoto?	なぜそんなに大勢の人々が京都を訪れるのですか。
Why do you ask?	なんで聞くの？
Why do you love me?	どうして愛してくれるの？
Why do you love me?	なんで私のこと好きなの？
Why do you need change?	どんな事で小銭が必要ですか。
Why do you need it?	どんなことでそれが必要ですか。
Why do you need to read such a book?	なぜそんな本を読む必要があるのですか。
Why do you say that?	なぜそうおっしゃるのですか。
Why do you say that?	なぜそんな事を言うの。
Why do you study English every day?	なぜあなたは毎日英語を勉強するのですか。
Why do you study every day?	なぜあなたは毎日勉強するのですか。
Why do you study?	なぜあなたは勉強するのですか。
Why do you think I told her about it?	なぜ私がそのことを彼女に話したと思いますか。
Why do you think he said so?	なぜ彼はそう言ったと思いますか。
Why do you think so?	あなたは何故そう考えるのですか。
Why do you think so?	何があなたにそう考えさせるのですか。
Why do you think so?	何故そう思うの？
Why do you think that way?	なぜそのように思うのですか。
Why do you want to buy this book?	君はなぜこの本を買いたいのですか。
Why do you work here?	なぜここで働いているのか。
Why don't we go home?	家に帰りましょうか。
Why don't we share a room?	１つの部屋に一緒に住まないか。
Why don't you ask Mr White?	ホワイトさんに聞いてみたら？
Why don't you call him up?	彼に電話したらどうですか。
Why don't you call him up?	彼に電話してみたらどうですか。
Why don't you come in?	どうして入って来ないのか。
Why don't you come in?	入っておいでよ。
Why don't you come to my house one of these days?	近いうちに私のところへ来ませんか。
Why don't you come with me?	私と一緒に来ない？
Why don't you give it another try?	もう一度それにトライしてみたら。
Why don't you go to school with us?	私たちといっしょに学校に行かない。
Why don't you have a party?	パーティーを開いたらどうですか。
Why don't you join our party?	私たちの仲間に入りなさい。
Why don't you look in on Mr Anderson on your way back?	帰る途中にアンダーソン氏をちょっと訪ねたらどうですか。
Why don't you look it up in the phone book?	電話帳で調べたらどうですか。
Why don't you say it?	言ってみたらどうだ。
Why don't you share your cookies with Jim?	ジムに少しお菓子を分けてやったらどう？
Why don't you study French?	フランス語を勉強してみてはどうですか。
Why don't you take the day off?	今日一日は仕事を休んだら？
Why don't you try to get your money back?	君はどうして自分の金を取り戻そうとしないのか。
Why is he here?	なぜ彼はここにいるのですか。
Why me?	どうして私なの？
Why me?	何でわたしなの？
Why not try it on?	着てみない？
Why not?	どうしてダメなの？
Why not?	なぜいけないか。
Why should he think that he knows better than I do?	どうして彼は自分のほうが僕より分別が有ると思うんだろう。
Why should she have sent for him?	なぜ彼女は彼を呼びにやる必要があったのか。
Why should you think so?	いったいどうしてあなたはそう考えるのですか。
Why were you there?	どうして君はそこにいたのか。
Will he come this evening?	彼は今夜来るでしょうか。
Will it be much longer?	長くかかるんでしょうか。
Will you be seventeen next month?	来月１７歳になるのですか。
Will you drive me home?	車で家まで送ってもらえませんか？
Will you get me a room?	部屋を取ってくれませんか。
Will you give me a light?	煙草の火を貸してくれませんか。
Will you give me her address?	彼女の住所を教えてくれませんか。
Will you go in place of me?	私の代わりにいってくれませんか。
Will you go to America next month?	あなたは来月アメリカに行く予定ですか。
Will you guide me around the city?	この市を案内していただけませんか。
Will you hand the papers around?	書類を回してくださいませんか。
Will you help me give out the programs to those people?	あの人たちにプログラムを配る手伝いをしてくれませんか。
Will you join us?	君も仲間に入りませんか。
Will you look over these papers?	この書類に目を通しておいてくれますか。
Will you look over these papers?	これらの書類に目をとおしていただけませんか。
Will you look over these papers?	これらの書類を調べてみてくれませんか。
Will you make room for me?	席を詰めてくれませんか。
Will you make room for me?	私のために場所をかけてくれませんか。
Will you please call me this evening?	今夜電話して下さいませんか。
Will you record this program on video for me?	この番組、ビデオに録っておいて。
Will you sell me your house?	あなたの家を売ってくれませんか。
Will you sell your car to me?	私にあなたの車を売ってくれませんか。
Will you sell your house to him?	彼に家を売るつもりですか。
Will you sign it for me?	サインしてもらえるかしら。
Will you sign your name on this paper?	この書類に署名していただけますか。
Will you take a check?	小切手で受け取ってもらえますか。
Will you take a personal check?	小切手は使えますか。
Will you take on the job?	君はその仕事を引き受けますか。
Will you take us for a drive next Sunday?	今度の日曜日にドライブにつれていってくれませんか。
Will you take your hand off me?	私から手を離してくださらない？
Will you tell him I called?	彼に私から電話があったことをお伝えいただけますか。
Will you tell him about it when he comes home?	彼が帰ってきたら、そのことについて彼に話してくれませんか。
Will you tell me how to get to Shinjuku?	新宿に行く道を教えてください。
Will you tell me how to get to your house?	私にあなたの家への行き方を教えてくれませんか。
Will you tell me the way to the library?	図書館に行く道を教えてくれませんか。
Will you tell me what I should do next?	次に何をやるべきか教えてくれませんか。
Will you tell me why you like her?	どうして彼女が好きなのか話してくれませんか。
Will you tell me?	私に話してくれませんか。
Will you tell us a story?	私たちにお話をしてくれませんか。
Will you type this paper for me?	この書類をタイプで打ってくれませんか。
With more education, he would have found a better job.	もっと教育を受けていたら、彼はさらによい仕事を見つけていただろう。
Within every man are thousands.	一人の個人の中に幾千ものことなった人間がいる。
Won't you come and see me next week?	来週はうちへいらしゃいませんか。
Won't you come over to my place?	うちに来ないか。
Won't you come to my house next Sunday?	今度の日曜日うちへ来ない？
Work while you work, play while you play.	勉強する間は勉強し、遊ぶ間は遊べ。
Would you care for more cookies?	もっとクッキーはいかがですか。
Would you care to come and see me on Saturday?	土曜日に家に来ませんか。
Would you care to come with us?	君も一緒に来たいか。
Would you care to join me?	ご一緒にいかがですか。
Would you like some more?	もう少し召し上がりませんか。
Would you like some of those cookies?	クッキーを少しいかがですか。
Would you like to come and see us this evening?	今夜遊びにきませんか。
Would you like to come to my party?	私のパーティーに来ませんか。
Would you like to join our team?	私たちのチームに入りませんか。
Would you like to join us for a game of cards?	みんなと一緒にトランプしない？
Would you make room for me?	座席をつめていただけませんか。
Would you please show me another one?	別のを見せてくれませんか。
Would you please tell me the way?	どうぞ道を教えてくださいませんか。
Would you please tell me when to get off?	いつ降りたらよいか教えて下さい。
Would you sign here?	ここにサインをお願いできますか。
Would you tell me the way?	道を教えていただけますか。
Would you tell me when to get off?	いつ降りたらいいのか教えていただけますか。
Write down your name here.	ここにあなたの名前を書きなさい。
Write in less than 50 words.	５０語以内で書きなさい。
Write it down here, please.	ここに書いて下さい。
Write on every other line.	一行おきに書け。
Write to him for me, Jan.	私の代わりに彼に手紙を書いて下さい、ジャン。
Write your address here.	ここに住所を書いてください。
Write your address here.	君の住所をここにお書きなさい。
Write your address, please.	ご住所をお書き下さい。
Write your name and address, please.	お名前とご住所をお書きください。
Write your name and address.	あなたの住所氏名を書きなさい。
Write your name and address.	あなたの名前と住所を書いて下さい。
Write your name in full.	名前を略さずに書きなさい。
X has been pointed out.	Xが指摘されています
X has started acting.	Xが行動に出る
X is included with every product.	Xが各商品につきます
X is needed in today's companies.	Xが今の企業に要求されています
X is supporting the current research.	Xが今の研究活動を支える
X takes so much work.	Xになかなか骨が折れます
X will be selected by the person.	Xを本人が選択する
X will change your life.	Xで貴方の人生が変わります
Yamada and Sato said it at the same time.	山田さんと佐藤さんが同時に言う
Yamada placed seventh in the over 105kg class.	１０５キロ超級で山田選手が７位に入った
Yamada ran without giving up.	山田選手が粘りの走りを見せた
Yamamoto is one of my friends.	山本君も私の友人の一人です。
Yoko is in London now. She's studying English.	洋子は今ロンドンにいる。彼女は英語を勉強している。
Yoko will go to Kyoto next week.	洋子は来週京都へ行くだろう。
Yokohama is a city where more than three million people live.	横浜は３００人以上の人が住む都市だ。
Yokohama is one of the largest cities in Japan.	横浜は日本で最大の都市の一つだ。
Yokohama is the second largest city in Japan.	横浜は日本で二番目に大きい都市である。
You all right?	よろしいですか。
You and I are good friends.	君と僕は仲よしだ。
You and I are old friends.	あなたと私は昔からの友達です。
You and I are the same age.	君と僕とは同い年だ。
You and I are the same age.	君と僕とは同じ年だ。
You and I are very good friends.	君と私はとても仲がいい。
You and I must give him our present.	あなたと私は彼にプレゼントをあげなければならない。
You are allowed to check out not more than five books at a time.	本の貸出しは１度に５冊までですよ。
You are allowed to go.	行ってもよい。
You are doing very well. Keep it up.	よくやっているよ。その調子で続けて。
You are doing very well. Keep it up.	よくやっているよ。続けて。
You are free to do as you please with your money.	君は好きなように君のお金を処分してよい。
You are free to use this car, because I have another one.	私にはもう一台車があるので、君はこの車を自由に使えます。
You are free to use this room.	この部屋を使うのはあなたの自由です。
You are free to use this room.	この部屋を自由に使っていいですよ。
You are making history.	皆さんは歴史をつくっています。
You are my best friend.	貴方は、大親友です。
You are not allowed to use this car.	あなたはこの車を使うことを許されていない。
You are off the point.	君の言うことはピントがはずれている。
You are right in a way.	あなたの言うことはある意味では正しい。
You are right in a way.	君はある意味では正しい。
You are the only man in the world that I can call my friend.	君は、私が私の友人と呼べる世界でただ一人の人です。
You are the very person I have been looking for.	あなたこそ私が探していた人だ。
You are to do as I tell you.	君は私の言うとおりにしなくてはいけない。
You are to do as I tell you.	私の言った通りにしなさい。
You came into my room.	あなたが、私の部屋に入ってきた。
You came out of the room.	あなたが部屋から出てきた。
You can ask him for help.	彼に助けを頼んでごらん。
You can ask him for help.	彼に助けを頼んでごらんよ。
You can come and get it today.	今日取りにいらしてください。
You can create a jpeg image file.	ｊｐｅｇ形式の画像ファイルを作成できます
You can do better on your tests.	テストでもっといい成績がとれる。
You can do it if you try.	やってみれば君にはそれが出来る。
You can drive a car, can't you?	君は車の運転ができますよね。
You can get points just by clicking.	クリックするだけでポイントがもれなく貰える
You can make 4, 6 or 12 payments.	４回、６回、１２回があります。
You can park here.	ここに駐車できますよ。
You can read between the lines.	行間を読みなさい。
You can study here.	君はここで勉強できる。
You can take her at her word on that.	その件については彼女の言葉を信じていいでしょう。
You can take today off.	今日は仕事を休んでよい。
You can tell him for all I care.	あなたが彼に言いつけたって私はちっともかまわない。
You can travel how you please.	好きなように旅行してよい。
You can use my car today.	今日私の車を使っていいよ。
You can visit NHK any time.	ＮＨＫはいつでも見学できます。
You can't have both books.	その２冊の本の両方ともはだめです。
You can't have it both ways.	両天びんにかけようたってそうはいきませんよ。
You can't just come in here and start ordering people around.	いきなり入って来て威張ってもらってもこまる。
You can't keep a good man down.	才能ある者を抑えておくことはできない。
You can't live without water.	水なしでは、生きて行けない。
You can't run my life.	僕の人生に口を出さないでくれ。
You can't say no.	おまえは何も否定できないまま。
You could be here for a long while.	長い間いることになるかもしれない。
You did it all right.	お前は、やるべき事はちゃんとやったよ。
You did not say so.	あなたはそう言いませんでした。
You didn't do a very good job, I said.	「きみらはあんまりいい仕事をしていないね」私は言った。
You didn't see him.	彼に会わなかったのだろう。
You do run.	あなたは走る。
You don't have to buy water, do you?	水を買う必要がないですよね。
You don't have to come here every day.	君は毎日ここに来る必要はありません。
You don't have to study.	あなたは勉強する必要はない。
You don't have to tell it to me if you don't want to.	それを私に言いたくなければ、言う必要はない。
You don't have to work today.	あなたは今日は働かなくてよい。
You don't like love stories.	君はラブストーリーが好きじゃないんだね。
You don't look very well. You had better not go to work today.	あまり調子がよくなさそうだよ。今日は仕事に行ってはだめだ。
You don't need to study today.	今日は勉強しなくてよろしい。
You don't run here.	あなたはここで走りません。
You don't say.	意外だねー。
You had better ask him how to do it.	あなたは彼にそのやり方を聞いたほうがよい。
You had better ask him which way to take.	どちらの道を行ったらいいか彼にたずねたほうがいいよ。
You had better do it right now.	今すぐそれをしたほうがいいよ。
You had better go in person.	あなた自身が行った方がいいよ。
You had better go over the house before you take it.	その家を買う前に、よく調べた方がいいですよ。
You had better look up the word.	その単語は調べた方がいい。
You had better not drive a car.	君は車を運転しない方がいい。
You had better not keep company with him.	君は彼と交際しない方がよい。
You had better not see her today.	君は今日は彼女に会わないほうがいい。
You had to join that project.	きみはその計画に参加しなければならなかった。
You had to study English.	英語を勉強しなければならなかった。
You have a gift for music.	君には音楽の才能がある。
You have a good friend in me.	君にはぼくというよい友達が居る。
You have a light hand, don't you?	君は手先が器用だね。
You have a point there.	それは一理ある。
You have a point there.	なかなか味のあることを言うね。
You have changed since I saw you last year.	あなたは昨年会った時から変わった。
You have done a very good job.	上出来でしたね。
You have given me so many.	そんなにたくさんくださいました。
You have him there.	その点では君は彼より上だ。
You have made him what he is.	彼の今日あるのはあなたのおかげです。
You have many books.	君はたくさんの本を持っている。
You have many caring friends.	君には心配してくれる友達がたくさんいる。
You have no right to go there.	あなたにはそこに行く権利がない。
You have no right to say so.	君にはそういう権利が無い。
You have only to ask for it and it will be given to you.	あなたはそれを求めさえすればよい。そうすれば、与えられるのでしょう。
You have only to ask for it.	あなたはそれを求めさえすればよい。
You have only to ask him if he'd like to join us.	あなたは、彼に参加したいかどうか尋ねさえすればいい。
You have only to do as you were told.	あなたは言われた通りにしさえすればいい。
You have only to give him a little help.	君は彼にちょっと手をかしてやりさえすればいい。
You have only to sign your name here.	君はここに署名しさえすればよい。
You have to buy one at the office.	切符売り場で買わなければなりません。
You have to get him to help you.	あなたは彼に手伝ってもらわなければなりませんよ。
You have to go to college for four years.	大学へは４年間行かなくてはいけない。
You have to go to the party.	君はパーティーに出なくてはならないよ。
You have to learn standard English.	君は標準英語を学ばなくてはいけない。
You have to look out for other cars when you drive.	運転する時は、他の車に注意しなければなりません。
You have to pay the price.	回ってきたんだよ。
You have wanted to go there for a long time, haven't you?	あなたは以前からずっとそこへ行きたがっていましたからね。
You haven't any money.	君はお金を持っていません。
You just have to do as you're told.	あなたがしなければならない事はいわれた通りにする事だけだ。
You keep out of this.	口を出すな。
You know, there are more and more old people.	ご存知の通り、お年寄りがますます多くなってきています。
You look as if you don't have a care in the world.	あなたは浮き世の悩みがないような顔をしている。
You look contented.	満足そうですね。
You look different today.	今日はいつもとちがって見えるね。
You look down.	元気がないわね。
You look much better.	前よりもずっと良さそうですね。
You make a box.	あなたは箱を作ります。
You make your own life.	自分の人生は自分で決める。
You may as well make friends with people who need you.	あなたを必要とする人々と仲良くなった方がよい。
You may as well say so.	君はそう言うほうがよい。
You may as well tell me all about it.	君は、それについてすべてを私に話したほうがいい。
You may be right about that.	あなたの言う通りかもしれません。
You may be right.	君の言うことは正しいかもしれない。
You may be right.	多分君が正しいのだろう。
You may have it for the asking.	ご入用でしたらさしあげます。
You may keep the book.	君はその本を持っていていいよ。
You may park here.	ここに駐車してもいいですよ。
You may take my word for it.	それについては私の言葉を信用してもいいです。
You might have told me.	私に言ってくれてもよかったのに。
You must act like a man.	男らしく行動すべきである。
You must be back before ten.	１０時前に戻らなければならない。
You must be here by five.	５時までに来なければならない。
You must be just to them.	きみは彼らに公正であらねばならない。
You must come every six months for a check-up.	半年に１回定期検診に来てください。
You must do as I tell you.	君は私の言うとおりにしなければならない。
You must do as you are told to do.	君は言われた通りにしなければならない。
You must do as you are told.	あなたは言われた通りにしなくてはならない。
You must do as you are told.	言いつけどおりにしなければならない。
You must do it by the end of this week.	今週の終わりまでにやらなくては、いけません。
You must do it even if you don't want to.	たとえしたくなくても君はそれをしなくてはならない。
You must do the work even if you don't like it.	いやでもその仕事をしなければならない。
You must do the work, even if you do not like it.	たとえいやでもその仕事はしなければいけないよ。
You must do work.	あなたは仕事をしなければならない。
You must do your best.	君は最善をつくさなければならない。
You must get up at six.	あなたは６時に起きなければなりません。
You must go home.	あなたは家へ帰らなければならない。
You must go out of the room.	部屋を出ろ。
You must go through with your plan.	あなたは計画をやり通さなければならない。
You must go through with your plan.	君はその計画をやり通さなければならない。
You must go through with your plan.	君は計画を遣り通さなければならない。
You must go to Harajuku.	あなたは原宿に行かなければならない。
You must go.	君が行くのだ。
You must have such friends as will help you.	あなたを助けてくれるような友達を持たなければならない。
You must help her.	あなたは彼女を手伝わなければならない。
You must help her.	君は彼女を助けなければならない。
You must help set the table.	あなたは食卓の用意をするのを手伝わなければいけない。
You must learn to see life as it is.	人生をあるがままに見るようにならなければならない。
You must make good use of money.	お金は上手に使わなければならない。
You must make much of time.	時間を大切にしなければならない。
You must make the most of your time.	時間はできるだけ有効に使わなければならない。
You must make the most of your time.	時間は最大限に活用すべきだ。
You must not come in contact with him.	彼と接触してはいけない。
You must not come in.	君は入ってはいけない。
You must not do it now.	今それをしてはいけない。
You must not go out today.	君は今日外に出てはならない。
You must not go there with them.	彼等とそこへ行ってはいけません。
You must not look down on old people.	あなたたちは老人を軽蔑してはいけない。
You must not play.	あなたは遊んではいけない。
You must not take it on any account.	どんなことがあってもそれを受け取ってはいけない。
You must read between the lines.	言外の意味読みとらなければいけない。
