I like tea.	私はお茶が好きです。
I don't have any classical music.	クラシックはありません。
Do you have any information on classical music concerts?	クラシックコンサートに関する情報をください。
Kumi is playing tennis now.	クミは今テニスをしています。
Is Kumi playing tennis?	クミはテニスをしていますか。
We have had enough of empty words.	くだらない話はもうたくさんだ。
Let's draw lots to decide who goes first.	くじを引いて誰が最初か決めよう。
Let's decide the winner by lot.	くじで誰が勝つか決めよう。
Thank you for the beautiful flowers.	きれいな花をありがとう。
In the Greek football game, the players on one team tried to carry a ball across a line in the other team's territory.	ギリシャのフットボールの試合では、一方のチームの選手は相手チームの陣地のラインの向こう側にボールを持ち込もうとしたのです。
It is too warm for a fire today.	きょうは暖かいから火はいらない。
The eight o'clock bus was early today.	きょうは８時のバスが定刻より早かった。
She's much better today than yesterday.	きょうの彼女はきのうよりずっと体の具合がいい。
How many brothers and sisters do you have?	きょうだいは何人ですか。
You've got to give up gambling once and for all.	ギャンブルはきっぱりと止めなさい。
You might as well throw your money away as spend it on gambling.	ギャンブルに金を使うくらいなら、捨てた方がましだ。
Once you get the taste for gambling, it's hard to give it up.	ギャンブルで味を占めるとなかなか止められない。
Gambling was by no means his only source of income.	ギャンブルが彼の唯一の収入源というわけでは決してなかった。
Can we go to the shops for sweets, please?	キャンディーを買いに店まで行ってよろしいですか。
If I wait, what's the possibility I can get a seat?	キャンセル待ちで乗れる確率はどれくらいですか。
Cathy stopped picking flowers.	キャシーは花を摘むのをやめました。
Cathy had her hat blown away.	キャシィは帽子を吹き飛ばされた。
Were you at home yesterday?	きみは昨日家にいましたか。
You may get a serious disease.	きみはひどい病気にかかるかもしれない。
Your knowledge surprises me.	きみの博識は私を驚かせる。
It is not good for you to break your promise.	きみが約束を破るのはよくない。
I don't know whom you want to see.	きみが誰に会いたいのか分からない。
I can't figure out why you don't like jazz.	きみがなぜジャズを嫌いか私にはわからない。
Where did you go yesterday?	きみ、きのうはどこへ行ったんだ？
She dropped in at my house yesterday.	きのう彼女は私の家をひょっこり訪ねてきた。
He asked about your health yesterday.	きのう彼はあなたがお元気かどうか尋ねていました。
It was I that phoned him yesterday.	きのう彼に電話をかけたのは私だった。
Yesterday the teacher told us that he would give us a test today.	きのう先生は今日テストをすると言った。
I saw Bill in the library yesterday.	きのう図書館でビルに会った。
There was a car accident yesterday.	きのう自動車事故があった。
Yesterday I saw a girl whom I had met in the library a month before.	きのう私は、図書館で１ヶ月前に会った少女と再び出会った。
I saw an old friend of mine yesterday.	きのう旧友の一人に出会った。
I caught three fish yesterday.	きのう魚を３匹とった。
Yesterday I nearly ran into Robert in Ginza.	きのう銀座でロバートとすれ違ったよ。
Yesterday a foreigner spoke to me in English on the train.	きのう外国の人が電車の中で私に英語で話しかけてきました。
Only yesterday did I see him.	きのうようやく彼に会った。
Until yesterday, I had known nothing about it.	きのうまで、私はそのことを何もしらなかった。
I slept all day yesterday, because it was Sunday.	きのうは日曜だったから一日中寝てすごしました。
I missed the last bus yesterday.	きのうは最終バスに乗り遅れてしまった。
I slept twelve hours yesterday.	きのうは１２時間寝た。
The weather was perfect yesterday.	きのうの天気は申し分なかった。
Two hundred houses were burnt down in the fire which broke out yesterday.	きのうの火事で２００戸が全焼した。
We missed you very much at the party yesterday. We had a very good time indeed.	きのうのパーティーに来ればよかったのに。とてもおもしろかったよ。
It seems like yesterday, but it's actually nearly ten years since we first met.	きのうのことのように思えるけど、私たちが初めて会ってから、実際には１０年近くになるんですね。
It was not until yesterday that he was free of debt.	きのうになってやっと彼は借金を払った。
It was not until yesterday that we knew about it.	きのうになってやっと私たちはそのことを知った。
It was not until yesterday that we knew about it.	きのうになってはじめて私たちはそれについて知った。
It was him that broke the window yesterday.	きのうその窓をこわしたのは彼だった。
There were two marriages here yesterday.	きのうここで結婚式が２組あった。
A Mr. Williams came to see you yesterday.	きのうウィリアムズさんとかいう人が訪ねてきました。
I happened upon Bernard at a restaurant yesterday.	きのうある料理店で、私は突然、バーナードにあった。
I enjoyed watching TV yesterday.	きのう、私はテレビをみて楽しかった。
I met your parents yesterday.	きのう、あなたの両親に会いました。
I bet all will turn out well.	きっと万事うまくいく。
He will certainly attend the meeting.	きっと彼は会合に出席します。
I bet he doesn't make it.	きっと彼はそれに失敗をするさ。
I bet we'll have a test today.	きっと今日テストがあるでしょう。
Be sure to pass the exams.	きっと合格しなけりゃダメよ。
The weather is sure to be wet.	きっと雨になりますよ。
It's going to rain, for sure.	きっと雨が降るだろう。
Bob will certainly attend the meeting.	きっとボブは会合に出席します。
I'm sure you were surprised to hear of my marriage.	きっとあなたは私が結婚したことを聞いて驚いたことでしょう。
Sit up straight.	きちんと座りなさい。
Our sales organization for Gamma is not strong.	ガンマの販売組織が強くありません。
Let's row the boat in turn.	かわるがわるボート漕ごう。
The poor girl made a living by selling flowers.	かわいそうにその少女は花を売って生計をたてていた。
The greatest hate springs from the greatest love.	かわいさ余って憎さ百倍。
I visited him, whom I had not seen for years.	かれを訪ねましたが、彼には何年も会っていませんでした。
They grow oranges in California.	カルフォルニアではオレンジを栽培している。
California is famous for its fruit.	カリフォルニアは果物で有名です。
California and Nevada border on each other.	カリフォルニアとネバダは互いに接している。
Gulliver's Travels was written by a famous English writer.	ガリバー旅行記は、有名な英国の作家によって書かれた。
If he knew the truth, he would tell us.	かりに知っていれば私たちに話すだろう。
Although it was raining, I had to go out.	かりに雨が降っても私は行くつもりです。
I wish I had taken better care of myself.	体をもっと大切にしておけばよかったのだが。
Those who live in glass houses should not throw stones.	ガラスの家に住む人は石を投げるべきではない。
She wrote in ink.	彼女はインクで書いた。
Her hat looked funny.	彼女の帽子はおかしかった。
Quite a few people were present at the meeting yesterday.	かなり多くの人々がきのうの会合に出席していた。
I've got some rather serious news.	かなり重大な知らせがある。
Is it serious?	かなり悪いですか。
It seems to be serious.	かなり悪いかもしれません。
Canada has a cold climate.	カナダの気候は寒い。
The climate of Canada is cooler than that of Japan.	カナダの気候は、日本のそれより涼しい。
There was a great conflict between religion and science.	かつて宗教と科学のあいだに大きな衝突があった。
Former pop stars are just plain old women by the time they're 40.	かつてのアイドルも４０過ぎるとただのおばさんか。
I fell back on the reserve tank when the gas ran out.	ガソリンがなくなったので、予備タンクに頼った。
You must guard against catching cold.	かぜをひかないよう用心しなければなりません。
What money he earns he spends on books.	かせぐ金を彼はすべて本に使ってしまう。
It is said that Kazu is the best soccer player in Japan.	カズは日本一のサッカー選手と言われている。
The guide will lead us to the famous park.	ガイドさんが私たちを有名な公園へと導いてくれるだろう。
It took me by surprise to hear that Carl was moving to Germany.	カールがドイツに移り住むと聞いた時には驚いた。
Please insert your card.	カードを入れてください。
It was yesterday morning that I saw Mr Carter.	カーターさんに会ったのは昨日の朝でした。
It's a great honor to be able to meet you.	お目にかかれて大変光栄です。
I am honored to meet you.	お目にかかれて光栄です。
I will do whatever you wish.	お望みの事はなんでもやってあげるよ。
Please give my kindest regards to your mother.	お母様にくれぐれもよろしく。
You have to make good the promise for your mother.	お母さんのためにあなたは約束を果たさなければならない。
The mother's mother is a nurse.	お母さんのお母さんは看護婦です。
Don't be a trouble to mother.	お母さんに心配をかけるな。
Do you think your mom could set me up, too?	お母さんに私のもお願いできないかしら。
What should we do if Mom didn't give us money?	お母さんがお金をくれなかったらどうしよう？
When will we eat dinner, Mom?	お母さん、夕食は何時ですか。
I'm sorry for the delay in my reply.	お返事が遅れまして、申し訳ありません。
Is the bath ready?	お風呂沸いてる？
The bath is ready.	お風呂沸いたわよ。
There was no bathroom.	お風呂はありませんでした。
Your bath is ready.	お風呂の用意ができました。
It's time to take a bath.	お風呂に入る時間です。
When I was taking a bath, the telephone rang.	お風呂に入っているとき、電話がなった。
I'm sorry to hear that your father has passed away.	お父上がお亡くなりになったと聞いてお気の毒に思います。
My father participated in a cooking contest and came in first.	お父さんは料理コンテストに出て優勝したのよ。
Father is having a bath.	お父さんは入浴中です。
My father has been washing his car since this morning.	お父さんは今朝からずっと車を洗っている。
Please be sure to give my best regards to your father.	お父さんによろしくお伝え下さい。
Say hello to your father for me.	お父さんによろしく。
Best regards to your father.	お父さんにはくれぐれもお伝えください。
Best regards to your father.	お父さんにくれぐれもよろしくお伝え下さい。
My wishes for your father's rapid recovery.	お父さんが早く良くなりますように。
I'm sorry to hear that your father passed away.	お父さまがお亡くなりになったそうで。
I found a real bargain.	お買い得商品を見つけた。
You two look exactly like brother and sister.	お二人はまるで兄弟のようによく似ています。
Is the water hot enough to make the tea?	お湯は紅茶を入れられるほど熱いですか。
I'll make tea for you.	お茶を入れますよ。
Would you mind making tea for me?	お茶を入れていただけませんか。
I'd like some tea, please.	お茶を少しいただきたいのですが。
Have some tea, won't you?	お茶を召し上がりませんか。
It's about time you got the tea ready.	お茶を準備すべき頃だ。
Come and have tea with me.	お茶を飲みにいらっしゃい。
Let's talk over a cup of tea, shall we?	お茶を飲みながら話しませんか。
Let's talk over a cup of tea, shall we?	お茶を飲みながら話しましょう。
How about making me a cup of tea?	お茶を一杯入れてくれないか。
Please bring a cup of tea to me.	お茶を一杯持って来て下さい。
Please give me a cup of tea.	お茶を一杯ください。
Will you have a cup of tea?	お茶を一杯飲みませんか。
I'd like a cup of tea.	お茶を一杯いただきたいのですが。
Would you like to have a cup of tea?	お茶を一杯いかが。
Will you have some more tea?	お茶をもっといかがですか。
Won't you have some more tea?	お茶をもう少し御召し上がりになりませんか。
Give me some more tea.	お茶をもう少し下さい。
Would you like some more tea?	お茶をもう少しいかがですか。
Will you have another cup of tea?	お茶をもう一杯飲みませんか。
Would you like another cup of tea?	お茶をもう一杯いかが。
Would you care for another cup of tea?	お茶をもう一杯いかがですか。
Have some tea, won't you?	お茶をお召し上がりください。
Would you like a cup of tea?	お茶を一杯いかがですか？
Won't you have some tea?	お茶をいかがですか。
Tea was introduced from China.	お茶は中国から伝わった。
Would you like tea or coffee?	お茶はいかがですか、それともコーヒーにしますか。
Please clear away the tea things.	お茶の道具を片付けてください。
The quality of tea is going down.	お茶の質は下がりつつある。
Which would you rather have, tea or coffee?	お茶とコーヒーと、どちらがよろしいですか。
Which do you like better, tea or coffee?	お茶とコーヒーではどちらが好きですか。
Tea and coffee helps to start the day.	お茶とコーヒーそれが１日のスタートを助ける。
The tea is too strong. Add some water.	お茶が濃すぎるので水を少し加えて下さい。
We've run out of tea.	お茶が切れています。
I'd like a tea.	お茶が一杯欲しい。
Would you like tea or coffee?	お茶かコーヒーでもいかがですか。
I hope your birthday is full of song and good times all day long! Happy birthday!	お誕生日が明るい歌と楽しいことで一杯でありますように。
Happy birthday to you!	お誕生日おめでとうございます。
Your children look healthy.	お宅のお子さんは丈夫ですね。
I am surprised that your family has a Japanese car.	お宅では日本車を持っているそうで、驚きました。
Don't talk about it in my mother's presence.	お袋の前ではそのことに触れるな。
Please hang on. I'll put him on the phone.	お待ち下さい。彼を電話口に出しますから。
I'm sorry to have kept you waiting.	お待たせしました。
I'm sorry to have kept you waiting.	お待たせして申し訳ございません。
Leave it alone!	お前の知ったことか！
I will make a new suit for you.	お前に新しい洋服を作ってあげよう。
If you act like a child, you will be treated as such.	お前が子供のような振る舞いをするなら子供として扱われるぞ。
You should go ahead and do it, just like you said you would.	お前、言ったことはちゃんとやれよな。
Less noise, please.	お静かに・・・。
May I have the honor of asking you?	お尋ねしてもよろしいでしょうか。
Thank you again for your good thoughts.	お心遣い重ねて感謝します。
Thanks so much for your good thoughts.	お心遣いどうもありがとうございます。
What's your daughter's name?	お嬢さんのお名前は？
Your daughter passed the examination, I hear.	お嬢さんは試験に合格なさったそうですね。
I ask to see your daughter.	お嬢さんに会わせていただきたい。
This accident has nothing to do with me, officer.	お巡りさん、この事故は私とは関係ありませんよ。
Can I drink alcohol?	お酒を飲んでもいいですか。
Do you drink alcohol?	お酒は飲みますか。
May I use the bathroom?	お手洗いを拝借できますか。
May I use the bathroom?	お手洗いをお借りしても良いですか。
Could you show me where the bathroom is?	お手洗いはどこか教えて下さいませんか。
Thank you for your trouble.	お手数をおかけしました。
May I trouble you to pass me the salt?	お手数ですが塩を回していただけませんか。
I'm sorry to bother you.	お手数かけてどうもすいません。
Your letter reached me only today, having been delayed by the heavy snow.	お手紙は大雪で遅れ、やっと今日着きました。
Thank you for your trouble.	お手間をおかけしました。
I'm sorry to trouble you.	お手を煩わせて申し訳ありません。
Do you like the theater?	お芝居は好きですか。
Please let me pick up your sister at the station.	お姉さんを駅まで迎えに行かせてください。
I feel very sorry for your sister.	お姉さんのことはたいへんお気の毒に思います。
Will you give my best regards to your sister?	お姉さんによろしく伝えてください。
Please wash the dishes.	お皿洗いをして下さい。
I will help you if you are in trouble.	お困りなら助けてあげましょう。
I'd be happy to help you if you're having trouble.	お困りでしたら喜んでお役に立ちます。
Thank you for your trouble.	お骨折り感謝いたします。
Where are your manners?	お行儀はどうしたの？
What about your manners!	お行儀はどうなったの。
Whatever you like.	お好きなようにしなさい。
Help yourself to whatever you like.	お好きなものをご自由に召し上がれ。
The money amounts to almost two thousands dollars.	お金は総計２００ドルになる。
The money amounts to almost two thousands dollars.	お金はほぼ総計２０００ドルになる。
Money takes a long time to earn, but you can spend it in no time.	お金は、稼ぐには時間がかかるが、いざ使うとなるとあっという間になくなる。
I'm too poor to buy a new suit.	お金が無くて新しいスーツが買えないんだ。
Good night and sweet dreams.	お休み、いい夢たくさん見てね。
Could I ask you to get a cup of tea for our guest?	お客様にお茶を出して。
The customers were made to wait outside in the rain for several hours.	お客たちは外の雨の中で、数時間待たされた。
I am sorry for you.	お気の毒様。
I'm sorry for you.	お気の毒に存じ上げます。
I'm sorry for you.	お気の毒に存じます。
Be an angel and turn the radio down.	お願いだからラジオの音を小さくしてちょうだい。
Please help yourself to the sweets.	お菓子を御自由に取って下さい。
Shall I change the water for the flowers?	お花の水を替えましょう。
Would you bring me some salt?	お塩を持ってきてもらえませんか。
Pass me the salt.	お塩とって。
Could you please pass me the salt?	お塩を回していただけますでしょうか。
I begin to lose control of myself.	オレ自身を制御する力を失い始める。
Oranges grow in warm countries.	オレンジは暖かい国で出来る。
The price of oranges has come down.	オレンジの値段が下がった。
What are the origins of the Olympics?	オリンピックの由来は？
Preparations are already under way for the Olympic Games.	オリンピックの準備はすでに進行中だ。
Good night, Mom.	おやすみなさい、ママ。
The toy department is on the fifth floor.	おもちゃ売り場は５階です。
Put away your toys.	おもちゃを片づけなさい。
Mario's Pub is where the action is.	おもしろい所といえばマリオ・パブですよ。
It was raining into the bargain.	おまけに雨まで降っていた。
Also, there is a greater risk of accidents.	おまけに、事故の恐れがより大きい。
You've run into a storm.	おまえは嵐の中へ走り出した。
You are too young to travel alone.	おまえは若すぎてひとりでは旅行できない。
Put your coat on my account.	おまえの上着は私の勘定につけておきなさい。
My mother always puts my sister before me.	おふくろは僕なんかより、いつも妹の方を大事にしている。
Good morning, my sweet dog.	おはよう僕のかわいい犬。
Won't you come in for a cup of tea?	おはいりになって、お茶でも召し上がりませんか。
To my surprise, she could not answer the question.	おどろいたことに彼女はその質問に答えることができなかった。
My friends came to see me the day before yesterday.	おととい私の友人達が遊びに来た。
He hung his head sheepishly.	おどおどして首をたれた。
Your meaning didn't come across clearly.	おっしゃる意味がピンときません。
That's funny. The speaker is crackling.	おかしいな、スピーカーがガーガーいってるよ。
Have you decided to go to Australia?	オーストラリアに行く事は決めましたか。
It was not until I visited Australia that I realized how small Japan was.	オーストラリアを訪問してはじめて、日本がなんと小さな国かがわかった。
There are rare animals in Australia.	オーストラリアには珍しい動物がいます。
What kind of tree is an oak?	オークはどんな種類の木ですか。
I'm going to cook you a nice dinner.	おいしい夕食をつくってあげるね。
Thank you for the wonderful dinner.	おいしい晩御飯をありがとうございました。
I've cooked you a nice hot dinner.	おいしい温かい夕食を作ってあげましたよ。
You must not eat too much of anything because it tastes good.	おいしいからといって、なんでも食べ過ぎてはいけない。
Hey! Your baseball just broke my window.	おい、君の野球ボールがうちの窓ガラスを割ったよ。
Hey, you! What are you doing?	おい、君！何をしているのだ。
Hey, turn on the meter first.	おい、ちゃんとメーターを入れて走ってくれ。
Ellen likes to play tennis, too.	エレンもテニスをするのが好きです。
Ellen was white with shock.	エレンはショックで真っ青だった。
Eric is on our soccer team.	エリックは私たちのサッカーチームにいる。
Queen Elizabeth I passed away in 1603.	エリザベス１世は１６０３年に死んだ。
I work as Mr Eliot's assistant.	エリオットさんの助手として働いている。
Emily kept on waiting in the heavy rain with no coat on.	エミリーはコートを着ずにひどい雨の中で待ち続けた。
Emi was surprised at the nice present.	エミは素敵な贈り物に驚きました。
Mt. Everest is the highest peak in the world.	エベレスト山は世界の最高峰である。
Edward is junior to Robert.	エドードは、ロバートより年下だ。
The name Edwin doesn't ring a bell.	エドウィンと言う名前を聞いてもピンとこない。
They have less rain in Egypt than in Japan.	エジプトは日本より雨が少ない。
We attribute Edison's success to intelligence and hard work.	エジソンの成功は知性と勤勉との結果でもある。
Sure, but let's eat dinner first.	ええいいわ、でもまずは夕食にしましょうよ。
Yeah. I think so, too.	ええ、わたしもそう思います。
Amy worked in the yard last Saturday.	エイミーは先週の土曜日に庭で働きました。
AIDS can be stopped only if every person decides to take action against it.	エイズは、それぞれがそれに対して行動をとれば広がるのを防ぐことができる。
It has become much warmer.	うんと暖かくなった。
Yeah, sometimes they do.	うん、時々はね。
Oh, I haven't decided what I'm going to do yet.	うん、まだどうするか決めてないんだ。
I hope it pans out.	うまく行くといいわね。
Our budget won't allow that luxury.	うちの予算ではそういうぜいたくはできません。
Can you find the time to play with our daughter?	うちの娘と遊ぶ時間はありますか。
My father doesn't let me go out alone at night.	うちの父ったら、夜私を一人で外へ出してくれないの。
A fire broke out in a neighborhood hotel.	うちの近所のホテルで火が出た。
I'll eat my hat if, by some chance, my team loses to yours.	うちのチームが君のところのチームに負けるようなことが、万が一にもあれば、僕は首をやる。
We have breakfast in the kitchen.	うちでは朝食は台所で食べる。
Stop pushing me from behind!	うしろから押すのはやめてくれ。
Mr Wilson made us repeat the sentence several times.	ウィルソン先生は、私たちにその文を数回繰り返させた。
Wilson's solution is similar to Hudson's in that they used the same constants.	ウィルソンの解法は、同じ定数を使用したという点でハドソンのものと類似している。
India has a different climate from England.	インドの気候はイギリスとは違います。
Just bring me the ink, will you?	インクを持ってきてください。
The constant border wars between England and Scotland came to an end.	イングランドとスコットランドの間の恒常的な国境戦争は終わった。
You need not write in ink.	インクで書く必要はありません。
Must I write in ink?	インクで書かなければだめですか。
Must I write in ink?	インクで書かなくてはならないか。
Must I write in ink?	インクで書かなくてはいけませんか。
Don't write in ink.	インクで書いたらダメだよ。
The Inca were religious people.	インカ人は信心深い民族だった。
The Inca took baths more often than Europeans.	インカ人はヨーロッパ人よりも多く風呂へ入った。
He gives us a lot of trouble, but I like him all the same.	いろいろ面倒をかけるがそれでも私は彼が好きだ。
There were various kinds of sweets.	いろいろなお菓子があった。
I'm sorry to give you all this trouble.	いろいろお手数をかけて申し訳ない。
It's time to call in our chips.	いよいよ賭け金を回収するときがきました。
No, Chinese dishes are the best.	いや、中華料理がいちばんいいです。
No, but I like going to baseball.	いや、でも野球を見に行くのは好きだけどね。
Some companies are still debating whether to get Internet access.	いまだにインターネットの導入を検討している会社がある。
Never speak ill of others behind their backs.	いないところで人の悪口を絶対に言ってはいけない。
When will it suit you to start?	いつ出発するのが君には都合がよいですか。
I don't know exactly when I will be back.	いつ帰れるか必ずしもよくはわからない。
It may rain at any moment.	いつ何時雨が降るかもしれない。
It may rain at any time.	いつ雨が降るかもしれない。
You must always tell the truth.	いつも本当のことを言わなくてはならない。
You don't have to tell the truth all the time.	いつも本当のことを言う必要はないんだよ。
I always read myself to sleep.	いつも本を読んでいるうちに眠ってしまう。
I've been thinking about marriage a lot, and I think we should just do it.	いつも考えていたわ、そして、結婚した方がいいという結論に達したの。
What time do you usually have breakfast?	いつも何時に朝飯を食べますか。
I always work alone. I'm just not a team player.	いつも一人で仕事をしているから。僕は、チームプレーヤーではない。
You should always keep a broad perspective on the work you do.	いつもワイドな視野を持って、仕事をしなさい。
I'm always under stress.	いつもストレスを感じています。
When and where did you buy that old clock?	いつどこであの古時計を買ったのですか。
Always tell the truth.	いつでも本当のことを言いなさい。
She always gives an instant answer.	いつでも彼女は即座に答えを出す。
Any time will suit me.	いつでも私の都合は結構です。
When do you play tennis?	いつテニスをしますか。
Once you have made a promise, you should keep it.	いったん約束をしたら、守らなくてはいけない。
Once you have made a promise, you must keep it.	いったん約束したのであれば、守らなければならない。
Once you break the seal, you can't return the tape.	いったん封を切るとそのテープは返品できません。
Why should you be surprised?	いったいなぜ驚いたりするのですか。
Whatever do you mean?	いったいどういう意味ですか。
Where on earth did you get that hat?	いったいぜんたいその帽子をどこで手に入れたのですか。
What's all this noise about?	いったいこの騒ぎはどうしたというのだ。
When did the accident take place?	いつその事故が起こったのですか。
Won't you go and see a baseball game with me?	いっしょに野球の試合を見に行かないか。
When did you get the concert ticket?	いつコンサートのチケットを買ったの。
When was this car washed?	いつこの車は洗われましたか。
How long has it been snowing?	いつから雪が降っているのですか。
Some day you will come to realize the importance of saving.	いつかは君も貯蓄の重要さを悟るようになるだろう。
I want you to meet my sister, whom I spoke of the other day.	いつかお話しした私の妹にあってやって下さい。
He will be sorry for it some day.	いつか、彼はそのことを後悔するだろう。
When do you play tennis?	いつあなたはテニスをしますか。
When did you go to Kyoto with your sister?	いつあなたはお姉さんと京都へ行きましたか。
You will obtain your greatest desire.	いちばんお望みのものが手に入りますよ。
Move the chair nearer to the desk.	いすをもっと机に近づけなさい。
At any rate, the party will have to be cancelled.	いずれにせよパーティーはとりやめにしなければならない。
At any rate I will go out when it stops raining.	いずれにしても雨が止んだら私は出かけよう。
I always enjoy listening to classical music when I have some free time.	いくらか自由時間があるときは、いつもクラシック音楽を聴くのが楽しみだ。
The English are a practical people.	イギリス人は実際的な国民だ。
The English are said to be a practical people.	イギリス人は現実的な国民であると言われている。
The English entered into the tea trade at that time.	イギリス人はそのころ茶の貿易を始めた。
The English are said to be a practical people.	イギリス人は、実際的な国民だと言われている。
There are a lot of expressions used by English people.	イギリス人が用いる表現はたくさんある。
Not all English people like fish and chips.	イギリス人がみなフィッシュ・アンド・チップスが好きだというわけではない。
Not all English people like fish and chips.	イギリス人がフィッシュ・アンド・チップスが好きだというわけではない。
The climate of England is similar to that of Hokkaido.	イギリスの気候は北海道の気候とにている。
British soccer fans sometimes get completely out of hand.	イギリスのサッカーファンはときどきまったく手に負えなくなる。
In England they have much rain at this time of the year.	イギリスでは、１年の今ごろは雨が多い。
Jesus answered, "I tell you the truth."	イエスは答えて言った。「まことに、まことにあなたに告げます」
You got that one going in a good direction.	いい方向に飛んだね。
Let's go to the theater early so that we can get good seats.	いい席につけるように、速く劇場に行きましょう。
I'll introduce you to a nice girl.	いい女の子紹介してやろう。
Don't you think that's a good combination?	いい取り合わせだと思わない？
I met him by happy accident.	いい具合に彼に会った。
Open your eyes to reality.	いい加減に現実をみつめろ。
No, I can't. I have to watch a baseball game on TV.	いいや、出来ないよ。テレビで野球の試合を見なくちゃならないんだ。
That's a nice coat.	いいコートだね。
No. You have to buy it at the ticket office.	いいえ、切符売場で買わなければなりません。
No, but I play tennis.	いいえ、でもテニスはやりますよ。
No, not how many toys, how many keys?	いいえ、おもちゃがいくつあるかじゃなくて、鍵がいくつあるかなのよ。
This is a great apartment.	いいアパートね。
Ann is exclusive in her choice of friends.	アンは友人を選り好みする。
Ann has achieved her desired goal.	アンは望んでいた目標を達成した。
Ann seems to be ill.	アンは病気のようだ。
Ann plays tennis very well.	アンはテニスがとても上手だ。
Ann has no sister.	アンには一人も姉妹がいない。
How did you come to know such a wonderful girl?	あんな素敵な女の子とどうして知り合いになったんだい。
Don't associate with such people.	あんな人たちと交際してはいけない。
He'll have an accident one of these days if he keeps driving like that.	あんな運転を続けていると彼はそのうちに事故を起こすだろう。
I can't apply my mind to anything with all that noise!	あんなに騒がしくては何事にも身が入らない。
Can he be ill when he runs around like that?	あんなに走り回っているのに、彼が病気だなんてことがあるだろうか。
Angola was once a Portuguese territory.	アンゴラはかつてポルトガルの領土だった。
Nothing can be worse than that.	あれ以上ひどいものは他にはない。
Will you introduce me to the young woman talking with Mrs. Allen?	アレン夫人と話している、あの若いご婦人に紹介していただけないでしょうか。
Those are my sister's books.	あれらは私の妹の本です。
That is not an orange, either.	あれもオレンジではありません。
That is a student whom my father teaches.	あれは父が教えている学生だ。
That is my sister's camera.	あれは私の妹のカメラです。
That is the restaurant where we had dinner yesterday.	あれは私たちがきのう夕食を食べたレストランです。
That's the boy I saw yesterday.	あれは私が昨日会った少年です。
That was the most interesting novel that I had ever read.	あれは私が今まで読んだうちで一番面白い小説だった。
That is the man whom I know well.	あれは私がよく知っている人です。
That is the girl whom I know well.	あれは私がよく知っている少女です。
That is the girl who waited on me in the shop yesterday.	あれは昨日あの店で私に対応してくれた少女です。
They are a good airline to fly with.	あれは空の旅に利用するにはいい航空会社だ。
That's a problem difficult to solve.	あれは解決が困難な問題だ。
Is that the man whose wife was killed in the car accident?	あれは奥さんがあの自動車事故で亡くなった人ですか。
It was such a wonderful movie that I saw it five times.	あれはとても素晴らしい映画だったので、私は５回見た。
That is the boy who came here yesterday.	あれはきのうここへ来た少年です。
I bet he is our principal.	あれはきっと校長先生だ。
Yeah, she must be the sure thing!	あれなら絶対大丈夫！
I have taken everything into consideration.	あれこれ考え合わせると。
Isn't that the Golden Gate Bridge?	あれがゴールデン・ゲート・ブリッジでしょ。
You could always hand off some of the work to the junior staff.	ある部分は部下にやらせばいいんだよ。
One day he killed himself.	ある日、彼は自殺した。
I can trust him to a certain extent.	ある程度彼を信用できる。
You are right to a certain extent.	ある程度君の言い方は正しい。
To some extent I agree with you.	ある程度まで私はあなたに同意する。
I agree with what you say to some extent.	ある程度まで私はあなたの言う事に賛成です。
I agree with you to a certain extent.	ある程度まで君に賛成だ。
I trust him to some extent.	ある程度までは彼を信頼している。
I agree with you to some extent.	ある程度は君に賛成します。
You are right to a certain extent.	ある程度あなたの言い分は正しい。
A math teacher says, "With a calculator, the child can reach the right answer, but have no idea at all how he got there."	ある数学の教師は、「計算機があれば、子供は正しい答えは出しますが、どうしてそういう答えになったのかは全く理解していないのです」と言っている。
A man came to see me yesterday.	ある人が昨日私に会いに来た。
Some animals can sense the coming of a storm.	ある種の動物は嵐の訪れを感じ取る事ができる。
The manners and customs of a country reflect its culture.	ある国の風習、習慣はその国の文化を反映している。
Albert is the last person to break a promise.	アルバートは決して約束を破るような人ではない。
Albert, I hope you'll stand by me if I get in trouble.	アルバート、私が困ったら味方してね。
Don't drink any alcohol.	アルコール類は控えてください。
Alcohol is beginning to tell on his speech.	アルコールが彼の話し方に影響しはじめている。
Does ALC's web site include an archive of English expressions?	アルクのホームページには英語表現のアーカイブがありますか。
I spent all the savings I had on this.	ありったけの貯金をはたいてこれを買った。
Alice has a flower in her hair.	アリスは頭に花をさしています。
Alice slid down the long slide.	アリスは長い滑り台を滑り降りた。
Alice wasn't listening to her sister.	アリスは姉のいうことを聞いてなかった。
It seems that Alice is very pleased with the suit.	アリスはそのスーツがとても気に入っているようだ。
Alice might have been there yesterday, but we didn't see her.	アリスは、いたのかも知れないが、私たちは会わなかった。
Thank you. I used to play tennis in high school.	ありがとう。高校時代はよくテニスをしたものです。
All the truth is not to be told at all time.	あらゆる真実がいつでも語られるとは限らない。
Taking everything into consideration, the result is better than I expected.	あらゆる事を考慮に入れれば、結果は私の期待以上だ。
Every child objects to being treated like a baby.	あらゆる子供は赤ちゃん扱いされることに反対する。
All things taken into consideration, my father's life was a happy one.	あらゆることを考慮に入れれば、父の人生は幸福なものだった。
The storm blew for two days.	あらしは２日間吹きまくった。
The storm laid the village flat.	あらしでその村はなぎ倒された。
Oh, I can hear you clearly.	あら、よく聞こえる。
